state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
State - UTTARANCHAL  05,age_below10,05,66.7996,69.2685,72.9161,70.6612,79.6943,72.7389,33.2004,30.7315,27.0839,29.3388,20.3057,27.2611
State - UTTARANCHAL  05,age_10_13,05,3.6295,4.5296,3.9792,1.0929,22.1942,7.7108,96.3705,95.4704,96.0208,98.9071,77.8058,92.2892
State - UTTARANCHAL  05,age_14_17,05,2.9377,4.6904,4.3481,1.2788,27.3151,9.052,97.0623,95.3096,95.6519,98.7212,72.6849,90.948
State - UTTARANCHAL  05,age_18_21,05,3.3333,6.9272,6.6278,0.0,31.3807,10.4457,96.6667,93.0728,93.3722,100.0,68.6193,89.5543
State - UTTARANCHAL  05,age_22_25,05,7.5314,8.2481,8.2946,1.3274,34.1069,11.8371,92.4686,91.7519,91.7054,98.6726,65.8931,88.1629
State - UTTARANCHAL  05,age_26_29,05,7.799,7.3338,10.9105,0.9231,40.5027,15.5505,92.201,92.6662,89.0895,99.0769,59.4973,84.4495
State - UTTARANCHAL  05,age_30_33,05,9.6847,8.6111,12.8395,1.4577,46.2322,18.8482,90.3153,91.3889,87.1605,98.5423,53.7678,81.1518
State - UTTARANCHAL  05,age_34_plus,05,40.3855,12.7402,22.4206,1.9918,57.9997,29.5071,59.6145,87.2598,77.5794,98.0082,42.0003,70.4929
Haryana,age_below10,06,75.082,73.0996,73.6633,69.6633,83.6734,72.6921,24.918,26.9004,26.3367,30.3367,16.3266,27.3079
Haryana,age_10_13,06,7.4742,5.6465,6.4099,1.3765,24.9094,7.6731,92.5258,94.3535,93.5901,98.6235,75.0906,92.3269
Haryana,age_14_17,06,11.9186,6.3126,7.4109,0.7031,28.1434,9.5921,88.0814,93.6874,92.5891,99.2969,71.8566,90.4079
Haryana,age_18_21,06,27.1654,8.8015,9.8925,1.4226,31.7981,12.8927,72.8346,91.1985,90.1075,98.5774,68.2019,87.1073
Haryana,age_22_25,06,17.3611,7.385,11.7902,1.0492,34.4482,15.6387,82.6389,92.615,88.2098,98.9508,65.5518,84.3613
Haryana,age_26_29,06,19.5335,9.589,16.0458,1.8085,40.1852,20.9435,80.4665,90.411,83.9542,98.1915,59.8148,79.0565
Haryana,age_30_33,06,20.4778,10.3741,20.894,2.1739,48.7938,26.5129,79.5222,89.6259,79.106,97.8261,51.2062,73.4871
Haryana,age_34_plus,06,35.9841,15.8992,34.7804,3.1734,65.6765,39.6012,64.0159,84.1008,65.2196,96.8266,34.3235,60.3988
State - DELHI  07,age_below10,07,70.7901,72.5665,72.8131,69.9035,77.163,70.0569,29.2099,27.4335,27.1869,30.0965,22.837,29.9431
State - DELHI  07,age_10_13,07,4.1627,2.7003,5.5993,1.0174,16.7987,3.0348,95.8373,97.2997,94.4007,98.9826,83.2013,96.9652
State - DELHI  07,age_14_17,07,5.8423,2.844,6.9465,0.9694,20.7145,3.3023,94.1577,97.156,93.0535,99.0306,79.2855,96.6977
State - DELHI  07,age_18_21,07,5.638,4.0465,9.2636,1.6076,24.5456,3.6491,94.362,95.9535,90.7364,98.3924,75.4544,96.3509
State - DELHI  07,age_22_25,07,5.4619,2.8714,9.0289,0.9037,24.2618,3.4395,94.5381,97.1286,90.9711,99.0963,75.7382,96.5605
State - DELHI  07,age_26_29,07,6.3262,2.7088,10.2526,0.753,26.4779,3.9121,93.6738,97.2912,89.7474,99.247,73.5221,96.0879
State - DELHI  07,age_30_33,07,8.0762,2.8536,11.6735,0.754,30.3419,4.2869,91.9238,97.1464,88.3265,99.246,69.6581,95.7131
