state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Sikkim,age_14_17,11,28.1709,2.7588,7.7271,71.2287,11.9849,11.9849,13.7051,86.2949,88.0151
Sikkim,age_18_21,11,22.5352,25.7662,39.1717,49.032,16.8251,16.8251,15.0299,84.9701,83.1749
Sikkim,age_22_25,11,21.3363,25.7662,39.1717,,,,15.0586,84.9414,
Sikkim,age_26_29,11,18.803,56.2447,65.7194,,,,15.6854,84.3146,
Sikkim,age_30_33,11,16.5007,76.7221,81.6226,,,,20.5067,79.4933,
Sikkim,age_34_plus,11,28.9401,81.4405,79.2645,,,,41.5337,58.4663,
Sikkim,age_below10,11,96.3943,0.0,0.0,66.0488,32.5978,32.5978,78.5078,21.4922,67.4022
Arunachal Pradesh,age_10_13,12,62.1469,0.4417,0.9707,73.8835,23.7231,23.7231,28.5303,71.4697,76.2769
Arunachal Pradesh,age_14_17,12,21.1241,3.8766,9.6957,74.2415,15.8676,15.8676,18.5627,81.4373,84.1324
Arunachal Pradesh,age_18_21,12,13.3731,31.3175,48.8552,57.6448,17.2662,17.2662,20.2975,79.7025,82.7338
Arunachal Pradesh,age_22_25,12,11.6269,31.3175,48.8552,,,,22.4148,77.5852,
Arunachal Pradesh,age_26_29,12,12.3192,69.845,78.9273,,,,27.5534,72.4466,
Arunachal Pradesh,age_30_33,12,13.5907,86.0387,88.4505,,,,33.7989,66.2011,
Arunachal Pradesh,age_34_plus,12,22.6515,88.0595,81.5438,,,,64.411,35.589,
Arunachal Pradesh,age_below10,12,96.7166,0.0,0.0,46.4972,52.9902,52.9902,84.346,15.654,47.0098
Nagaland,age_10_13,13,37.9375,0.4843,0.8833,78.2285,17.5422,17.5422,22.9821,77.0179,82.4578
