state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Madhya Pradesh,age_22_25,23,10.7936,15.7688,16.9456,14.0089,,14.7439,19.7747,26.6753,19.668,,,17.5612,19.2571,,,,8.5768,16.2407,83.7593,
Madhya Pradesh,age_26_29,23,12.704,1.8202,2.3033,1.7229,,1.7917,5.0486,8.7413,3.8608,,,2.7942,4.7942,,,,13.1637,20.3478,79.6522,
Madhya Pradesh,age_30_33,23,15.519,0.7077,1.058,0.6878,,1.0234,1.6919,2.6481,1.1978,,,1.0451,1.6995,,,,13.2487,24.6772,75.3228,
Madhya Pradesh,age_34_plus,23,23.9605,0.2714,0.5192,0.2911,,0.5015,0.5026,0.6789,0.3732,,,0.3917,0.5547,,,,11.7505,35.5796,64.4204,
Madhya Pradesh,age_below10,23,97.8052,1.6259,1.7293,1.6197,,1.7418,1.442,1.2477,1.5332,,,1.7182,1.5715,56.7819,42.7944,42.7944,0.0,77.3798,22.6202,57.2056
Gujarat,age_10_13,24,37.6509,0.8697,1.0621,0.9237,,0.9925,0.7413,0.595,0.9778,,,1.0453,0.8694,84.7168,12.6707,12.6707,0.0,9.5491,90.4509,87.3293
Gujarat,age_14_17,24,9.6791,7.2338,7.0448,7.3739,,7.3991,5.3898,3.9959,5.9919,,,6.3101,5.7866,58.4228,21.0185,21.0185,0.0,10.6704,89.3296,78.9815
Gujarat,age_18_21,24,9.9768,57.6952,53.2174,58.5517,,55.3895,47.7103,40.1709,47.9179,,,50.7873,47.41,29.4405,22.9449,22.9449,0.0,11.8231,88.1769,77.0551
Gujarat,age_22_25,24,10.3076,27.7808,29.6488,26.932,,28.1082,33.6733,38.0974,32.9068,,,31.5686,32.9189,,,,8.0282,13.3771,86.6229,
Gujarat,age_26_29,24,12.5848,2.9087,4.1175,3.0363,,3.3072,7.3062,10.2574,6.3245,,,4.9826,7.1099,,,,11.9725,17.6735,82.3265,
Gujarat,age_30_33,24,15.2751,0.9885,1.6058,0.989,,1.4375,2.1049,2.801,1.8242,,,1.7317,2.1749,,,,11.5083,21.458,78.542,
Gujarat,age_34_plus,24,23.3512,0.3109,0.6231,0.3455,,0.5497,0.5814,0.7378,0.4913,,,0.5892,0.6591,,,,11.0459,30.53,69.47,
Gujarat,age_below10,24,98.0997,0.7159,0.8931,0.7984,,0.8539,0.7916,0.8447,0.9745,,,0.8945,0.8701,64.1663,35.5538,35.5538,0.0,74.5326,25.4674,64.4462
Daman & Diu,age_10_13,25,33.0426,0.8969,0.6617,0.2389,,0.8894,0.6046,0.5056,0.5223,,,0.6376,0.5891,90.8349,6.2156,6.2156,0.0,4.4826,95.5174,93.7844
Daman & Diu,age_14_17,25,6.8805,7.1749,6.2035,4.9582,,8.2546,5.3151,3.9687,5.9083,,,5.6864,5.387,56.5146,12.6518,12.6518,0.0,8.4181,91.5819,87.3482
Daman & Diu,age_18_21,25,7.8206,45.7399,44.1067,45.46,,48.1656,39.5405,33.6451,43.2022,,,42.6936,39.1042,15.9987,11.9283,11.9283,0.0,12.3841,87.6159,88.0717
Daman & Diu,age_22_25,25,7.2145,34.9776,32.9198,36.2007,,30.6281,34.2066,36.0381,33.132,,,34.756,34.0458,,,,3.8896,10.5054,89.4946,
Daman & Diu,age_26_29,25,6.9416,6.278,8.5815,9.08,,6.6982,13.1533,16.9194,10.3476,,,9.7723,13.0891,,,,10.823,10.8027,89.1973,
Daman & Diu,age_30_33,25,9.4187,2.6906,3.6187,1.9713,,2.2513,3.8157,4.6764,3.3132,,,3.0059,4.0214,,,,13.611,13.6583,86.3417,
Daman & Diu,age_34_plus,25,20.44,0.4484,1.8817,0.8961,,0.7921,0.9862,1.1712,0.7834,,,1.1581,1.2147,,,,10.4566,21.777,78.223,
Daman & Diu,age_below10,25,97.9757,0.8969,0.7444,0.5376,,0.7782,0.8303,1.028,0.865,,,0.7417,0.8277,75.0,24.7695,24.7695,0.0,73.9194,26.0806,75.2305
Dadra & Nagar Haveli,age_10_13,26,39.4743,0.242,0.7858,0.2299,,0.3635,0.4848,0.4147,0.7014,,,0.7907,0.4976,79.3226,15.7852,15.7852,0.0,14.8698,85.1302,84.2148
Dadra & Nagar Haveli,age_14_17,26,11.9017,6.3278,8.2337,7.8826,,8.5492,6.7508,4.1077,7.2038,,,8.3624,6.9181,50.9826,19.4624,19.4624,0.0,19.9949,80.0051,80.5376
Dadra & Nagar Haveli,age_18_21,26,9.4917,66.7012,63.1192,66.5089,,63.981,54.3327,41.6478,57.3649,,,58.5098,54.4033,15.9884,12.1179,12.1179,0.0,19.5876,80.4124,87.8821
Dadra & Nagar Haveli,age_22_25,26,8.2347,20.8852,20.8405,20.4029,,20.7058,26.1204,34.3557,24.5308,,,24.5511,25.8289,,,,5.364,19.3652,80.6348,
Dadra & Nagar Haveli,age_26_29,26,9.1418,2.3167,2.699,2.2783,,2.4801,6.6678,11.1259,4.0569,,,3.1493,6.443,,,,14.3881,21.9515,78.0485,
Dadra & Nagar Haveli,age_30_33,26,12.4395,0.5533,0.9054,0.5138,,0.6764,1.7957,2.8871,1.327,,,1.1257,1.7796,,,,17.8936,28.7041,71.2959,
Dadra & Nagar Haveli,age_34_plus,26,22.3406,0.1037,0.3587,0.169,,0.1656,0.3301,0.4225,0.1706,,,0.3484,0.349,,,,12.166,48.7751,51.2249,
Dadra & Nagar Haveli,age_below10,26,97.867,0.7607,0.837,0.5611,,0.7546,0.945,1.111,1.346,,,1.0185,0.9572,62.3838,37.0815,37.0815,0.0,79.7371,20.2629,62.9185
Maharashtra,age_10_13,27,33.7766,0.4413,0.6255,0.425,,0.8779,0.4517,0.3042,0.4538,,,0.5383,0.5241,91.6765,6.2091,6.2091,0.0,4.183,95.817,93.7909
Maharashtra,age_14_17,27,6.8774,3.8961,4.5245,3.6625,,6.3515,3.278,1.9011,3.0764,,,3.7772,3.6047,72.0609,13.1218,13.1218,0.0,5.2149,94.7851,86.8782
Maharashtra,age_18_21,27,7.2421,41.932,39.367,40.2921,,43.6584,32.1288,23.2536,31.917,,,36.3808,32.0187,44.2561,19.4392,19.4392,0.0,6.3904,93.6096,80.5608
Maharashtra,age_22_25,27,7.6474,40.3836,39.6367,41.6048,,35.5257,40.3758,41.895,42.0151,,,40.844,39.3376,,,,10.965,7.3545,92.6455,
Maharashtra,age_26_29,27,9.505,7.5592,8.6125,8.5695,,6.2482,14.8782,20.2289,13.5339,,,10.3075,14.5056,,,,17.1827,10.0467,89.9533,
Maharashtra,age_30_33,27,13.4627,2.2927,3.1742,2.3644,,2.7563,4.8275,6.77,4.0339,,,3.5882,5.0415,,,,16.7087,13.5692,86.4308,
Maharashtra,age_34_plus,27,23.257,0.7845,1.3015,0.7396,,1.1932,1.3218,1.8543,1.1263,,,1.2704,1.5393,,,,12.163,23.6756,76.3244,
Maharashtra,age_below10,27,97.5845,0.8965,0.8985,0.842,,0.982,0.8184,0.769,0.9352,,,0.8904,0.858,68.8637,30.8172,30.8172,0.0,73.2568,26.7432,69.1828
Andhra Pradesh,age_10_13,28,28.5697,0.7118,0.9407,1.0697,,1.2728,0.7344,0.3668,0.4517,,,0.5219,0.8462,82.1946,10.8416,10.8416,0.0,10.7346,89.2654,89.1584
Andhra Pradesh,age_14_17,28,7.8673,6.2165,6.5201,6.3033,,7.6114,5.1267,2.6447,4.121,,,4.6118,5.4617,56.3673,17.1485,17.1485,0.0,14.7064,85.2936,82.8515
Andhra Pradesh,age_18_21,28,7.9426,49.9301,47.8116,45.041,,47.6319,41.6199,31.9836,40.5927,,,43.6881,41.3558,33.1487,21.2069,21.2069,0.0,17.331,82.669,78.7931
Andhra Pradesh,age_22_25,28,7.6109,31.4813,31.4699,33.3928,,29.8138,34.4817,39.7023,36.4652,,,35.3931,33.5715,,,,13.8075,19.503,80.497,
Andhra Pradesh,age_26_29,28,9.4976,5.612,6.1443,7.342,,5.7513,9.7573,13.8725,9.2246,,,7.7757,9.4068,,,,17.5518,27.0344,72.9656,
Andhra Pradesh,age_30_33,28,11.8308,2.0477,2.3598,2.6109,,2.6544,3.3474,4.1868,2.9524,,,2.8549,3.4362,,,,17.8358,34.1997,65.8003,
Andhra Pradesh,age_34_plus,28,16.513,0.7133,0.9659,0.8408,,1.0524,1.0233,1.1564,0.983,,,1.0274,1.1351,,,,13.2879,45.9677,54.0323,
Andhra Pradesh,age_below10,28,95.6914,1.2404,1.4136,1.4998,,1.4743,1.3063,1.2622,1.3135,,,1.1927,1.3583,73.7954,25.3295,25.3295,0.0,70.9461,29.0539,74.6705
Karnataka,age_10_13,29,37.0946,0.5213,0.393,0.3771,,0.4947,0.3207,0.212,0.2907,,,0.3196,0.3588,83.1262,10.8457,10.8457,0.0,9.3869,90.6131,89.1543
Karnataka,age_14_17,29,8.4296,2.5963,1.8966,1.8569,,2.5439,1.5944,0.8833,1.305,,,1.5439,1.7164,58.723,16.3674,16.3674,0.0,12.0559,87.9441,83.6326
Karnataka,age_18_21,29,9.2179,31.5335,26.3657,27.0986,,31.2221,23.0591,15.1146,20.7044,,,23.7834,23.3265,31.4102,19.9175,19.9175,0.0,14.8266,85.1734,80.0825
