state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Kerala,age_10_13,32,0.8332,0.2128,0.5172,97.0307,96.9169,2.7373,2.8248,2.7373,2.8248,0.0,97.2627,97.1752
Kerala,age_14_17,32,10.7943,0.8479,5.873,76.3386,73.8448,20.2306,20.3761,20.2306,20.3761,0.0,79.7694,79.6239
Kerala,age_18_21,32,52.2463,11.2126,32.7182,32.2696,29.2647,56.5927,45.7864,56.5927,45.7864,0.0,43.4073,54.2136
Kerala,age_22_25,32,52.2463,11.2126,32.7182,,,,,,,,,
Kerala,age_26_29,32,78.918,47.5359,63.9829,,,,,,,,,
Kerala,age_30_33,32,85.8421,80.2705,83.1098,,,,,,,,,
Kerala,age_34_plus,32,65.6661,92.3168,78.4132,,,,,,,,,
Kerala,age_below10,32,0.0,0.0,0.0,79.6484,78.5759,20.2316,21.2149,20.2316,21.2149,0.0,79.7684,78.7851
Tamil Nadu,age_10_13,33,1.5764,0.6034,1.0802,86.5623,88.8485,10.9291,8.5639,10.9291,8.5639,0.0,89.0709,91.4361
Tamil Nadu,age_14_17,33,17.2131,1.9855,9.4788,56.1167,61.1171,29.2447,21.3034,29.2447,21.3034,0.0,70.7553,78.6966
Tamil Nadu,age_18_21,33,68.9496,23.5802,46.8549,19.3541,27.1108,52.1501,33.0174,52.1501,33.0174,0.0,47.8499,66.9826
Tamil Nadu,age_22_25,33,68.9496,23.5802,46.8549,,,,,,,,,
Tamil Nadu,age_26_29,33,89.3998,67.1611,78.8807,,,,,,,,,
Tamil Nadu,age_30_33,33,91.2,89.6388,90.4352,,,,,,,,,
Tamil Nadu,age_34_plus,33,72.4276,92.3498,82.4424,,,,,,,,,
Tamil Nadu,age_below10,33,0.0,0.0,0.0,79.6025,80.2218,20.0035,19.3093,20.0035,19.3093,0.0,79.9965,80.6907
State - PONDICHERRY  34,age_10_13,34,0.5735,0.2891,0.4291,93.896,94.3225,5.4162,4.7586,5.4162,4.7586,0.0,94.5838,95.2414
State - PONDICHERRY  34,age_14_17,34,13.4829,0.9778,7.1965,66.473,71.6648,24.4335,17.5741,24.4335,17.5741,0.0,75.5665,82.4259
State - PONDICHERRY  34,age_18_21,34,60.9286,18.9567,40.3386,24.4041,35.9218,53.5751,29.8468,53.5751,29.8468,0.0,46.4249,70.1532
State - PONDICHERRY  34,age_22_25,34,60.9286,18.9567,40.3386,,,,,,,,,
State - PONDICHERRY  34,age_26_29,34,86.5084,60.7319,74.564,,,,,,,,,
State - PONDICHERRY  34,age_30_33,34,89.4076,86.7679,88.0934,,,,,,,,,
State - PONDICHERRY  34,age_34_plus,34,64.9286,92.007,78.2804,,,,,,,,,
State - PONDICHERRY  34,age_below10,34,0.0,0.0,0.0,83.6436,84.3362,16.1584,15.5582,16.1584,15.5582,0.0,83.8416,84.4418
