state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Haryana,age_26_29,06,97.2933,83.5815,90.0363,,,,,,,,,
Haryana,age_30_33,06,96.7814,94.3433,95.5469,,,,,,,,,
Haryana,age_34_plus,06,80.6242,91.1093,86.107,,,,,,,,,
Haryana,age_below10,06,0.0,0.0,0.0,51.1743,55.0443,48.5993,44.5685,48.5993,44.5685,0.0,51.4007,55.4315
State - DELHI  07,age_10_13,07,1.0694,0.3501,0.6896,84.1166,86.6374,15.4148,12.0045,15.4148,12.0045,0.0,84.5852,87.9955
State - DELHI  07,age_14_17,07,14.6625,3.5856,8.5015,59.1805,62.2909,38.7271,25.482,38.7271,25.482,0.0,61.2729,74.518
State - DELHI  07,age_18_21,07,72.2092,34.5612,51.3138,29.2131,33.0097,66.8578,32.7806,66.8578,32.7806,0.0,33.1422,67.2194
State - DELHI  07,age_22_25,07,72.2092,34.5612,51.3138,,,,,,,,,
State - DELHI  07,age_26_29,07,93.9585,77.1643,84.8698,,,,,,,,,
State - DELHI  07,age_30_33,07,96.3436,93.4895,94.8228,,,,,,,,,
State - DELHI  07,age_34_plus,07,80.2643,93.1737,87.336,,,,,,,,,
State - DELHI  07,age_below10,07,0.0,0.0,0.0,64.5742,66.0062,35.3293,33.7289,35.3293,33.7289,0.0,64.6707,66.2711
Rajasthan,age_10_13,08,6.8933,2.8177,4.6957,55.4994,81.1041,40.7703,15.4903,40.7703,15.4903,0.0,59.2297,84.5097
Rajasthan,age_14_17,08,46.1128,15.1929,28.6884,27.1439,55.8344,59.5849,21.8715,59.5849,21.8715,0.0,40.4151,78.1285
Rajasthan,age_18_21,08,93.6551,61.3829,76.7346,11.4152,30.1745,67.2064,23.765,67.2064,23.765,0.0,32.7936,76.235
Rajasthan,age_22_25,08,93.6551,61.3829,76.7346,,,,,,,,,
Rajasthan,age_26_29,08,97.6106,88.8718,93.1379,,,,,,,,,
Rajasthan,age_30_33,08,96.7653,94.7598,95.7589,,,,,,,,,
Rajasthan,age_34_plus,08,77.338,91.3822,84.4422,,,,,,,,,
Rajasthan,age_below10,08,0.0,0.0,0.0,46.4413,57.8531,53.099,41.6555,53.099,41.6555,0.0,46.901,58.3445
Uttar Pradesh,age_10_13,09,3.814,1.4809,2.5434,62.5198,76.1101,36.5593,21.5362,36.5593,21.5362,0.0,63.4407,78.4638
Uttar Pradesh,age_14_17,09,34.9262,9.7349,20.3997,36.8313,56.1781,59.8013,29.5079,59.8013,29.5079,0.0,40.1987,70.4921
Uttar Pradesh,age_18_21,09,91.1354,53.7697,71.8001,16.1078,32.9822,77.4022,33.7951,77.4022,33.7951,0.0,22.5978,66.2049
Uttar Pradesh,age_22_25,09,91.1354,53.7697,71.8001,,,,,,,,,
Uttar Pradesh,age_26_29,09,97.3581,83.4936,90.3311,,,,,,,,,
Uttar Pradesh,age_30_33,09,97.3567,91.4916,94.4726,,,,,,,,,
Uttar Pradesh,age_34_plus,09,81.6161,87.6555,84.7702,,,,,,,,,
Uttar Pradesh,age_below10,09,0.0,0.0,0.0,43.6221,49.1808,56.0412,50.2165,56.0412,50.2165,0.0,43.9588,49.7835
Bihar,age_10_13,10,4.4497,1.3217,2.7206,29.5453,47.685,67.2963,46.6277,67.2963,46.6277,0.0,32.7037,53.3723
Bihar,age_14_17,10,57.5547,14.9212,33.5808,17.9747,35.7327,69.8322,37.1232,69.8322,37.1232,0.0,30.1678,62.8768
Bihar,age_18_21,10,96.0921,67.4186,82.3984,5.4763,21.3897,74.6927,31.0055,74.6927,31.0055,0.0,25.3073,68.9945
Bihar,age_22_25,10,96.0921,67.4186,82.3984,,,,,,,,,
Bihar,age_26_29,10,98.2995,91.3311,94.9162,,,,,,,,,
Bihar,age_30_33,10,97.3274,96.1368,96.7452,,,,,,,,,
Bihar,age_34_plus,10,83.2439,91.7176,87.6998,,,,,,,,,
Bihar,age_below10,10,0.0,0.0,0.0,17.6098,25.7031,81.8581,73.43,81.8581,73.43,0.0,18.1419,26.57
Sikkim,age_10_13,11,0.9896,0.4152,0.7018,82.2006,85.4086,13.7864,10.7652,13.7864,10.7652,0.0,86.2136,89.2348
Sikkim,age_14_17,11,21.7019,4.9663,13.631,60.7568,60.1326,23.8963,20.339,23.8963,20.339,0.0,76.1037,79.661
Sikkim,age_18_21,11,63.396,35.6245,49.9283,29.7568,35.6601,45.9227,25.0379,45.9227,25.0379,0.0,54.0773,74.9621
Sikkim,age_22_25,11,63.396,35.6245,49.9283,,,,,,,,,
Sikkim,age_26_29,11,81.6429,70.9708,76.6193,,,,,,,,,
Sikkim,age_30_33,11,87.2418,83.7336,85.3939,,,,,,,,,
Sikkim,age_34_plus,11,77.1513,85.5584,81.6985,,,,,,,,,
Sikkim,age_below10,11,0.0,0.0,0.0,64.9886,64.1436,34.7254,34.8619,34.7254,34.8619,0.0,65.2746,65.1381
Arunachal Pradesh,age_10_13,12,1.0499,0.5051,0.7722,73.3542,81.9018,24.7649,16.2577,24.7649,16.2577,0.0,75.2351,83.7423
Arunachal Pradesh,age_14_17,12,29.9611,5.6022,15.798,51.8018,65.0558,41.8919,22.3048,41.8919,22.3048,0.0,58.1081,77.6952
Arunachal Pradesh,age_18_21,12,85.6481,36.8932,56.9524,26.8041,30.3797,63.9175,24.0506,63.9175,24.0506,0.0,36.0825,75.9494
Arunachal Pradesh,age_22_25,12,85.6481,36.8932,56.9524,,,,,,,,,
Arunachal Pradesh,age_26_29,12,92.8315,66.3912,77.8816,,,,,,,,,
Arunachal Pradesh,age_30_33,12,96.2617,89.0282,91.9325,,,,,,,,,
Arunachal Pradesh,age_34_plus,12,84.9287,94.7064,91.5686,,,,,,,,,
Arunachal Pradesh,age_below10,12,0.0,0.0,0.0,52.1845,56.9161,47.5728,42.1769,47.5728,42.1769,0.0,52.4272,57.8231
Manipur,age_10_13,14,1.2488,0.3604,0.796,88.9503,90.0264,10.5762,9.1802,10.5762,9.1802,0.0,89.4238,90.8198
Manipur,age_14_17,14,9.0164,1.9785,5.5259,80.409,81.48,15.8282,11.4097,15.8282,11.4097,0.0,84.1718,88.5903
Manipur,age_18_21,14,42.0627,18.763,30.8324,60.9375,66.1135,29.6875,16.3319,29.6875,16.3319,0.0,70.3125,83.6681
Manipur,age_22_25,14,42.0627,18.763,30.8324,,,,,,,,,
Manipur,age_26_29,14,67.5465,51.9481,60.2189,,,,,,,,,
Manipur,age_30_33,14,81.3876,77.2612,79.3421,,,,,,,,,
Manipur,age_34_plus,14,73.7976,89.3461,81.6353,,,,,,,,,
Manipur,age_below10,14,0.0,0.0,0.0,70.9182,72.4179,28.7997,27.2508,28.7997,27.2508,0.0,71.2003,72.7492
Mizoram,age_10_13,15,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Mizoram,age_14_17,15,0.0,0.0,0.0,60.0,85.7143,40.0,0.0,40.0,0.0,0.0,60.0,100.0
Mizoram,age_18_21,15,83.3333,10.7143,23.5294,100.0,33.3333,0.0,33.3333,0.0,33.3333,0.0,100.0,66.6667
Mizoram,age_22_25,15,83.3333,10.7143,23.5294,,,,,,,,,
Mizoram,age_26_29,15,100.0,35.5556,45.283,,,,,,,,,
Mizoram,age_30_33,15,100.0,75.0,78.4314,,,,,,,,,
Mizoram,age_34_plus,15,85.7143,89.2308,88.8889,,,,,,,,,
Mizoram,age_below10,15,0.0,0.0,0.0,100.0,66.6667,0.0,33.3333,0.0,33.3333,0.0,100.0,66.6667
Tripura,age_10_13,16,1.0251,0.3874,0.7009,85.6596,88.4212,13.5488,10.5835,13.5488,10.5835,0.0,86.4512,89.4165
Tripura,age_14_17,16,23.9041,1.9174,12.541,65.1907,68.9092,32.2917,21.9848,32.2917,21.9848,0.0,67.7083,78.0152
Tripura,age_18_21,16,71.6811,21.3227,46.5095,29.6955,41.8176,65.9606,30.9902,65.9606,30.9902,0.0,34.0394,69.0098
Tripura,age_22_25,16,71.6811,21.3227,46.5095,,,,,,,,,
Tripura,age_26_29,16,88.3522,58.0526,73.7243,,,,,,,,,
Tripura,age_30_33,16,91.0257,83.9712,87.4255,,,,,,,,,
Tripura,age_34_plus,16,68.4725,94.2423,81.8143,,,,,,,,,
Tripura,age_below10,16,0.0,0.0,0.0,61.9098,63.5815,37.9305,36.2227,37.9305,36.2227,0.0,62.0695,63.7773
Meghalaya,age_10_13,17,1.6552,0.3922,1.0067,53.8462,62.5585,45.1282,35.1014,45.1282,35.1014,0.0,54.8718,64.8986
Meghalaya,age_14_17,17,21.8254,5.3435,12.5108,49.3363,50.969,48.4513,36.4341,48.4513,36.4341,0.0,51.5487,63.5659
Meghalaya,age_18_21,17,68.4332,27.9503,47.1101,25.5208,34.6008,71.875,32.6996,71.875,32.6996,0.0,28.125,67.3004
Meghalaya,age_22_25,17,68.4332,27.9503,47.1101,,,,,,,,,
Meghalaya,age_26_29,17,88.5965,54.5455,71.4597,,,,,,,,,
Meghalaya,age_30_33,17,88.9952,76.6147,82.5836,,,,,,,,,
Meghalaya,age_34_plus,17,70.7335,91.8355,82.4818,,,,,,,,,
Meghalaya,age_below10,17,0.0,0.0,0.0,40.1062,41.0783,59.6282,58.665,59.6282,58.665,0.0,40.3718,41.335
Assam,age_10_13,18,1.3385,0.359,0.8381,72.4615,77.2435,26.5596,20.4623,26.5596,20.4623,0.0,73.4404,79.5377
Assam,age_14_17,18,19.3907,2.0172,10.1523,53.6105,55.4746,43.5191,30.187,43.5191,30.187,0.0,56.4809,69.813
Assam,age_18_21,18,65.728,17.1708,40.5112,28.2624,33.9551,66.6599,35.9185,66.6599,35.9185,0.0,33.3401,64.0815
Assam,age_22_25,18,65.728,17.1708,40.5112,,,,,,,,,
Assam,age_26_29,18,86.1146,50.2789,68.6049,,,,,,,,,
Assam,age_30_33,18,90.8384,76.5459,83.6687,,,,,,,,,
Assam,age_34_plus,18,70.1268,91.5147,81.4855,,,,,,,,,
Assam,age_below10,18,0.0,0.0,0.0,55.0655,57.7071,44.6779,41.8589,44.6779,41.8589,0.0,55.3221,58.1411
West Bengal,age_10_13,19,1.522,0.5106,0.9983,69.9029,77.7153,28.3071,19.2911,28.3071,19.2911,0.0,71.6929,80.7089
West Bengal,age_14_17,19,34.3947,3.311,17.5277,42.6735,50.2531,50.7907,30.1276,50.7907,30.1276,0.0,49.2093,69.8724
West Bengal,age_18_21,19,84.9674,34.6476,60.0139,15.882,27.542,75.3552,32.5031,75.3552,32.5031,0.0,24.6448,67.4969
West Bengal,age_22_25,19,84.9674,34.6476,60.0139,,,,,,,,,
West Bengal,age_26_29,19,93.3733,71.859,82.8602,,,,,,,,,
West Bengal,age_30_33,19,93.388,89.4661,91.386,,,,,,,,,
West Bengal,age_34_plus,19,70.0243,93.9671,82.4124,,,,,,,,,
West Bengal,age_below10,19,0.0,0.0,0.0,54.0554,57.2007,45.7512,42.4902,45.7512,42.4902,0.0,54.2488,57.5098
Jharkhand,age_10_13,20,2.6251,0.5765,1.5349,41.0238,59.565,57.2474,37.5307,57.2474,37.5307,0.0,42.7526,62.4693
Jharkhand,age_14_17,20,47.2107,9.9234,26.5183,26.8017,46.1583,66.7911,39.8312,66.7911,39.8312,0.0,33.2089,60.1688
Jharkhand,age_18_21,20,91.6532,58.4444,75.2054,9.0901,28.287,79.9339,43.8136,79.9339,43.8136,0.0,20.0661,56.1864
Jharkhand,age_22_25,20,91.6532,58.4444,75.2054,,,,,,,,,
Jharkhand,age_26_29,20,96.0125,86.6138,91.3623,,,,,,,,,
Jharkhand,age_30_33,20,95.0532,94.4575,94.7632,,,,,,,,,
Jharkhand,age_34_plus,20,77.9399,92.0004,85.2175,,,,,,,,,
Jharkhand,age_below10,20,0.0,0.0,0.0,27.6371,36.7643,72.0829,62.7842,72.0829,62.7842,0.0,27.9171,37.2158
State - ORISSA  21,age_10_13,21,1.0409,0.2944,0.6611,62.2988,76.1768,36.6886,22.2272,36.6886,22.2272,0.0,63.3114,77.7728
State - ORISSA  21,age_14_17,21,16.455,1.9283,9.1519,32.4559,48.9497,62.9212,39.5548,62.9212,39.5548,0.0,37.0788,60.4452
State - ORISSA  21,age_18_21,21,71.2969,23.1268,46.9418,12.5326,24.6636,79.9155,47.8841,79.9155,47.8841,0.0,20.0845,52.1159
State - ORISSA  21,age_22_25,21,71.2969,23.1268,46.9418,,,,,,,,,
State - ORISSA  21,age_26_29,21,92.0831,68.0263,80.5191,,,,,,,,,
State - ORISSA  21,age_30_33,21,93.8808,91.7814,92.8575,,,,,,,,,
State - ORISSA  21,age_34_plus,21,75.6829,93.3776,84.7415,,,,,,,,,
State - ORISSA  21,age_below10,21,0.0,0.0,0.0,53.1372,58.6373,46.7194,41.1048,46.7194,41.1048,0.0,53.2806,58.8952
Chhattisgarh,age_10_13,22,1.3301,0.485,0.8947,77.1335,87.3798,21.2342,11.1871,21.2342,11.1871,0.0,78.7658,88.8129
Chhattisgarh,age_14_17,22,25.0082,4.9469,14.1862,43.0936,63.9579,46.2013,23.5203,46.2013,23.5203,0.0,53.7987,76.4797
Chhattisgarh,age_18_21,22,83.2278,47.3576,65.4082,16.0802,38.4772,61.0605,30.1432,61.0605,30.1432,0.0,38.9395,69.8568
Chhattisgarh,age_22_25,22,83.2278,47.3576,65.4082,,,,,,,,,
Chhattisgarh,age_26_29,22,92.3303,82.4494,87.4258,,,,,,,,,
Chhattisgarh,age_30_33,22,93.4162,94.2083,93.7998,,,,,,,,,
Chhattisgarh,age_34_plus,22,73.5831,91.7756,82.3877,,,,,,,,,
Chhattisgarh,age_below10,22,0.0,0.0,0.0,58.6008,62.0588,41.1808,37.6976,41.1808,37.6976,0.0,58.8192,62.3024
Madhya Pradesh,age_10_13,23,4.2944,1.417,2.734,72.4422,84.8104,25.4075,12.5216,25.4075,12.5216,0.0,74.5925,87.4784
Madhya Pradesh,age_14_17,23,44.171,11.7952,25.395,40.2396,61.2943,49.0215,20.676,49.0215,20.676,0.0,50.9785,79.324
Madhya Pradesh,age_18_21,23,90.8121,56.4693,72.8663,14.5838,34.1285,65.344,25.3988,65.344,25.3988,0.0,34.656,74.6012
Madhya Pradesh,age_22_25,23,90.8121,56.4693,72.8663,,,,,,,,,
Madhya Pradesh,age_26_29,23,96.4319,84.3756,90.2794,,,,,,,,,
Madhya Pradesh,age_30_33,23,96.2509,92.7162,94.47,,,,,,,,,
Madhya Pradesh,age_34_plus,23,77.1939,90.2307,83.8841,,,,,,,,,
Madhya Pradesh,age_below10,23,0.0,0.0,0.0,51.0322,55.6546,48.7307,44.0295,48.7307,44.0295,0.0,51.2693,55.9705
Gujarat,age_10_13,24,1.2228,0.4245,0.7984,81.876,89.6273,16.9693,8.7831,16.9693,8.7831,0.0,83.0307,91.2169
Gujarat,age_14_17,24,14.8278,2.8439,8.3914,45.1628,61.8203,46.67,21.2889,46.67,21.2889,0.0,53.33,78.7111
Gujarat,age_18_21,24,76.5899,35.9846,54.9137,19.1233,29.4864,66.6511,27.8453,66.6511,27.8453,0.0,33.3489,72.1547
Gujarat,age_22_25,24,76.5899,35.9846,54.9137,,,,,,,,,
Gujarat,age_26_29,24,94.0746,77.7499,85.7459,,,,,,,,,
Gujarat,age_30_33,24,95.2014,91.439,93.3008,,,,,,,,,
Gujarat,age_34_plus,24,77.0416,91.9718,84.5417,,,,,,,,,
Gujarat,age_below10,24,0.0,0.0,0.0,65.2479,67.2868,34.6385,32.5099,34.6385,32.5099,0.0,65.3615,67.4901
Daman & Diu,age_10_13,25,1.4493,0.0,0.6969,92.5764,95.1807,7.4236,3.6145,7.4236,3.6145,0.0,92.5764,96.3855
Daman & Diu,age_14_17,25,7.4349,1.7422,4.4964,71.0407,80.5,27.1493,9.5,27.1493,9.5,0.0,72.8507,90.5
Daman & Diu,age_18_21,25,67.7686,18.5965,41.1765,28.4211,39.7059,68.4211,15.4412,68.4211,15.4412,0.0,31.5789,84.5588
Daman & Diu,age_22_25,25,67.7686,18.5965,41.1765,,,,,,,,,
Daman & Diu,age_26_29,25,90.4306,61.0236,74.2981,,,,,,,,,
Daman & Diu,age_30_33,25,87.8205,90.8213,89.5317,,,,,,,,,
Daman & Diu,age_34_plus,25,65.9864,94.3925,79.2302,,,,,,,,,
Daman & Diu,age_below10,25,0.0,0.0,0.0,81.6964,78.8104,18.3036,20.0743,18.3036,20.0743,0.0,81.6964,79.9257
Dadra & Nagar Haveli,age_10_13,26,1.2048,0.5,0.8197,92.5373,96.1538,6.7164,3.2051,6.7164,3.2051,0.0,93.2836,96.7949
Dadra & Nagar Haveli,age_14_17,26,22.8261,3.4934,12.1065,67.6056,78.8571,19.0141,10.2857,19.0141,10.2857,0.0,80.9859,89.7143
Dadra & Nagar Haveli,age_18_21,26,79.1837,28.5714,53.1746,21.6216,36.7347,63.5135,17.3469,63.5135,17.3469,0.0,36.4865,82.6531
Dadra & Nagar Haveli,age_22_25,26,79.1837,28.5714,53.1746,,,,,,,,,
Dadra & Nagar Haveli,age_26_29,26,93.1193,76.4706,84.1438,,,,,,,,,
Dadra & Nagar Haveli,age_30_33,26,97.9021,97.4227,97.6261,,,,,,,,,
Dadra & Nagar Haveli,age_34_plus,26,77.9817,95.4628,86.7701,,,,,,,,,
Dadra & Nagar Haveli,age_below10,26,0.0,0.0,0.0,67.4312,60.7306,32.5688,39.2694,32.5688,39.2694,0.0,67.4312,60.7306
Maharashtra,age_10_13,27,1.0431,0.3275,0.6685,88.522,91.9802,9.7611,6.0934,9.7611,6.0934,0.0,90.2389,93.9066
Maharashtra,age_14_17,27,20.7062,1.7219,10.1307,65.771,72.6211,25.2337,14.0062,25.2337,14.0062,0.0,74.7663,85.9938
Maharashtra,age_18_21,27,77.6051,26.8664,50.9769,30.1957,45.49,49.4734,22.6225,49.4734,22.6225,0.0,50.5266,77.3775
Maharashtra,age_22_25,27,77.6051,26.8664,50.9769,,,,,,,,,
Maharashtra,age_26_29,27,91.2128,70.6063,80.9404,,,,,,,,,
Maharashtra,age_30_33,27,92.1056,91.9618,92.0335,,,,,,,,,
Maharashtra,age_34_plus,27,72.6535,94.1853,83.3038,,,,,,,,,
Maharashtra,age_below10,27,0.0,0.0,0.0,68.4142,68.7583,31.3656,30.9492,31.3656,30.9492,0.0,68.6344,69.0508
Andhra Pradesh,age_10_13,28,1.6733,0.3978,1.0076,69.5349,81.7099,19.8931,10.4056,19.8931,10.4056,0.0,80.1069,89.5944
Andhra Pradesh,age_14_17,28,36.6224,3.424,19.0717,39.1177,52.622,33.3049,17.6489,33.3049,17.6489,0.0,66.6951,82.3511
Andhra Pradesh,age_18_21,28,84.2193,43.6427,64.317,15.6081,29.0618,45.7568,22.5235,45.7568,22.5235,0.0,54.2432,77.4765
Andhra Pradesh,age_22_25,28,84.2193,43.6427,64.317,,,,,,,,,
