state_name,age_bracket,state_code,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Uttar Pradesh,age_26_29,09,97.3581,90.3311,,,,,
Uttar Pradesh,age_30_33,09,97.3567,94.4726,,,,,
Uttar Pradesh,age_34_plus,09,81.6161,84.7702,,,,,
Uttar Pradesh,age_below10,09,0.0,0.0,43.6221,56.0412,56.0412,0.0,43.9588
Bihar,age_10_13,10,4.4497,2.7206,29.5453,67.2963,67.2963,0.0,32.7037
Bihar,age_14_17,10,57.5547,33.5808,17.9747,69.8322,69.8322,0.0,30.1678
Bihar,age_18_21,10,96.0921,82.3984,5.4763,74.6927,74.6927,0.0,25.3073
Bihar,age_22_25,10,96.0921,82.3984,,,,,
Bihar,age_26_29,10,98.2995,94.9162,,,,,
Bihar,age_30_33,10,97.3274,96.7452,,,,,
Bihar,age_34_plus,10,83.2439,87.6998,,,,,
Bihar,age_below10,10,0.0,0.0,17.6098,81.8581,81.8581,0.0,18.1419
Sikkim,age_10_13,11,0.9896,0.7018,82.2006,13.7864,13.7864,0.0,86.2136
Sikkim,age_14_17,11,21.7019,13.631,60.7568,23.8963,23.8963,0.0,76.1037
Sikkim,age_18_21,11,63.396,49.9283,29.7568,45.9227,45.9227,0.0,54.0773
Sikkim,age_22_25,11,63.396,49.9283,,,,,
Sikkim,age_26_29,11,81.6429,76.6193,,,,,
Sikkim,age_30_33,11,87.2418,85.3939,,,,,
Sikkim,age_34_plus,11,77.1513,81.6985,,,,,
Sikkim,age_below10,11,0.0,0.0,64.9886,34.7254,34.7254,0.0,65.2746
Arunachal Pradesh,age_10_13,12,1.0499,0.7722,73.3542,24.7649,24.7649,0.0,75.2351
Arunachal Pradesh,age_14_17,12,29.9611,15.798,51.8018,41.8919,41.8919,0.0,58.1081
Arunachal Pradesh,age_18_21,12,85.6481,56.9524,26.8041,63.9175,63.9175,0.0,36.0825
Arunachal Pradesh,age_22_25,12,85.6481,56.9524,,,,,
Arunachal Pradesh,age_26_29,12,92.8315,77.8816,,,,,
Arunachal Pradesh,age_30_33,12,96.2617,91.9325,,,,,
Arunachal Pradesh,age_34_plus,12,84.9287,91.5686,,,,,
Arunachal Pradesh,age_below10,12,0.0,0.0,52.1845,47.5728,47.5728,0.0,52.4272
Manipur,age_10_13,14,1.2488,0.796,88.9503,10.5762,10.5762,0.0,89.4238
Manipur,age_14_17,14,9.0164,5.5259,80.409,15.8282,15.8282,0.0,84.1718
Manipur,age_18_21,14,42.0627,30.8324,60.9375,29.6875,29.6875,0.0,70.3125
Manipur,age_22_25,14,42.0627,30.8324,,,,,
Manipur,age_26_29,14,67.5465,60.2189,,,,,
Manipur,age_30_33,14,81.3876,79.3421,,,,,
Manipur,age_34_plus,14,73.7976,81.6353,,,,,
Manipur,age_below10,14,0.0,0.0,70.9182,28.7997,28.7997,0.0,71.2003
Mizoram,age_10_13,15,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Mizoram,age_14_17,15,0.0,0.0,60.0,40.0,40.0,0.0,60.0
Mizoram,age_18_21,15,83.3333,23.5294,100.0,0.0,0.0,0.0,100.0
Mizoram,age_22_25,15,83.3333,23.5294,,,,,
Mizoram,age_26_29,15,100.0,45.283,,,,,
