state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Rajasthan,age_14_17,08,27.6572,17.6257,41.5281,16.0175,28.057,23.576,55.8302,58.742,24.3619,58.742,24.3619,57.2853,19.6044,42.7147,80.3956,0.0,41.258,75.6381
Rajasthan,age_18_21,08,26.279,16.0605,93.219,67.1349,80.1856,10.6395,34.3101,60.3729,23.9802,60.3729,23.9802,68.0956,23.7441,31.9044,76.2559,0.0,39.6271,76.0198
Rajasthan,age_22_25,08,27.9184,16.3991,93.219,67.1349,80.1856,,,,,,,74.7624,27.4571,25.2376,72.5429,,,
Rajasthan,age_26_29,08,30.96,18.4147,97.6069,90.686,94.1175,,,,,,,79.9153,33.2228,20.0847,66.7772,,,
Rajasthan,age_30_33,08,32.554,20.9211,96.8553,94.6612,95.7586,,,,,,,83.9334,40.6866,16.0666,59.3134,,,
Rajasthan,age_34_plus,08,32.2905,28.4467,80.8242,90.5623,85.819,,,,,,,93.3692,60.6837,6.6308,39.3163,,,
Rajasthan,age_below10,08,96.1251,96.4908,0.0,0.0,0.0,41.0352,55.9913,58.267,43.4253,58.267,43.4253,85.6788,79.4855,14.3212,20.5145,0.0,41.733,56.5747
Uttar Pradesh,age_10_13,09,62.3227,55.4396,3.5368,1.6212,2.5314,36.97,59.134,59.4465,35.3508,59.4465,35.3508,59.9787,36.378,40.0213,63.622,0.0,40.5535,64.6492
Uttar Pradesh,age_14_17,09,24.4128,18.2096,33.1378,12.661,22.4272,23.1316,45.8445,66.7632,33.2683,66.7632,33.2683,63.0263,36.2905,36.9737,63.7095,0.0,33.2368,66.7317
Uttar Pradesh,age_18_21,09,18.8559,13.214,89.8694,63.695,77.1737,10.4502,28.5927,72.8832,31.1199,72.8832,31.1199,74.7053,41.8731,25.2947,58.1269,0.0,27.1168,68.8801
