state_name,age_bracket,state_code,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,School_attendance_rate_SC_male
Bihar,age_18_21,10,67.4186,82.3984,21.3897,31.0055,31.0055,68.9945
Bihar,age_22_25,10,67.4186,82.3984,,,,
Bihar,age_26_29,10,91.3311,94.9162,,,,
Bihar,age_30_33,10,96.1368,96.7452,,,,
Bihar,age_34_plus,10,91.7176,87.6998,,,,
Bihar,age_below10,10,0.0,0.0,25.7031,73.43,73.43,26.57
Sikkim,age_10_13,11,0.4152,0.7018,85.4086,10.7652,10.7652,89.2348
Sikkim,age_14_17,11,4.9663,13.631,60.1326,20.339,20.339,79.661
Sikkim,age_18_21,11,35.6245,49.9283,35.6601,25.0379,25.0379,74.9621
Sikkim,age_22_25,11,35.6245,49.9283,,,,
Sikkim,age_26_29,11,70.9708,76.6193,,,,
Sikkim,age_30_33,11,83.7336,85.3939,,,,
Sikkim,age_34_plus,11,85.5584,81.6985,,,,
Sikkim,age_below10,11,0.0,0.0,64.1436,34.8619,34.8619,65.1381
Arunachal Pradesh,age_10_13,12,0.5051,0.7722,81.9018,16.2577,16.2577,83.7423
Arunachal Pradesh,age_14_17,12,5.6022,15.798,65.0558,22.3048,22.3048,77.6952
Arunachal Pradesh,age_18_21,12,36.8932,56.9524,30.3797,24.0506,24.0506,75.9494
Arunachal Pradesh,age_22_25,12,36.8932,56.9524,,,,
Arunachal Pradesh,age_26_29,12,66.3912,77.8816,,,,
Arunachal Pradesh,age_30_33,12,89.0282,91.9325,,,,
Arunachal Pradesh,age_34_plus,12,94.7064,91.5686,,,,
Arunachal Pradesh,age_below10,12,0.0,0.0,56.9161,42.1769,42.1769,57.8231
Manipur,age_10_13,14,0.3604,0.796,90.0264,9.1802,9.1802,90.8198
Manipur,age_14_17,14,1.9785,5.5259,81.48,11.4097,11.4097,88.5903
Manipur,age_18_21,14,18.763,30.8324,66.1135,16.3319,16.3319,83.6681
Manipur,age_22_25,14,18.763,30.8324,,,,
Manipur,age_26_29,14,51.9481,60.2189,,,,
Manipur,age_30_33,14,77.2612,79.3421,,,,
Manipur,age_34_plus,14,89.3461,81.6353,,,,
Manipur,age_below10,14,0.0,0.0,72.4179,27.2508,27.2508,72.7492
Mizoram,age_10_13,15,0.0,0.0,100.0,0.0,0.0,100.0
Mizoram,age_14_17,15,0.0,0.0,85.7143,0.0,0.0,100.0
Mizoram,age_18_21,15,10.7143,23.5294,33.3333,33.3333,33.3333,66.6667
Mizoram,age_22_25,15,10.7143,23.5294,,,,
Mizoram,age_26_29,15,35.5556,45.283,,,,
Mizoram,age_30_33,15,75.0,78.4314,,,,
Mizoram,age_34_plus,15,89.2308,88.8889,,,,
Mizoram,age_below10,15,0.0,0.0,66.6667,33.3333,33.3333,66.6667
Tripura,age_10_13,16,0.3874,0.7009,88.4212,10.5835,10.5835,89.4165
Tripura,age_14_17,16,1.9174,12.541,68.9092,21.9848,21.9848,78.0152
Tripura,age_18_21,16,21.3227,46.5095,41.8176,30.9902,30.9902,69.0098
Tripura,age_22_25,16,21.3227,46.5095,,,,
Tripura,age_26_29,16,58.0526,73.7243,,,,
Tripura,age_30_33,16,83.9712,87.4255,,,,
Tripura,age_34_plus,16,94.2423,81.8143,,,,
Tripura,age_below10,16,0.0,0.0,63.5815,36.2227,36.2227,63.7773
Meghalaya,age_10_13,17,0.3922,1.0067,62.5585,35.1014,35.1014,64.8986
Meghalaya,age_14_17,17,5.3435,12.5108,50.969,36.4341,36.4341,63.5659
Meghalaya,age_18_21,17,27.9503,47.1101,34.6008,32.6996,32.6996,67.3004
Meghalaya,age_22_25,17,27.9503,47.1101,,,,
Meghalaya,age_26_29,17,54.5455,71.4597,,,,
Meghalaya,age_30_33,17,76.6147,82.5836,,,,
Meghalaya,age_34_plus,17,91.8355,82.4818,,,,
Meghalaya,age_below10,17,0.0,0.0,41.0783,58.665,58.665,41.335
Assam,age_10_13,18,0.359,0.8381,77.2435,20.4623,20.4623,79.5377
Assam,age_14_17,18,2.0172,10.1523,55.4746,30.187,30.187,69.813
Assam,age_18_21,18,17.1708,40.5112,33.9551,35.9185,35.9185,64.0815
Assam,age_22_25,18,17.1708,40.5112,,,,
Assam,age_26_29,18,50.2789,68.6049,,,,
Assam,age_30_33,18,76.5459,83.6687,,,,
Assam,age_34_plus,18,91.5147,81.4855,,,,
Assam,age_below10,18,0.0,0.0,57.7071,41.8589,41.8589,58.1411
West Bengal,age_10_13,19,0.5106,0.9983,77.7153,19.2911,19.2911,80.7089
West Bengal,age_14_17,19,3.311,17.5277,50.2531,30.1276,30.1276,69.8724
West Bengal,age_18_21,19,34.6476,60.0139,27.542,32.5031,32.5031,67.4969
West Bengal,age_22_25,19,34.6476,60.0139,,,,
West Bengal,age_26_29,19,71.859,82.8602,,,,
West Bengal,age_30_33,19,89.4661,91.386,,,,
West Bengal,age_34_plus,19,93.9671,82.4124,,,,
West Bengal,age_below10,19,0.0,0.0,57.2007,42.4902,42.4902,57.5098
Jharkhand,age_10_13,20,0.5765,1.5349,59.565,37.5307,37.5307,62.4693
Jharkhand,age_14_17,20,9.9234,26.5183,46.1583,39.8312,39.8312,60.1688
