state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Bihar,age_below10,10,94.1964,0.0,0.0,16.2817,82.9616,82.9616,93.216,6.784,0.0,17.0384
Sikkim,age_10_13,11,61.2644,1.4005,0.9219,85.2456,10.5272,10.5272,16.615,83.385,0.0,89.4728
Sikkim,age_14_17,11,21.4872,12.7043,7.7271,71.9567,14.1749,14.1749,16.5735,83.4265,0.0,85.8251
Sikkim,age_18_21,11,15.7365,52.3872,39.1717,48.258,26.8718,26.8718,18.977,81.023,0.0,73.1282
Sikkim,age_22_25,11,14.7965,52.3872,39.1717,,,,24.3752,75.6248,,
Sikkim,age_26_29,11,14.5266,75.0779,65.7194,,,,29.8027,70.1973,,
Sikkim,age_30_33,11,16.9182,86.6504,81.6226,,,,40.7799,59.2201,,
Sikkim,age_34_plus,11,25.4753,76.7462,79.2645,,,,73.5412,26.4588,,
Sikkim,age_below10,11,97.2665,0.0,0.0,66.7157,32.0641,32.0641,77.9194,22.0806,0.0,67.9359
Arunachal Pradesh,age_10_13,12,61.7185,1.5028,0.9707,65.214,30.1302,30.1302,37.3591,62.6409,0.0,69.8698
Arunachal Pradesh,age_14_17,12,21.0274,15.5904,9.6957,64.8058,20.65,20.65,29.1231,70.8769,0.0,79.35
Arunachal Pradesh,age_18_21,12,14.0502,64.3611,48.8552,41.5536,26.7289,26.7289,35.2491,64.7509,0.0,73.2711
Arunachal Pradesh,age_22_25,12,13.9211,64.3611,48.8552,,,,42.4401,57.5599,,
Arunachal Pradesh,age_26_29,12,15.0018,86.6507,78.9273,,,,53.6873,46.3127,,
Arunachal Pradesh,age_30_33,12,18.7062,90.728,88.4505,,,,67.3395,32.6605,,
Arunachal Pradesh,age_34_plus,12,26.9111,74.7375,81.5438,,,,89.9259,10.0741,,
Arunachal Pradesh,age_below10,12,96.8705,0.0,0.0,41.6589,57.5423,57.5423,86.2023,13.7977,0.0,42.4577
Nagaland,age_10_13,13,36.7616,1.3152,0.8833,76.2686,19.167,19.167,25.4283,74.5717,0.0,80.833
Nagaland,age_14_17,13,8.6988,7.4317,4.4442,70.8266,17.4912,17.4912,23.0596,76.9404,0.0,82.5088
Nagaland,age_18_21,13,6.7138,29.027,20.1415,56.8624,21.4712,21.4712,26.0557,73.9443,0.0,78.5288
Nagaland,age_22_25,13,6.4994,29.027,20.1415,,,,29.5953,70.4047,,
Nagaland,age_26_29,13,8.2555,59.4837,49.7984,,,,34.0534,65.9466,,
Nagaland,age_30_33,13,10.284,77.6921,72.8935,,,,39.0515,60.9485,,
Nagaland,age_34_plus,13,16.2572,83.3099,87.0733,,,,60.0147,39.9853,,
Nagaland,age_below10,13,93.1458,0.0,0.0,57.761,40.6835,40.6835,79.213,20.787,0.0,59.3165
Manipur,age_10_13,14,46.8507,1.1584,0.8126,77.3386,19.878,19.878,30.091,69.909,0.0,80.122
Manipur,age_14_17,14,12.652,7.7919,4.7289,72.3715,18.3131,18.3131,21.8284,78.1716,0.0,81.6869
Manipur,age_18_21,14,8.819,30.9581,22.3219,59.8463,23.1793,23.1793,23.7931,76.2069,0.0,76.8207
Manipur,age_22_25,14,7.2615,30.9581,22.3219,,,,27.2096,72.7904,,
Manipur,age_26_29,14,8.4164,58.8506,50.2374,,,,34.6642,65.3358,,
Manipur,age_30_33,14,10.2672,75.8044,71.3627,,,,40.97,59.03,,
Manipur,age_34_plus,14,16.4405,79.8899,85.2473,,,,61.3928,38.6072,,
Manipur,age_below10,14,92.7198,0.0,0.0,57.0807,41.6754,41.6754,84.2182,15.7818,0.0,58.3246
Mizoram,age_10_13,15,58.3795,0.5734,0.4088,88.0375,10.1029,10.1029,9.0574,90.9426,0.0,89.8971
Mizoram,age_14_17,15,15.1257,9.7694,5.9396,66.9761,16.0659,16.0659,6.8159,93.1841,0.0,83.9341
Mizoram,age_18_21,15,14.4596,45.1772,34.9185,39.539,28.2533,28.2533,7.2324,92.7676,0.0,71.7467
Mizoram,age_22_25,15,14.7108,45.1772,34.9185,,,,7.4563,92.5437,,
Mizoram,age_26_29,15,17.4205,69.2995,63.1769,,,,8.6102,91.3898,,
Mizoram,age_30_33,15,23.4594,79.7125,77.7831,,,,10.7556,89.2444,,
Mizoram,age_34_plus,15,52.761,72.3962,78.7565,,,,19.4689,80.5311,,
Mizoram,age_below10,15,98.3503,0.0,0.0,65.1341,34.5656,34.5656,76.6264,23.3736,0.0,65.4344
Tripura,age_10_13,16,54.0761,0.9623,0.7087,70.7849,27.7002,27.7002,27.5244,72.4756,0.0,72.2998
Tripura,age_14_17,16,18.0149,18.4488,10.7306,56.3595,36.5279,36.5279,30.9168,69.0832,0.0,63.4721
Tripura,age_18_21,16,18.5394,67.525,53.1233,27.7262,55.1348,55.1348,40.9391,59.0609,0.0,44.8652
Tripura,age_22_25,16,19.2238,67.525,53.1233,,,,47.2635,52.7365,,
Tripura,age_26_29,16,22.4127,87.754,81.7026,,,,57.0027,42.9973,,
Tripura,age_30_33,16,26.9655,92.6423,91.6415,,,,66.2167,33.7833,,
Tripura,age_34_plus,16,37.37,79.8593,86.6223,,,,82.2835,17.7165,,
Tripura,age_below10,16,97.6658,0.0,0.0,48.4683,51.172,51.172,79.7737,20.2263,0.0,48.828
Meghalaya,age_10_13,17,66.1313,1.4259,0.9225,69.2557,27.1571,27.1571,30.5346,69.4654,0.0,72.8429
Meghalaya,age_14_17,17,31.7624,13.9872,8.2115,63.0404,23.0214,23.0214,22.108,77.892,0.0,76.9786
Meghalaya,age_18_21,17,25.8207,54.4981,40.9893,45.484,29.6615,29.6615,25.3751,74.6249,0.0,70.3385
Meghalaya,age_22_25,17,27.207,54.4981,40.9893,,,,28.9091,71.0909,,
Meghalaya,age_26_29,17,30.9667,78.1354,71.424,,,,37.0057,62.9943,,
Meghalaya,age_30_33,17,33.8439,84.2185,83.0222,,,,41.1651,58.8349,,
Meghalaya,age_34_plus,17,42.9607,71.4796,80.1625,,,,57.2184,42.7816,,
Meghalaya,age_below10,17,95.2937,0.0,0.0,44.268,54.6586,54.6586,86.6032,13.3968,0.0,45.3414
Assam,age_10_13,18,40.1259,1.3103,0.8485,73.5382,24.5722,24.5722,23.369,76.631,0.0,75.4278
Assam,age_14_17,18,11.2471,14.1309,8.3047,60.9962,33.3141,33.3141,23.7435,76.2565,0.0,66.6859
Assam,age_18_21,18,10.0959,54.5551,38.903,38.4573,49.6099,49.6099,29.5881,70.4119,0.0,50.3901
Assam,age_22_25,18,10.5442,54.5551,38.903,,,,36.5267,63.4733,,
Assam,age_26_29,18,14.8375,80.3513,69.6511,,,,48.2944,51.7056,,
Assam,age_30_33,18,20.6317,88.2349,84.6576,,,,57.6704,42.3296,,
Assam,age_34_plus,18,33.447,77.1935,84.7899,,,,74.366,25.634,,
Assam,age_below10,18,95.6156,0.0,0.0,54.9652,44.4412,44.4412,79.1493,20.8507,0.0,55.5588
West Bengal,age_10_13,19,67.8735,1.6256,1.0295,53.3904,43.3618,43.3618,41.3805,58.6195,0.0,56.6382
West Bengal,age_14_17,19,34.2312,31.8205,17.2114,30.7096,54.0229,54.0229,50.29,49.71,0.0,45.9771
West Bengal,age_18_21,19,34.4056,79.3152,60.7907,11.6137,62.9575,62.9575,60.5718,39.4282,0.0,37.0425
West Bengal,age_22_25,19,35.7782,79.3152,60.7907,,,,68.9299,31.0701,,
West Bengal,age_26_29,19,37.9625,88.7676,82.1997,,,,76.0551,23.9449,,
West Bengal,age_30_33,19,39.979,89.046,89.1712,,,,82.2086,17.7914,,
West Bengal,age_34_plus,19,43.5562,66.969,78.6924,,,,90.2859,9.7141,,
West Bengal,age_below10,19,97.6961,0.0,0.0,42.1479,57.49,57.49,82.9939,17.0061,0.0,42.51
Jharkhand,age_10_13,20,50.2374,1.5143,0.9517,45.1379,51.4799,51.4799,51.3126,48.6874,0.0,48.5201
Jharkhand,age_14_17,20,15.8954,25.3666,15.0725,32.1065,56.4472,56.4472,52.3776,47.6224,0.0,43.5528
Jharkhand,age_18_21,20,12.139,72.5916,57.5462,15.6506,65.4325,65.4325,60.0772,39.9228,0.0,34.5675
Jharkhand,age_22_25,20,11.1726,72.5916,57.5462,,,,68.0538,31.9462,,
Jharkhand,age_26_29,20,12.527,86.9591,80.0277,,,,75.8726,24.1274,,
Jharkhand,age_30_33,20,14.354,90.1523,88.7034,,,,81.9269,18.0731,,
Jharkhand,age_34_plus,20,16.9492,71.4909,79.8774,,,,88.5076,11.4924,,
Jharkhand,age_below10,20,95.6292,0.0,0.0,30.7007,68.6576,68.6576,88.1573,11.8427,0.0,31.3424
State - ORISSA  21,age_10_13,21,44.6878,1.1448,0.7084,41.8242,55.3508,55.3508,52.7829,47.2171,0.0,44.6492
State - ORISSA  21,age_14_17,21,20.1665,20.3305,12.0711,22.6787,66.3469,66.3469,57.7939,42.2061,0.0,33.6531
State - ORISSA  21,age_18_21,21,21.6731,72.9991,54.4573,8.7964,73.6923,73.6923,65.6018,34.3982,0.0,26.3077
State - ORISSA  21,age_22_25,21,23.6108,72.9991,54.4573,,,,73.1482,26.8518,,
State - ORISSA  21,age_26_29,21,27.7668,89.5952,81.9774,,,,80.7077,19.2923,,
State - ORISSA  21,age_30_33,21,32.4143,91.4827,91.0762,,,,85.7699,14.2301,,
State - ORISSA  21,age_34_plus,21,39.9782,70.5319,80.7313,,,,92.2325,7.7675,,
State - ORISSA  21,age_below10,21,96.8196,0.0,0.0,36.9095,62.7269,62.7269,86.8383,13.1617,0.0,37.2731
Chhattisgarh,age_10_13,22,57.4996,1.2215,0.8188,63.5113,31.6458,31.6458,27.6699,72.3301,0.0,68.3542
