state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
Kerala,age_22_25,32,2.3476,2.5252,17.4528,38.3512,14.6286,38.7134,21.6481,31.8843,,,12.69,37.7958,26.9786,30.8938,31.7336,20.4659,21.1384,31.2506,,,,,16.3343,37.2354,,,,,,,,,11.7228,7.1463,2.352,1.6014,97.648,98.3986,,,
Kerala,age_26_29,32,4.626,4.4662,4.3489,26.973,3.7158,24.2968,5.712,31.0414,,,3.0529,20.6988,10.7206,33.0607,9.5773,38.4452,5.0793,34.2886,,,,,4.0873,28.3151,,,,,,,,,13.5175,10.3855,3.6995,2.3285,96.3005,97.6715,,,
Kerala,age_30_33,32,8.751,7.2097,1.638,12.497,1.5009,12.2263,1.7207,17.4283,,,1.6393,12.5718,2.9015,17.9935,2.0259,25.1166,1.1782,17.4156,,,,,1.3179,13.3836,,,,,,,,,9.8047,9.3191,5.4539,3.1053,94.5461,96.8947,,,
Kerala,age_34_plus,32,27.4244,22.6587,0.7705,5.0038,0.8915,6.1267,0.8626,6.4517,,,1.004,7.2127,1.0803,5.9716,0.6601,8.1663,0.4511,5.8809,,,,,0.6651,5.6648,,,,,,,,,5.0564,6.8629,23.398,9.923,76.602,90.077,,,
Kerala,age_below10,32,97.9232,98.0869,1.6194,0.6359,1.8211,0.6214,1.745,0.5977,,,1.901,0.6642,1.335,0.6248,1.2561,0.6653,1.6571,0.653,,,,,1.773,0.626,,,80.1114,79.5418,19.8178,20.2481,19.8178,20.2481,0.0,0.0,73.9018,74.1072,26.0982,25.8928,0.0,80.1822,79.7519
Tamil Nadu,age_10_13,33,18.9359,20.997,2.2038,0.1271,2.0368,0.1277,2.0218,0.1173,,,2.8719,0.1537,2.0216,0.1224,0.5486,0.1104,1.2409,0.1247,,,,,1.7594,0.1253,,,87.46,89.3867,10.0723,7.706,10.0723,7.706,0.0,0.0,6.7866,4.4521,93.2134,95.5479,0.0,89.9277,92.294
Tamil Nadu,age_14_17,33,5.435,5.3108,27.4922,1.3823,24.8937,1.2675,26.4565,1.0799,,,28.0254,1.7654,24.7376,0.954,13.0939,0.485,22.688,0.8371,,,,,24.5875,1.0464,,,58.715,63.7756,28.4221,18.2699,28.4221,18.2699,0.0,0.0,9.4158,5.4626,90.5842,94.5374,0.0,71.5779,81.7301
Tamil Nadu,age_18_21,33,5.79,5.5306,50.5859,25.8192,49.0034,22.7333,50.6459,22.5452,,,47.5431,27.3089,48.1809,18.9846,47.8078,11.4812,49.4708,17.7243,,,,,49.2326,21.2298,,,25.3071,32.3746,51.4226,28.2001,51.4226,28.2001,0.0,0.0,14.0244,6.8961,85.9756,93.1039,0.0,48.5774,71.7999
Tamil Nadu,age_22_25,33,6.2135,5.0927,11.8711,40.5516,13.9694,38.9463,12.6347,39.446,,,11.5553,39.171,14.5325,36.8118,22.231,32.1393,15.0596,37.5244,,,,,14.1591,39.3317,,,,,,,,,9.5119,9.1359,19.925,8.365,80.075,91.635,,,
Tamil Nadu,age_26_29,33,8.8334,5.898,1.9561,16.4718,2.6732,18.5534,2.1714,19.0223,,,1.9705,14.3451,3.5059,23.0784,5.7649,29.4865,2.9666,23.3421,,,,,2.6465,19.8736,,,,,,,,,9.9274,11.2307,30.2293,12.7724,69.7707,87.2276,,,
Tamil Nadu,age_30_33,33,10.414,7.0123,0.6838,8.2565,0.7359,9.581,0.6782,9.9905,,,0.8233,8.4366,1.0301,11.3847,1.2532,14.5248,0.6724,10.5863,,,,,0.6581,9.5544,,,,,,,,,8.7815,10.9772,36.2947,16.3129,63.7053,83.6871,,,
Tamil Nadu,age_34_plus,33,13.0235,10.732,0.2412,2.8762,0.2795,3.7088,0.2556,3.345,,,0.3932,3.4875,0.3364,3.516,0.3507,4.1035,0.217,3.2394,,,,,0.2291,3.3081,,,,,,,,,4.8351,7.8764,57.5424,28.2276,42.4576,71.7724,,,
Tamil Nadu,age_below10,33,93.3677,93.7805,1.0379,0.5884,1.0578,0.5958,1.0495,0.557,,,1.0144,0.5487,1.0259,0.6351,1.0874,0.7977,1.1548,0.744,,,,,1.09,0.6269,,,80.5914,80.981,19.0004,18.4857,19.0004,18.4857,0.0,0.0,72.5356,72.4036,27.4644,27.5964,0.0,80.9996,81.5143
State - PONDICHERRY  34,age_10_13,34,22.4763,25.392,3.9915,0.0697,3.8742,0.0764,4.0777,0.0621,,,5.2867,0.1194,2.8972,0.0637,0.3412,0.0486,1.1457,0.0653,,,,,2.382,0.1042,,,94.4345,95.1904,4.9187,3.7853,4.9187,3.7853,0.0,0.0,3.7369,3.2311,96.2631,96.7689,0.0,95.0813,96.2147
State - PONDICHERRY  34,age_14_17,34,2.8084,2.8768,34.9905,1.1187,33.1954,1.0485,29.3204,0.4965,,,35.2429,1.6429,27.0873,0.6157,12.3933,0.3173,24.8211,0.5982,,,,,30.2214,0.8197,,,70.4087,74.2265,23.8339,14.6633,23.8339,14.6633,0.0,0.0,3.9859,2.8619,96.0141,97.1381,0.0,76.1661,85.3367
State - PONDICHERRY  34,age_18_21,34,3.1765,3.1455,47.7273,22.0116,45.048,19.5806,47.767,12.0516,,,43.7854,23.9583,41.4939,13.5805,48.0004,8.3618,49.7273,14.1696,,,,,47.5441,17.8747,,,34.3364,42.1737,52.8875,25.277,52.8875,25.277,0.0,0.0,7.1836,3.5822,92.8164,96.4178,0.0,47.1125,74.723
State - PONDICHERRY  34,age_22_25,34,3.8708,3.0612,8.9867,41.8888,11.2318,39.675,11.8447,35.4723,,,8.9678,39.6093,16.7273,34.3549,25.9009,30.1769,16.2406,36.532,,,,,13.0003,39.554,,,,,,,,,15.0294,15.1663,10.8444,4.7098,89.1556,95.2902,,,
