state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Andhra Pradesh,age_14_17,28,9.6507,45.3224,45.5451,41.9319,,42.1465,42.521,27.5562,40.993,,,43.6485,40.1911,44.1617,35.7351,35.7351,0.0,24.8481,75.1519,0.0,64.2649
Andhra Pradesh,age_18_21,28,10.1123,34.3412,34.9582,35.2461,,33.0036,34.4059,49.1283,40.2516,,,38.1009,35.7774,20.3173,51.1943,51.1943,0.0,34.1933,65.8067,0.0,48.8057
Andhra Pradesh,age_22_25,28,11.103,3.672,3.7747,4.2542,,3.92,5.0302,10.9616,5.8156,,,4.6785,5.5669,,,,10.6085,41.2375,58.7625,,
Andhra Pradesh,age_26_29,28,14.1421,0.4607,0.4972,0.5722,,0.5426,0.9174,1.7987,0.849,,,0.6296,0.9026,,,,12.2914,50.3403,49.6597,,
Andhra Pradesh,age_30_33,28,16.5963,0.1867,0.1779,0.203,,0.2598,0.3028,0.404,0.2229,,,0.1934,0.2982,,,,11.7594,57.6241,42.3759,,
Andhra Pradesh,age_34_plus,28,20.6392,0.1276,0.1406,0.1401,,0.2743,0.1679,0.148,0.1245,,,0.1342,0.2361,,,,6.5335,72.3341,27.6659,,
Andhra Pradesh,age_below10,28,95.5324,2.7533,2.2226,4.0534,,3.583,3.2811,1.5498,1.6976,,,1.841,2.9223,71.2397,27.8942,27.8942,0.0,72.2376,27.7624,0.0,72.1058
Karnataka,age_10_13,29,35.9418,6.788,5.0018,5.7335,,7.2419,5.5175,1.1214,2.6258,,,4.1763,5.4009,77.1259,18.5322,18.5322,0.0,15.1802,84.8198,0.0,81.4678
Karnataka,age_14_17,29,8.7557,33.7212,29.8144,31.7248,,33.0747,29.4712,16.5789,27.9981,,,29.4837,28.8967,49.7329,36.7291,36.7291,0.0,18.7168,81.2832,0.0,63.2709
Karnataka,age_18_21,29,9.1897,46.3684,47.4004,48.7453,,45.0177,45.7793,50.508,48.3058,,,47.419,45.8345,21.9697,56.5202,56.5202,0.0,24.8501,75.1499,0.0,43.4798
Karnataka,age_22_25,29,9.7192,6.9705,9.7584,8.1962,,7.1198,10.844,19.4323,11.622,,,10.7061,10.8796,,,,10.5881,31.3548,68.6452,,
Karnataka,age_26_29,29,13.1481,1.0817,1.9208,1.3628,,1.1652,2.8074,5.0296,2.4146,,,2.1538,2.393,,,,13.3966,41.9939,58.0061,,
Karnataka,age_30_33,29,16.2507,0.3789,0.5895,0.4584,,0.505,0.875,1.1943,0.5686,,,0.5831,0.7132,,,,12.3479,49.7719,50.2281,,
Karnataka,age_34_plus,29,23.4986,0.1394,0.2427,0.1734,,0.2859,0.3003,0.3536,0.1829,,,0.2098,0.2989,,,,7.9465,65.8349,34.1651,,
