state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
INDIA,age_10_13,00,48.0564,2.7449,1.8308,67.2683,30.0558,30.0558,27.1296,72.8704,0.0,69.9442
INDIA,age_14_17,00,14.6607,30.4066,17.2513,42.7187,47.6199,47.6199,31.5091,68.4909,0.0,52.3801
INDIA,age_18_21,00,13.357,82.6548,61.7307,17.2459,65.6162,65.6162,41.1352,58.8648,0.0,34.3838
INDIA,age_below10,00,96.7116,0.0,0.0,51.1227,48.5053,48.5053,79.8967,20.1033,0.0,51.4947
Jammu & Kashmir,age_10_13,01,42.5282,2.1628,1.7105,75.9998,22.5863,22.5863,22.0109,77.9891,0.0,77.4137
Jammu & Kashmir,age_14_17,01,6.1372,12.0988,7.3073,54.7707,41.5393,41.5393,22.5717,77.4283,0.0,58.4607
Jammu & Kashmir,age_18_21,01,4.1572,60.9801,39.7365,25.3536,68.0243,68.0243,27.8725,72.1275,0.0,31.9757
Jammu & Kashmir,age_below10,01,95.9787,0.0,0.0,56.3979,43.3403,43.3403,78.311,21.689,0.0,56.6597
Himachal Pradesh,age_10_13,02,48.5755,0.9686,0.7338,93.2283,5.7037,5.7037,4.7823,95.2177,0.0,94.2963
Himachal Pradesh,age_14_17,02,7.4697,13.0177,7.3785,73.8256,19.4048,19.4048,7.7116,92.2884,0.0,80.5952
Himachal Pradesh,age_18_21,02,6.258,73.7808,50.5952,36.1877,44.8826,44.8826,13.71,86.29,0.0,55.1174
Himachal Pradesh,age_below10,02,98.7322,0.0,0.0,69.9505,29.8533,29.8533,71.5393,28.4607,0.0,70.1467
Punjab,age_10_13,03,51.0145,2.1083,1.7428,76.0823,22.3386,22.3386,18.5898,81.4102,0.0,77.6614
Punjab,age_14_17,03,8.351,12.5657,7.671,49.0287,44.2009,44.2009,22.2136,77.7864,0.0,55.7991
Punjab,age_18_21,03,5.5966,67.8166,48.1977,19.497,68.3519,68.3519,29.7361,70.2639,0.0,31.6481
Punjab,age_below10,03,97.6255,0.0,0.0,56.5539,43.1372,43.1372,76.0728,23.9272,0.0,56.8628
Chandigarh,age_10_13,04,46.2633,1.2176,0.8242,81.8294,16.587,16.587,15.6041,84.3959,0.0,83.413
Chandigarh,age_14_17,04,7.3587,16.2417,9.4346,63.3549,30.5955,30.5955,15.8585,84.1415,0.0,69.4045
Chandigarh,age_18_21,04,4.0626,71.8807,53.408,32.7934,58.3802,58.3802,21.8843,78.1157,0.0,41.6198
Chandigarh,age_below10,04,97.6479,0.0,0.0,63.4866,36.1688,36.1688,76.3125,23.6875,0.0,63.8312
State - UTTARANCHAL  05,age_10_13,05,56.8293,1.2628,0.8033,84.0628,14.6294,14.6294,12.8016,87.1984,0.0,85.3706
State - UTTARANCHAL  05,age_14_17,05,12.5764,19.6822,10.6334,55.1834,37.2103,37.2103,19.8159,80.1841,0.0,62.7897
State - UTTARANCHAL  05,age_18_21,05,8.1657,81.2247,57.949,25.5265,55.3302,55.3302,30.0082,69.9918,0.0,44.6698
State - UTTARANCHAL  05,age_below10,05,97.7429,0.0,0.0,62.7022,37.082,37.082,76.2901,23.7099,0.0,62.918
Haryana,age_10_13,06,58.8702,2.423,1.6,74.1374,24.4757,24.4757,19.4149,80.5851,0.0,75.5243
Haryana,age_14_17,06,14.6914,27.5445,15.5793,45.1827,48.7085,48.7085,24.0304,75.9696,0.0,51.2915
Haryana,age_18_21,06,9.7638,87.7586,64.3914,17.1305,71.0365,71.0365,36.1726,63.8274,0.0,28.9635
Haryana,age_below10,06,98.1082,0.0,0.0,51.1743,48.5993,48.5993,78.4749,21.5251,0.0,51.4007
State - DELHI  07,age_10_13,07,43.8277,1.0694,0.6896,84.1166,15.4148,15.4148,11.1324,88.8676,0.0,84.5852
State - DELHI  07,age_14_17,07,6.8367,14.6625,8.5015,59.1805,38.7271,38.7271,12.1791,87.8209,0.0,61.2729
State - DELHI  07,age_18_21,07,4.2466,72.2092,51.3138,29.2131,66.8578,66.8578,18.3307,81.6693,0.0,33.1422
State - DELHI  07,age_below10,07,97.5057,0.0,0.0,64.5742,35.3293,35.3293,74.6462,25.3538,0.0,64.6707
Rajasthan,age_10_13,08,63.6398,6.8933,4.6957,55.4994,40.7703,40.7703,36.5899,63.4101,0.0,59.2297
Rajasthan,age_14_17,08,27.436,46.1128,28.6884,27.1439,59.5849,59.5849,44.8609,55.1391,0.0,40.4151
Rajasthan,age_18_21,08,24.0612,93.6551,76.7346,11.4152,67.2064,67.2064,55.1988,44.8012,0.0,32.7936
Rajasthan,age_below10,08,96.6144,0.0,0.0,46.4413,53.099,53.099,82.7232,17.2768,0.0,46.901
Uttar Pradesh,age_10_13,09,56.1494,3.814,2.5434,62.5198,36.5593,36.5593,34.2845,65.7155,0.0,63.4407
Uttar Pradesh,age_14_17,09,14.981,34.9262,20.3997,36.8313,59.8013,59.8013,45.8239,54.1761,0.0,40.1987
Uttar Pradesh,age_18_21,09,9.9171,91.1354,71.8001,16.1078,77.4022,77.4022,60.2072,39.7928,0.0,22.5978
Uttar Pradesh,age_below10,09,96.0197,0.0,0.0,43.6221,56.0412,56.0412,82.6772,17.3228,0.0,43.9588
Bihar,age_10_13,10,56.6534,4.4497,2.7206,29.5453,67.2963,67.2963,68.1747,31.8253,0.0,32.7037
Bihar,age_14_17,10,18.6814,57.5547,33.5808,17.9747,69.8322,69.8322,70.8565,29.1435,0.0,30.1678
Bihar,age_18_21,10,14.3206,96.0921,82.3984,5.4763,74.6927,74.6927,79.8965,20.1035,0.0,25.3073
Bihar,age_below10,10,94.0001,0.0,0.0,17.6098,81.8581,81.8581,93.0344,6.9656,0.0,18.1419
Sikkim,age_10_13,11,72.3229,0.9896,0.7018,82.2006,13.7864,13.7864,21.4239,78.5761,0.0,86.2136
Sikkim,age_14_17,11,31.846,21.7019,13.631,60.7568,23.8963,23.8963,19.9019,80.0981,0.0,76.1037
Sikkim,age_18_21,11,22.9862,63.396,49.9283,29.7568,45.9227,45.9227,27.1817,72.8183,0.0,54.0773
Sikkim,age_below10,11,98.4102,0.0,0.0,64.9886,34.7254,34.7254,80.2201,19.7799,0.0,65.2746
Arunachal Pradesh,age_10_13,12,64.135,1.0499,0.7722,73.3542,24.7649,24.7649,25.7053,74.2947,0.0,75.2351
Arunachal Pradesh,age_14_17,12,30.6748,29.9611,15.798,51.8018,41.8919,41.8919,26.5766,73.4234,0.0,58.1081
Arunachal Pradesh,age_18_21,12,13.4328,85.6481,56.9524,26.8041,63.9175,63.9175,30.9278,69.0722,0.0,36.0825
Arunachal Pradesh,age_below10,12,96.4539,0.0,0.0,52.1845,47.5728,47.5728,81.3984,18.6016,0.0,52.4272
Manipur,age_10_13,14,32.7538,1.2488,0.796,88.9503,10.5762,10.5762,16.0221,83.9779,0.0,89.4238
Manipur,age_14_17,14,5.9474,9.0164,5.5259,80.409,15.8282,15.8282,11.2883,88.7117,0.0,84.1718
Manipur,age_18_21,14,6.8452,42.0627,30.8324,60.9375,29.6875,29.6875,12.5,87.5,0.0,70.3125
Manipur,age_below10,14,92.2794,0.0,0.0,70.9182,28.7997,28.7997,82.117,17.883,0.0,71.2003
Mizoram,age_10_13,15,85.7143,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Mizoram,age_14_17,15,0.0,0.0,0.0,60.0,40.0,40.0,20.0,80.0,0.0,60.0
Mizoram,age_18_21,15,0.0,83.3333,23.5294,100.0,0.0,0.0,0.0,100.0,0.0,100.0
Mizoram,age_below10,15,100.0,0.0,0.0,100.0,0.0,0.0,47.3684,52.6316,0.0,100.0
Tripura,age_10_13,16,58.0756,1.0251,0.7009,85.6596,13.5488,13.5488,9.5778,90.4222,0.0,86.4512
Tripura,age_14_17,16,20.8391,23.9041,12.541,65.1907,32.2917,32.2917,10.9471,89.0529,0.0,67.7083
Tripura,age_18_21,16,20.8889,71.6811,46.5095,29.6955,65.9606,65.9606,14.3637,85.6363,0.0,34.0394
Tripura,age_below10,16,98.7369,0.0,0.0,61.9098,37.9305,37.9305,73.5664,26.4336,0.0,62.0695
Meghalaya,age_10_13,17,57.9096,1.6552,1.0067,53.8462,45.1282,45.1282,39.4872,60.5128,0.0,54.8718
Meghalaya,age_14_17,17,22.6148,21.8254,12.5108,49.3363,48.4513,48.4513,37.3894,62.6106,0.0,51.5487
Meghalaya,age_18_21,17,17.0732,68.4332,47.1101,25.5208,71.875,71.875,35.9375,64.0625,0.0,28.125
Meghalaya,age_below10,17,89.6396,0.0,0.0,40.1062,59.6282,59.6282,83.4205,16.5795,0.0,40.3718
Assam,age_10_13,18,43.821,1.3385,0.8381,72.4615,26.5596,26.5596,20.9867,79.0133,0.0,73.4404
Assam,age_14_17,18,16.57,19.3907,10.1523,53.6105,43.5191,43.5191,20.7758,79.2242,0.0,56.4809
Assam,age_18_21,18,15.7069,65.728,40.5112,28.2624,66.6599,66.6599,24.5319,75.4681,0.0,33.3401
Assam,age_below10,18,96.2204,0.0,0.0,55.0655,44.6779,44.6779,77.5921,22.4079,0.0,55.3221
West Bengal,age_10_13,19,62.0815,1.522,0.9983,69.9029,28.3071,28.3071,23.7836,76.2164,0.0,71.6929
West Bengal,age_14_17,19,27.0093,34.3947,17.5277,42.6735,50.7907,50.7907,29.9259,70.0741,0.0,49.2093
West Bengal,age_18_21,19,27.9086,84.9674,60.0139,15.882,75.3552,75.3552,38.0192,61.9808,0.0,24.6448
West Bengal,age_below10,19,98.1557,0.0,0.0,54.0554,45.7512,45.7512,77.2576,22.7424,0.0,54.2488
Jharkhand,age_10_13,20,53.9475,2.6251,1.5349,41.0238,57.2474,57.2474,55.7363,44.2637,0.0,42.7526
Jharkhand,age_14_17,20,17.9566,47.2107,26.5183,26.8017,66.7911,66.7911,57.6221,42.3779,0.0,33.2089
Jharkhand,age_18_21,20,14.1149,91.6532,75.2054,9.0901,79.9339,79.9339,68.8899,31.1101,0.0,20.0661
Jharkhand,age_below10,20,95.7955,0.0,0.0,27.6371,72.0829,72.0829,89.0428,10.9572,0.0,27.9171
State - ORISSA  21,age_10_13,21,42.8551,1.0409,0.6611,62.2988,36.6886,36.6886,29.2809,70.7191,0.0,63.3114
State - ORISSA  21,age_14_17,21,18.2667,16.455,9.1519,32.4559,62.9212,62.9212,34.8413,65.1587,0.0,37.0788
State - ORISSA  21,age_18_21,21,19.4953,71.2969,46.9418,12.5326,79.9155,79.9155,39.1549,60.8451,0.0,20.0845
State - ORISSA  21,age_below10,21,97.1188,0.0,0.0,53.1372,46.7194,46.7194,79.7927,20.2073,0.0,53.2806
Chhattisgarh,age_10_13,22,54.1477,1.3301,0.8947,77.1335,21.2342,21.2342,13.6554,86.3446,0.0,78.7658
Chhattisgarh,age_14_17,22,15.1643,25.0082,14.1862,43.0936,46.2013,46.2013,19.2675,80.7325,0.0,53.7987
Chhattisgarh,age_18_21,22,15.9369,83.2278,65.4082,16.0802,61.0605,61.0605,28.6364,71.3636,0.0,38.9395
Chhattisgarh,age_below10,22,98.7029,0.0,0.0,58.6008,41.1808,41.1808,77.0973,22.9027,0.0,58.8192
Madhya Pradesh,age_10_13,23,60.1702,4.2944,2.734,72.4422,25.4075,25.4075,20.4413,79.5587,0.0,74.5925
Madhya Pradesh,age_14_17,23,20.6835,44.171,25.395,40.2396,49.0215,49.0215,27.6611,72.3389,0.0,50.9785
Madhya Pradesh,age_18_21,23,18.1139,90.8121,72.8663,14.5838,65.344,65.344,42.0038,57.9962,0.0,34.656
Madhya Pradesh,age_below10,23,97.8675,0.0,0.0,51.0322,48.7307,48.7307,79.6659,20.3341,0.0,51.2693
Gujarat,age_10_13,24,39.5428,1.2228,0.7984,81.876,16.9693,16.9693,10.441,89.559,0.0,83.0307
Gujarat,age_14_17,24,12.3389,14.8278,8.3914,45.1628,46.67,46.67,13.739,86.261,0.0,53.33
Gujarat,age_18_21,24,11.7837,76.5899,54.9137,19.1233,66.6511,66.6511,18.5006,81.4994,0.0,33.3489
Gujarat,age_below10,24,98.1884,0.0,0.0,65.2479,34.6385,34.6385,74.2004,25.7996,0.0,65.3615
Daman & Diu,age_10_13,25,28.8288,1.4493,0.6969,92.5764,7.4236,7.4236,3.0568,96.9432,0.0,92.5764
Daman & Diu,age_14_17,25,2.8571,7.4349,4.4964,71.0407,27.1493,27.1493,4.9774,95.0226,0.0,72.8507
Daman & Diu,age_18_21,25,4.7059,67.7686,41.1765,28.4211,68.4211,68.4211,10.5263,89.4737,0.0,31.5789
Daman & Diu,age_below10,25,96.9697,0.0,0.0,81.6964,18.3036,18.3036,70.8609,29.1391,0.0,81.6964
Dadra & Nagar Haveli,age_10_13,26,26.3566,1.2048,0.8197,92.5373,6.7164,6.7164,3.7313,96.2687,0.0,93.2836
Dadra & Nagar Haveli,age_14_17,26,3.7879,22.8261,12.1065,67.6056,19.0141,19.0141,7.0423,92.9577,0.0,80.9859
Dadra & Nagar Haveli,age_18_21,26,3.4483,79.1837,53.1746,21.6216,63.5135,63.5135,21.6216,78.3784,0.0,36.4865
Dadra & Nagar Haveli,age_below10,26,94.5455,0.0,0.0,67.4312,32.5688,32.5688,75.1693,24.8307,0.0,67.4312
Maharashtra,age_10_13,27,35.358,1.0431,0.6685,88.522,9.7611,9.7611,6.1833,93.8167,0.0,90.2389
Maharashtra,age_14_17,27,8.1686,20.7062,10.1307,65.771,25.2337,25.2337,7.8971,92.1029,0.0,74.7663
Maharashtra,age_18_21,27,10.276,77.6051,50.9769,30.1957,49.4734,49.4734,15.1802,84.8198,0.0,50.5266
Maharashtra,age_below10,27,97.4469,0.0,0.0,68.4142,31.3656,31.3656,73.081,26.919,0.0,68.6344
Andhra Pradesh,age_10_13,28,32.3628,1.6733,1.0076,69.5349,19.8931,19.8931,20.7238,79.2762,0.0,80.1069
Andhra Pradesh,age_14_17,28,13.1315,36.6224,19.0717,39.1177,33.3049,33.3049,29.8376,70.1624,0.0,66.6951
Andhra Pradesh,age_18_21,28,13.9957,84.2193,64.317,15.6081,45.7568,45.7568,42.2732,57.7268,0.0,54.2432
Andhra Pradesh,age_below10,28,95.952,0.0,0.0,70.7437,28.3167,28.3167,71.5427,28.4573,0.0,71.6833
Karnataka,age_10_13,29,40.0851,2.0288,1.3025,67.5428,25.694,25.694,22.958,77.042,0.0,74.306
Karnataka,age_14_17,29,11.9662,24.6115,12.5705,41.4262,39.9717,39.9717,28.9451,71.0549,0.0,60.0283
Karnataka,age_18_21,29,12.5214,76.5162,50.4939,15.108,57.0307,57.0307,39.758,60.242,0.0,42.9693
Karnataka,age_below10,29,97.655,0.0,0.0,56.7641,42.5647,42.5647,75.6515,24.3485,0.0,57.4353
Goa,age_10_13,30,35.3798,0.9274,0.7235,88.8781,9.6712,9.6712,7.06,92.94,0.0,90.3288
Goa,age_14_17,30,7.8915,14.1397,7.486,64.2458,28.7151,28.7151,9.3855,90.6145,0.0,71.2849
Goa,age_18_21,30,12.3377,47.5294,32.3095,24.4898,60.8534,60.8534,14.2857,85.7143,0.0,39.1466
Goa,age_below10,30,96.3605,0.0,0.0,74.0236,25.8856,25.8856,72.3261,27.6739,0.0,74.1144
Kerala,age_10_13,32,24.8606,0.8332,0.5172,97.0307,2.7373,2.7373,1.8091,98.1909,0.0,97.2627
Kerala,age_14_17,32,2.1723,10.7943,5.873,76.3386,20.2306,20.2306,1.8339,98.1661,0.0,79.7694
Kerala,age_18_21,32,3.1826,52.2463,32.7182,32.2696,56.5927,56.5927,2.787,97.213,0.0,43.4073
Kerala,age_below10,32,97.631,0.0,0.0,79.6484,20.2316,20.2316,75.4869,24.5131,0.0,79.7684
Tamil Nadu,age_10_13,33,20.3935,1.5764,1.0802,86.5623,10.9291,10.9291,8.2075,91.7925,0.0,89.0709
Tamil Nadu,age_14_17,33,6.511,17.2131,9.4788,56.1167,29.2447,29.2447,12.7992,87.2008,0.0,70.7553
Tamil Nadu,age_18_21,33,7.0526,68.9496,46.8549,19.3541,52.1501,52.1501,20.4748,79.5252,0.0,47.8499
Tamil Nadu,age_below10,33,93.6169,0.0,0.0,79.6025,20.0035,20.0035,73.0098,26.9902,0.0,79.9965
State - PONDICHERRY  34,age_10_13,34,23.4515,0.5735,0.4291,93.896,5.4162,5.4162,3.7684,96.2316,0.0,94.5838
State - PONDICHERRY  34,age_14_17,34,2.6851,13.4829,7.1965,66.473,24.4335,24.4335,4.2417,95.7583,0.0,75.5665
State - PONDICHERRY  34,age_18_21,34,3.0077,60.9286,40.3386,24.4041,53.5751,53.5751,9.5596,90.4404,0.0,46.4249
State - PONDICHERRY  34,age_below10,34,97.4183,0.0,0.0,83.6436,16.1584,16.1584,75.4463,24.5537,0.0,83.8416
