state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Arunachal Pradesh,age_below10,12,99.359,0.0,0.0,56.9161,42.1769,42.1769,80.5243,19.4757,57.8231
Manipur,age_10_13,14,36.8,0.3604,0.796,90.0264,9.1802,9.1802,14.9981,85.0019,90.8198
Manipur,age_14_17,14,7.878,1.9785,5.5259,81.48,11.4097,11.4097,9.2187,90.7813,88.5903
Manipur,age_18_21,14,7.7369,18.763,30.8324,66.1135,16.3319,16.3319,9.6943,90.3057,83.6681
Manipur,age_below10,14,93.8282,0.0,0.0,72.4179,27.2508,27.2508,80.8497,19.1503,72.7492
Mizoram,age_10_13,15,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0
Mizoram,age_14_17,15,0.0,0.0,0.0,85.7143,0.0,0.0,0.0,100.0,100.0
Mizoram,age_18_21,15,33.3333,10.7143,23.5294,33.3333,33.3333,33.3333,0.0,100.0,66.6667
Mizoram,age_below10,15,100.0,0.0,0.0,66.6667,33.3333,33.3333,86.6667,13.3333,66.6667
Tripura,age_10_13,16,58.0725,0.3874,0.7009,88.4212,10.5835,10.5835,6.9226,93.0774,89.4165
Tripura,age_14_17,16,21.1646,1.9174,12.541,68.9092,21.9848,21.9848,6.6808,93.3192,78.0152
Tripura,age_18_21,16,20.243,21.3227,46.5095,41.8176,30.9902,30.9902,8.713,91.287,69.0098
Tripura,age_below10,16,98.6058,0.0,0.0,63.5815,36.2227,36.2227,72.9109,27.0891,63.7773
Meghalaya,age_10_13,17,61.8938,0.3922,1.0067,62.5585,35.1014,35.1014,32.4493,67.5507,64.8986
Meghalaya,age_14_17,17,27.3973,5.3435,12.5108,50.969,36.4341,36.4341,29.2636,70.7364,63.5659
Meghalaya,age_18_21,17,17.6166,27.9503,47.1101,34.6008,32.6996,32.6996,26.616,73.384,67.3004
Meghalaya,age_below10,17,91.4894,0.0,0.0,41.0783,58.665,58.665,83.404,16.596,41.335
