state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
INDIA,age_10_13,00,41.9748,,1.6087,,,2.2635,,0.9068,1.5793,,,1.6621,1.6191,80.7945,16.11,16.11,14.315,85.685,83.89
INDIA,age_14_17,00,9.8546,,7.9134,,,10.7195,,5.528,8.2851,,,8.102,8.0692,61.6858,21.4646,21.4646,14.1578,85.8422,78.5354
INDIA,age_18_21,00,8.5347,,39.8676,,,45.0593,,32.5754,38.6961,,,39.8322,38.3906,37.0085,26.2181,26.2181,15.513,84.487,73.7819
INDIA,age_below10,00,96.359,,1.3751,,,1.6159,,1.2041,1.4641,,,1.4289,1.4219,58.4097,41.0491,41.0491,76.7666,23.2334,58.9509
Jammu & Kashmir,age_10_13,01,37.9556,0.3911,0.4473,0.3816,,0.4535,0.3424,0.3208,0.3597,,,0.4099,0.4068,78.1591,19.3448,19.3448,20.9725,79.0275,80.6552
Jammu & Kashmir,age_14_17,01,4.4201,4.3136,4.524,4.198,,4.4993,3.3895,2.5171,3.367,,,3.985,3.7807,68.651,21.4237,21.4237,19.1968,80.8032,78.5763
Jammu & Kashmir,age_18_21,01,3.469,35.4011,34.2585,38.7217,,36.8742,33.1594,27.8879,32.6061,,,34.661,32.7408,45.0652,30.4437,30.4437,22.2825,77.7175,69.5563
Jammu & Kashmir,age_below10,01,93.797,0.7657,0.9005,0.6102,,0.665,0.6556,0.8478,0.8125,,,0.721,0.7577,54.2295,44.9946,44.9946,77.9981,22.0019,55.0054
Himachal Pradesh,age_10_13,02,39.811,0.3124,0.587,0.4467,,0.8721,0.3844,0.179,0.2816,,,0.4111,0.436,96.5417,2.6512,2.6512,2.1748,97.8252,97.3488
Himachal Pradesh,age_14_17,02,4.2383,3.9644,5.6338,4.4106,,6.5787,3.5463,1.3875,2.7933,,,4.4499,3.7078,86.3761,7.0932,7.0932,2.9496,97.0504,92.9068
Himachal Pradesh,age_18_21,02,4.0777,30.8185,38.4681,36.6093,,37.2272,30.4307,21.6599,30.8222,,,37.2017,30.0295,58.2719,18.2362,18.2362,5.0848,94.9152,81.7638
Himachal Pradesh,age_below10,02,98.4271,0.9578,0.8775,0.8479,,0.9776,0.8346,1.0155,0.8763,,,0.8489,0.9475,74.599,25.2165,25.2165,70.1105,29.8895,74.7835
Punjab,age_10_13,03,45.926,0.2938,0.4757,0.2304,,0.4046,0.2913,0.2087,0.2809,,,0.3321,0.3105,86.9151,10.2391,10.2391,9.6023,90.3977,89.7609
Punjab,age_14_17,03,5.2512,3.5783,4.4259,2.7323,,4.1988,2.8411,1.6737,2.8282,,,3.4661,2.9815,66.1496,16.8308,16.8308,11.5373,88.4627,83.1692
Punjab,age_18_21,03,4.1203,42.1326,37.9278,37.2959,,39.893,33.3272,27.7006,34.9849,,,37.7224,33.425,34.1791,23.8343,23.8343,14.8061,85.1939,76.1657
Punjab,age_below10,03,97.6163,0.7194,0.8373,0.6704,,0.701,0.7197,0.8112,0.7645,,,0.7651,0.7536,66.5001,33.0145,33.0145,72.767,27.233,66.9855
Chandigarh,age_10_13,04,40.6328,0.6873,2.1915,1.1036,,2.2111,1.0032,0.615,1.317,,,1.4823,0.9951,89.7395,7.7251,7.7251,7.579,92.421,92.2749
Chandigarh,age_14_17,04,4.8287,5.1546,11.6276,5.5178,,13.2598,6.176,3.8225,8.0434,,,9.8997,6.132,73.2416,10.3299,10.3299,9.0149,90.9851,89.6701
Chandigarh,age_18_21,04,4.0233,35.0515,42.4484,33.2767,,45.2322,29.0465,25.4297,39.7138,,,43.1651,28.6136,46.1851,13.3899,13.3899,12.3136,87.6864,86.6101
Chandigarh,age_below10,04,97.9147,1.7182,1.9542,0.764,,1.9605,1.4188,1.3288,1.6652,,,1.9227,1.4339,74.7889,24.9003,24.9003,72.4802,27.5198,75.0997
State - UTTARANCHAL  05,age_10_13,05,44.6675,0.5347,1.2487,0.8869,,1.142,0.6127,0.3236,0.5271,,,0.8213,0.6975,91.0052,7.7956,7.7956,6.6644,93.3356,92.2044
State - UTTARANCHAL  05,age_14_17,05,6.0353,4.9085,8.2714,6.4759,,8.2663,4.7465,2.557,4.6717,,,6.4006,5.1984,77.5988,14.1345,14.1345,7.3552,92.6448,85.8655
State - UTTARANCHAL  05,age_18_21,05,4.5668,51.8363,42.7646,44.7425,,45.9754,38.4573,31.7338,42.7753,,,43.67,37.9588,52.8277,23.4326,23.4326,9.9288,90.0712,76.5674
State - UTTARANCHAL  05,age_below10,05,97.1291,1.0513,1.0834,0.975,,1.1649,0.9581,0.9274,0.996,,,1.0077,1.0357,66.9575,32.763,32.763,73.9482,26.0518,67.237
Haryana,age_10_13,06,48.5585,1.5281,2.4953,2.0644,,2.1502,1.4448,0.9297,1.5178,,,2.0199,1.5887,89.4241,8.8126,8.8126,7.7291,92.2709,91.1874
Haryana,age_14_17,06,6.7813,12.0972,15.1298,14.0771,,14.6239,10.5708,7.9512,11.5873,,,13.5932,11.2983,72.4757,14.1575,14.1575,8.6047,91.3953,85.8425
Haryana,age_18_21,06,4.9974,49.3085,45.8522,48.5785,,46.3242,43.0915,41.2287,46.381,,,47.7963,42.9956,44.6031,20.0189,20.0189,11.0304,88.9696,79.9811
Haryana,age_below10,06,97.9211,1.6312,2.1714,1.8423,,1.7443,1.5451,1.4636,1.6795,,,1.9094,1.646,62.2471,37.3873,37.3873,74.452,25.548,62.6127
State - DELHI  07,age_10_13,07,40.1945,1.1878,1.5573,0.7619,,1.8537,0.7799,0.5266,0.9989,,,1.1898,0.8365,89.2255,8.9266,8.9266,6.9849,93.0151,91.0734
State - DELHI  07,age_14_17,07,5.366,11.3716,11.7016,9.1519,,12.813,6.369,4.8742,8.4247,,,9.9494,6.6188,69.8941,16.5894,16.5894,8.5627,91.4373,83.4106
State - DELHI  07,age_18_21,07,4.542,45.7238,44.0608,47.5707,,45.0718,32.6357,32.2105,42.2244,,,44.1275,32.7962,42.2665,21.5234,21.5234,11.1192,88.8808,78.4766
State - DELHI  07,age_below10,07,97.6332,1.9164,1.7163,1.6148,,1.7118,1.2442,1.1632,1.5318,,,1.5836,1.278,69.5915,30.0662,30.0662,73.322,26.678,69.9338
