state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Mizoram,age_18_21,15,15.1073,29.1145,24.5151,28.7828,,35.5595,24.6176,18.7954,25.4773,,,27.3315,24.5145,41.1472,14.8892,14.8892,5.7459,94.2541,85.1108
Mizoram,age_below10,15,98.2436,0.4097,0.3452,0.3967,,0.6002,0.4308,0.4211,0.4773,,,0.529,0.453,64.9894,34.7343,34.7343,76.7455,23.2545,65.2657
Tripura,age_10_13,16,53.3069,0.1372,0.1667,0.1201,,0.1962,0.1361,0.1463,0.1533,,,0.1332,0.1642,85.3139,13.5241,13.5241,10.9922,89.0078,86.4759
Tripura,age_14_17,16,17.1805,2.0263,2.0766,1.8174,,2.3157,1.6293,0.996,1.4195,,,1.6582,1.7488,70.3595,20.8395,20.8395,9.2903,90.7097,79.1605
Tripura,age_18_21,16,16.0465,26.5089,24.0943,24.9411,,25.9281,20.6908,13.5768,18.0995,,,20.3452,20.4574,45.5208,30.0125,30.0125,10.7548,89.2452,69.9875
Tripura,age_below10,16,98.1011,0.8032,0.914,0.8072,,0.7919,0.8253,0.871,0.97,,,0.9755,0.9035,59.4334,40.2672,40.2672,74.5938,25.4062,59.7328
Meghalaya,age_10_13,17,66.7252,0.4549,0.4183,0.6121,,0.5238,0.4741,0.438,0.4728,,,0.5394,0.483,66.4904,28.8793,28.8793,33.0088,66.9912,71.1207
Meghalaya,age_14_17,17,34.0235,2.4758,2.1968,2.3929,,2.6177,2.1431,1.7017,2.0505,,,2.2631,2.2217,58.7954,21.2802,21.2802,25.9038,74.0962,78.7198
Meghalaya,age_18_21,17,24.4115,26.8189,25.6155,25.9312,,26.1819,23.9808,19.6738,22.9789,,,24.0622,23.7864,47.0634,19.6026,19.6026,25.0393,74.9607,80.3974
Meghalaya,age_below10,17,94.6736,0.9642,1.1151,1.6176,,1.3111,1.208,1.45,1.4132,,,1.4504,1.3288,43.3711,55.4639,55.4639,86.67,13.33,44.5361
Assam,age_10_13,18,41.3182,0.1357,0.1747,0.1595,,0.1987,0.1737,0.1666,0.1747,,,0.1921,0.1863,70.9704,26.0126,26.0126,23.423,76.577,73.9874
Assam,age_14_17,18,14.3045,2.0635,1.9366,1.8629,,2.4682,1.8421,1.1242,1.7626,,,2.0702,1.9233,56.8303,28.9309,28.9309,21.224,78.776,71.0691
Assam,age_18_21,18,13.0353,26.1691,21.3513,22.6871,,25.8224,20.5586,13.5136,18.7438,,,20.9119,20.3726,39.396,32.6883,32.6883,21.2591,78.7409,67.3117
Assam,age_below10,18,95.7542,0.5612,0.569,0.5673,,0.6044,0.6166,0.8901,0.7601,,,0.6824,0.6957,52.2215,47.2801,47.2801,79.5728,20.4272,52.7199
West Bengal,age_10_13,19,54.4921,0.2442,0.3173,0.244,,0.39,0.2583,0.1885,0.2296,,,0.305,0.3058,78.2381,18.8581,18.8581,14.8788,85.1212,81.1419
West Bengal,age_14_17,19,19.8262,4.2143,3.8702,3.2215,,4.9451,3.131,1.3786,2.3963,,,3.4805,3.3492,54.4375,27.9704,27.9704,15.8313,84.1687,72.0296
West Bengal,age_18_21,19,19.0042,37.1142,32.8652,30.8222,,35.9635,27.7087,14.9264,23.9174,,,30.2475,27.4695,32.4459,31.7889,31.7889,17.3608,82.6392,68.2111
West Bengal,age_below10,19,97.5874,0.5979,0.6469,0.5747,,0.6726,0.7028,0.9645,0.819,,,0.8031,0.7832,56.9202,42.7322,42.7322,75.6001,24.3999,57.2678
Jharkhand,age_10_13,20,45.9292,1.1508,1.3674,1.0838,,1.3472,0.9662,0.6704,0.937,,,1.1325,1.0905,71.7772,25.6122,25.6122,23.7131,76.2869,74.3878
Jharkhand,age_14_17,20,11.4391,12.7018,11.9173,10.2732,,12.0546,9.288,6.7309,9.4563,,,10.5714,9.9732,57.6904,29.5007,29.5007,20.2667,79.7333,70.4993
Jharkhand,age_18_21,20,8.2357,51.6968,48.7611,48.3486,,49.0405,45.1248,40.2312,46.126,,,48.0367,45.1882,37.8548,35.6218,35.6218,20.1286,79.8714,64.3782
Jharkhand,age_below10,20,95.1392,1.139,1.2261,1.1288,,1.1786,1.0615,1.1567,1.2258,,,1.1701,1.1748,46.7236,52.7721,52.7721,80.9676,19.0324,47.2279
State - ORISSA  21,age_10_13,21,34.3205,0.1499,0.2786,0.2102,,0.2595,0.1708,0.1176,0.1365,,,0.209,0.2208,77.907,20.2523,20.2523,15.3495,84.6505,79.7477
State - ORISSA  21,age_14_17,21,9.5333,2.5903,2.7863,2.7625,,3.7301,2.2618,0.9216,1.6092,,,2.3328,2.5403,54.7213,34.0256,34.0256,14.5303,85.4697,65.9744
State - ORISSA  21,age_18_21,21,9.9166,35.7106,34.5437,34.8575,,38.9395,30.0876,17.6815,25.5918,,,31.0893,30.6626,31.4673,42.6747,42.6747,14.9734,85.0266,57.3253
State - ORISSA  21,age_below10,21,96.6774,0.8113,0.808,0.8084,,0.888,0.8081,0.9424,0.9292,,,0.8279,0.8852,60.2454,39.4546,39.4546,76.6677,23.3323,60.5454
Chhattisgarh,age_10_13,22,51.223,2.983,3.9397,3.1715,,3.5985,2.6359,1.1235,1.8264,,,2.839,2.8323,84.1975,12.5969,12.5969,9.2152,90.7848,87.4031
Chhattisgarh,age_14_17,22,11.3678,13.9437,15.1759,12.8983,,14.882,11.4604,5.3845,9.6856,,,12.8875,11.9765,59.7578,21.6927,21.6927,10.0558,89.9442,78.3073
Chhattisgarh,age_18_21,22,9.9369,58.9423,55.0395,56.1299,,54.2325,51.2899,40.006,54.0629,,,55.9994,50.7686,35.335,26.1811,26.1811,11.3339,88.6661,73.8189
Chhattisgarh,age_below10,22,98.4693,2.0741,2.5806,2.2125,,2.2455,1.9037,1.3177,1.7138,,,2.0963,2.0278,60.664,38.8617,38.8617,76.5976,23.4024,61.1383
Madhya Pradesh,age_10_13,23,52.339,3.9713,4.041,4.0433,,4.4782,3.2663,1.946,3.0182,,,3.9186,3.5076,83.048,13.5943,13.5943,12.1415,87.8585,86.4057
Madhya Pradesh,age_14_17,23,13.1332,19.0403,18.643,20.3333,,20.5667,16.4977,11.2274,16.6008,,,18.227,16.8825,61.9031,19.4835,19.4835,13.1427,86.8573,80.5165
Madhya Pradesh,age_18_21,23,10.6844,55.4814,53.1051,56.1664,,53.3467,50.4201,44.7163,51.7682,,,52.4813,49.8588,37.0342,22.9237,22.9237,14.4551,85.5449,77.0763
Madhya Pradesh,age_below10,23,97.8052,1.6259,1.7293,1.6197,,1.7418,1.442,1.2477,1.5332,,,1.7182,1.5715,56.7819,42.7944,42.7944,77.3798,22.6202,57.2056
Gujarat,age_10_13,24,37.6509,0.8697,1.0621,0.9237,,0.9925,0.7413,0.595,0.9778,,,1.0453,0.8694,84.7168,12.6707,12.6707,9.5491,90.4509,87.3293
Gujarat,age_14_17,24,9.6791,7.2338,7.0448,7.3739,,7.3991,5.3898,3.9959,5.9919,,,6.3101,5.7866,58.4228,21.0185,21.0185,10.6704,89.3296,78.9815
Gujarat,age_18_21,24,9.9768,57.6952,53.2174,58.5517,,55.3895,47.7103,40.1709,47.9179,,,50.7873,47.41,29.4405,22.9449,22.9449,11.8231,88.1769,77.0551
Gujarat,age_below10,24,98.0997,0.7159,0.8931,0.7984,,0.8539,0.7916,0.8447,0.9745,,,0.8945,0.8701,64.1663,35.5538,35.5538,74.5326,25.4674,64.4462
Daman & Diu,age_10_13,25,33.0426,0.8969,0.6617,0.2389,,0.8894,0.6046,0.5056,0.5223,,,0.6376,0.5891,90.8349,6.2156,6.2156,4.4826,95.5174,93.7844
Daman & Diu,age_14_17,25,6.8805,7.1749,6.2035,4.9582,,8.2546,5.3151,3.9687,5.9083,,,5.6864,5.387,56.5146,12.6518,12.6518,8.4181,91.5819,87.3482
Daman & Diu,age_18_21,25,7.8206,45.7399,44.1067,45.46,,48.1656,39.5405,33.6451,43.2022,,,42.6936,39.1042,15.9987,11.9283,11.9283,12.3841,87.6159,88.0717
Daman & Diu,age_below10,25,97.9757,0.8969,0.7444,0.5376,,0.7782,0.8303,1.028,0.865,,,0.7417,0.8277,75.0,24.7695,24.7695,73.9194,26.0806,75.2305
Dadra & Nagar Haveli,age_10_13,26,39.4743,0.242,0.7858,0.2299,,0.3635,0.4848,0.4147,0.7014,,,0.7907,0.4976,79.3226,15.7852,15.7852,14.8698,85.1302,84.2148
Dadra & Nagar Haveli,age_14_17,26,11.9017,6.3278,8.2337,7.8826,,8.5492,6.7508,4.1077,7.2038,,,8.3624,6.9181,50.9826,19.4624,19.4624,19.9949,80.0051,80.5376
Dadra & Nagar Haveli,age_18_21,26,9.4917,66.7012,63.1192,66.5089,,63.981,54.3327,41.6478,57.3649,,,58.5098,54.4033,15.9884,12.1179,12.1179,19.5876,80.4124,87.8821
Dadra & Nagar Haveli,age_below10,26,97.867,0.7607,0.837,0.5611,,0.7546,0.945,1.111,1.346,,,1.0185,0.9572,62.3838,37.0815,37.0815,79.7371,20.2629,62.9185
Maharashtra,age_10_13,27,33.7766,0.4413,0.6255,0.425,,0.8779,0.4517,0.3042,0.4538,,,0.5383,0.5241,91.6765,6.2091,6.2091,4.183,95.817,93.7909
Maharashtra,age_14_17,27,6.8774,3.8961,4.5245,3.6625,,6.3515,3.278,1.9011,3.0764,,,3.7772,3.6047,72.0609,13.1218,13.1218,5.2149,94.7851,86.8782
Maharashtra,age_18_21,27,7.2421,41.932,39.367,40.2921,,43.6584,32.1288,23.2536,31.917,,,36.3808,32.0187,44.2561,19.4392,19.4392,6.3904,93.6096,80.5608
Maharashtra,age_below10,27,97.5845,0.8965,0.8985,0.842,,0.982,0.8184,0.769,0.9352,,,0.8904,0.858,68.8637,30.8172,30.8172,73.2568,26.7432,69.1828
Andhra Pradesh,age_10_13,28,28.5697,0.7118,0.9407,1.0697,,1.2728,0.7344,0.3668,0.4517,,,0.5219,0.8462,82.1946,10.8416,10.8416,10.7346,89.2654,89.1584
Andhra Pradesh,age_14_17,28,7.8673,6.2165,6.5201,6.3033,,7.6114,5.1267,2.6447,4.121,,,4.6118,5.4617,56.3673,17.1485,17.1485,14.7064,85.2936,82.8515
Andhra Pradesh,age_18_21,28,7.9426,49.9301,47.8116,45.041,,47.6319,41.6199,31.9836,40.5927,,,43.6881,41.3558,33.1487,21.2069,21.2069,17.331,82.669,78.7931
Andhra Pradesh,age_below10,28,95.6914,1.2404,1.4136,1.4998,,1.4743,1.3063,1.2622,1.3135,,,1.1927,1.3583,73.7954,25.3295,25.3295,70.9461,29.0539,74.6705
Karnataka,age_10_13,29,37.0946,0.5213,0.393,0.3771,,0.4947,0.3207,0.212,0.2907,,,0.3196,0.3588,83.1262,10.8457,10.8457,9.3869,90.6131,89.1543
Karnataka,age_14_17,29,8.4296,2.5963,1.8966,1.8569,,2.5439,1.5944,0.8833,1.305,,,1.5439,1.7164,58.723,16.3674,16.3674,12.0559,87.9441,83.6326
Karnataka,age_18_21,29,9.2179,31.5335,26.3657,27.0986,,31.2221,23.0591,15.1146,20.7044,,,23.7834,23.3265,31.4102,19.9175,19.9175,14.8266,85.1734,80.0825
Karnataka,age_below10,29,97.7141,0.7309,0.6272,0.5887,,0.6338,0.6502,0.7774,0.8249,,,0.6498,0.6882,62.9587,36.1994,36.1994,73.3471,26.6529,63.8006
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_10_13,30,27.1435,0.0757,0.1451,0.0666,,0.4387,0.2112,0.1592,0.1789,,,0.1968,0.2105,94.304,4.554,4.554,3.4832,96.5168,95.446
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_14_17,30,4.1645,1.0032,1.0775,1.1994,,2.5427,1.0473,0.521,0.8228,,,1.1241,1.0622,78.0035,13.4448,13.4448,4.1064,95.8936,86.5552
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_18_21,30,4.714,14.6508,13.8202,17.1975,,22.7966,10.8596,6.1023,9.4535,,,13.1243,11.1658,42.2842,30.3622,30.3622,6.1808,93.8192,69.6378
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Goa,age_below10,30,95.8894,0.6246,0.42,0.4398,,0.6571,0.7305,0.8727,0.799,,,0.6688,0.7163,76.8019,22.9017,22.9017,72.1607,27.8393,77.0983
Lakshadweep,age_10_13,31,48.9987,,0.1142,,,0.1649,0.0574,0.0375,0.0,,,0.0657,,97.4042,2.4375,2.4375,1.9943,98.0057,97.5625
Lakshadweep,age_14_17,31,8.4638,,2.8158,,,3.38,1.1713,0.375,0.7154,,,1.5102,,84.2721,14.6672,14.6672,1.902,98.098,85.3328
Lakshadweep,age_18_21,31,9.5048,,30.6317,,,33.9654,18.2706,10.5737,17.2202,,,24.6881,,42.9234,48.0278,48.0278,3.1709,96.8291,51.9722
