state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Gujarat,age_10_13,24,11.5906,6.4745,9.602,0.8994,9.8194,8.7864,88.4094,93.5255,90.398,99.1006,90.1806,91.2136
Gujarat,age_14_17,24,15.8708,7.0491,10.7354,0.6647,11.0525,8.4015,84.1292,92.9509,89.2646,99.3353,88.9475,91.5985
Gujarat,age_18_21,24,14.3805,6.8457,11.9086,0.8332,12.2094,8.0594,85.6195,93.1543,88.0914,99.1668,87.7906,91.9406
Daman & Diu,age_below10,25,91.6667,72.2892,73.8884,78.9474,74.4374,71.4286,8.3333,27.7108,26.1116,21.0526,25.5626,28.5714
Daman & Diu,age_10_13,25,0.0,3.8835,4.5582,0.0,3.9623,0.0,100.0,96.1165,95.4418,100.0,96.0377,100.0
Daman & Diu,age_14_17,25,0.0,3.0303,8.462,0.0,9.2632,0.0,100.0,96.9697,91.538,100.0,90.7368,100.0
Daman & Diu,age_18_21,25,11.1111,10.1449,12.0014,0.0,17.8899,0.0,88.8889,89.8551,87.9986,100.0,82.1101,100.0
Dadra & Nagar Haveli,age_below10,26,83.3333,76.1733,79.9623,70.5263,76.8,66.6667,16.6667,23.8267,20.0377,29.4737,23.2,33.3333
Dadra & Nagar Haveli,age_10_13,26,23.0769,11.7216,15.2327,2.8571,6.1151,0.0,76.9231,88.2784,84.7673,97.1429,93.8849,100.0
Dadra & Nagar Haveli,age_14_17,26,28.5714,9.1873,20.6647,0.0,13.0612,0.0,71.4286,90.8127,79.3353,100.0,86.9388,100.0
Dadra & Nagar Haveli,age_18_21,26,14.2857,12.3894,19.5409,0.0,24.5614,0.0,85.7143,87.6106,80.4591,100.0,75.4386,100.0
Maharashtra,age_below10,27,72.9583,70.976,73.3444,70.2788,73.1657,72.3,27.0417,29.024,26.6556,29.7212,26.8343,27.7
Maharashtra,age_10_13,27,2.7496,2.4924,4.0346,0.8656,6.2202,4.1157,97.2504,97.5076,95.9654,99.1344,93.7798,95.8843
Maharashtra,age_14_17,27,3.1586,2.8073,4.9479,0.7457,8.6832,3.9466,96.8414,97.1927,95.0521,99.2543,91.3168,96.0534
Maharashtra,age_18_21,27,3.8323,3.2134,5.9767,0.8201,11.073,4.7593,96.1677,96.7866,94.0233,99.1799,88.927,95.2407
Andhra Pradesh,age_below10,28,73.4745,70.4695,70.8189,69.2536,72.1061,75.2798,26.5255,29.5305,29.1811,30.7464,27.8939,24.7202
Andhra Pradesh,age_10_13,28,13.5851,7.6146,10.5463,2.7057,12.771,15.2457,86.4149,92.3854,89.4537,97.2943,87.229,84.7543
Andhra Pradesh,age_14_17,28,17.2144,10.3219,14.7507,1.7042,15.0043,13.212,82.7856,89.6781,85.2493,98.2958,84.9957,86.788
Andhra Pradesh,age_18_21,28,17.9331,11.8118,17.584,2.7322,16.0264,12.5967,82.0669,88.1882,82.416,97.2678,83.9736,87.4033
Karnataka,age_below10,29,75.0905,72.0647,73.3655,71.5234,73.33,75.7796,24.9095,27.9353,26.6345,28.4766,26.67,24.2204
Karnataka,age_10_13,29,12.9917,4.4155,9.1852,1.6439,11.2102,10.3161,87.0083,95.5845,90.8148,98.3561,88.7898,89.6839
Karnataka,age_14_17,29,14.5077,4.586,11.786,2.7453,14.9117,10.2467,85.4923,95.414,88.214,97.2547,85.0883,89.7533
Karnataka,age_18_21,29,17.3296,5.5145,14.7385,3.9868,17.0247,7.6923,82.6704,94.4855,85.2615,96.0132,82.9753,92.3077
Goa,age_below10,30,72.7273,71.0322,72.3419,79.2208,73.5993,73.5294,27.2727,28.9678,27.6581,20.7792,26.4007,26.4706
