state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Goa,age_10_13,30,20.8333,1.7491,3.4786,0.0,8.1377,2.5641,79.1667,98.2509,96.5214,100.0,91.8623,97.4359
Goa,age_14_17,30,12.5,1.2619,4.089,13.6364,12.3933,3.5714,87.5,98.7381,95.911,86.3636,87.6067,96.4286
Goa,age_18_21,30,0.0,1.7335,6.2528,0.0,16.909,6.6667,100.0,98.2665,93.7472,100.0,83.091,93.3333
Lakshadweep,age_below10,31,,80.0,66.6667,,75.8111,,,20.0,33.3333,,24.1889,
Lakshadweep,age_10_13,31,,0.0,0.0,,2.0342,,,100.0,100.0,,97.9658,
Lakshadweep,age_14_17,31,,6.25,1.3699,,1.8904,,,93.75,98.6301,,98.1096,
Lakshadweep,age_18_21,31,,13.3333,2.7027,,3.0645,,,86.6667,97.2973,,96.9355,
Kerala,age_below10,32,73.743,73.8274,74.1857,73.3333,74.1371,70.4545,26.257,26.1726,25.8143,26.6667,25.8629,29.5455
Kerala,age_10_13,32,0.0,0.9853,1.3563,1.4184,1.1366,3.1579,100.0,99.0147,98.6437,98.5816,98.8634,96.8421
Kerala,age_14_17,32,1.2821,0.9296,1.2548,0.0,0.8731,2.2222,98.7179,99.0704,98.7452,100.0,99.1269,97.7778
Kerala,age_18_21,32,2.7778,1.3088,1.5439,0.0,1.037,1.5873,97.2222,98.6912,98.4561,100.0,98.963,98.4127
Tamil Nadu,age_below10,33,72.1116,72.6589,72.3232,72.9984,73.2999,76.1394,27.8884,27.3411,27.6768,27.0016,26.7001,23.8606
Tamil Nadu,age_10_13,33,3.0568,2.6294,4.5604,3.1347,4.6143,7.3171,96.9432,97.3706,95.4396,96.8653,95.3857,92.6829
Tamil Nadu,age_14_17,33,2.9915,2.639,5.7067,2.3755,4.8496,6.5868,97.0085,97.361,94.2933,97.6245,95.1504,93.4132
Tamil Nadu,age_18_21,33,0.0,3.4745,7.248,1.7493,5.3235,6.4655,100.0,96.5255,92.752,98.2507,94.6765,93.5345
State - PONDICHERRY  34,age_below10,34,80.0,74.9215,74.4359,73.3333,75.2882,80.0,20.0,25.0785,25.5641,26.6667,24.7118,20.0
State - PONDICHERRY  34,age_10_13,34,,2.5735,3.2733,2.9412,3.271,0.0,,97.4265,96.7267,97.0588,96.729,100.0
State - PONDICHERRY  34,age_14_17,34,0.0,1.8586,3.0157,0.0,1.9067,0.0,100.0,98.1414,96.9843,100.0,98.0933,100.0
State - PONDICHERRY  34,age_18_21,34,0.0,2.4096,3.7313,0.0,2.7778,0.0,100.0,97.5904,96.2687,100.0,97.2222,100.0
Andaman & Nicobar Islands,age_below10,35,82.3529,76.0665,72.7413,66.6667,70.3106,71.5232,17.6471,23.9335,27.2587,33.3333,29.6894,28.4768
Andaman & Nicobar Islands,age_10_13,35,0.0,7.7738,4.0807,0.0,2.617,0.0,100.0,92.2262,95.9193,100.0,97.383,100.0
Andaman & Nicobar Islands,age_14_17,35,20.0,4.9014,3.2276,,3.2695,0.0,80.0,95.0986,96.7724,,96.7305,100.0
Andaman & Nicobar Islands,age_18_21,35,11.1111,6.6841,5.2864,,4.439,0.0,88.8889,93.3159,94.7136,,95.561,100.0
