state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male
Bihar,age_below10,10,4.0656,1.4051,3.2989,1.583,3.8584,1.3973,,,3.6463,1.4789,3.9219,1.346,2.5308,1.4922,2.8384,1.5332,,,,,3.0589,1.449,3.4586,1.4824
Sikkim,age_10_13,11,2.8651,0.3748,2.6703,0.9065,2.8466,0.8611,,,4.2067,0.9241,2.4979,0.6799,0.4352,0.626,0.8694,0.5146,,,,,1.5665,0.5487,2.954,0.7587
Sikkim,age_14_17,11,27.8552,5.2724,33.9695,6.7193,27.4136,6.3851,,,26.2458,6.0546,24.6369,4.9806,10.9138,2.4159,21.874,4.3814,,,,,32.2173,6.161,25.3021,5.1314
Sikkim,age_18_21,11,35.376,29.3603,37.3588,31.3116,38.4976,29.2577,,,35.8863,26.7302,37.545,27.9479,42.5762,23.9388,46.3239,29.6047,,,,,41.3675,34.0682,37.9554,27.6799
Sikkim,age_below10,11,2.3876,1.5492,2.1226,1.4392,1.9822,1.3551,,,2.2425,1.1964,1.867,1.3311,1.5144,1.5747,2.0929,1.4724,,,,,2.3128,1.4921,2.1229,1.387
Arunachal Pradesh,age_10_13,12,3.2047,1.1334,2.9855,0.4884,2.0744,0.3639,,,2.4911,0.4748,2.1381,0.4567,1.0221,0.5588,1.8046,0.5677,,,,,2.6537,0.5233,2.3269,0.5005
Arunachal Pradesh,age_14_17,12,25.9647,3.6588,29.1479,4.5185,22.6481,4.5498,,,22.521,4.4322,22.1849,3.9248,14.6809,3.0676,24.4748,4.3173,,,,,29.1667,4.8833,22.5633,4.0888
Arunachal Pradesh,age_18_21,12,45.6508,30.165,46.0504,34.8288,51.0523,39.5361,,,48.8934,36.599,49.7769,33.7685,48.3586,28.3326,49.6123,35.8045,,,,,46.7807,36.6873,48.1642,33.6996
Arunachal Pradesh,age_below10,12,3.4336,2.1873,3.2421,1.3966,2.7484,1.2402,,,2.5587,1.2242,2.7063,1.3381,2.2107,1.6693,2.8549,1.5125,,,,,3.1468,1.5539,2.6139,1.389
Nagaland,age_10_13,13,1.2432,0.33,0.9424,0.2441,0.5248,0.1966,,,0.7245,0.2264,0.5655,0.2444,0.5449,0.2581,0.6876,0.2469,,,,,0.7588,0.2697,0.7067,0.2535
