state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Chandigarh,age_10_13,04,32.0755,36.8821,38.2277,17.7215,49.6302,29.9176,3.6364,7.4074,10.8475,7.837,10.352,8.1195,2.4691,0.0,17.9366,16.1514,2.4112,2.3623,96.3636,92.5926,89.1525,92.163,89.648,91.8805,97.5309,100.0,82.0634,83.8486,97.5888,97.6377,3.7736,6.0837,7.2666,11.3924,4.2728,8.734
Chandigarh,age_14_17,04,3.9216,2.3529,3.8699,0.0,8.3243,1.5236,3.7736,2.7397,14.1414,5.7971,9.3504,9.7913,1.9417,0.0,19.0726,21.2329,2.2989,1.7753,96.2264,97.2603,85.8586,94.2029,90.6496,90.2087,98.0583,100.0,80.9274,78.7671,97.7011,98.2247,35.2941,43.1373,40.7291,36.6337,35.4595,43.0858
Chandigarh,age_18_21,04,1.1236,2.1739,2.1887,0.0,4.0767,0.8191,2.1978,2.0833,14.2857,10.7527,13.6878,12.8746,0.0,0.0,25.5357,28.1879,2.4322,2.4421,97.8022,97.9167,85.7143,89.2473,86.3122,87.1254,100.0,100.0,74.4643,71.8121,97.5678,97.5579,5.618,18.8406,12.3774,2.0,26.3789,7.5142
State - UTTARANCHAL  05,age_below10,05,93.3099,96.3397,97.3701,95.2632,94.2556,96.5209,66.2708,66.7996,70.8493,69.2685,73.5775,72.9161,69.0554,70.6612,82.4515,79.6943,74.094,72.7389,33.7292,33.2004,29.1507,30.7315,26.4225,27.0839,30.9446,29.3388,17.5485,20.3057,25.906,27.2611,0.0,0.0,0.0,0.0,0.0,0.0
State - UTTARANCHAL  05,age_10_13,05,33.1361,35.7081,45.3421,19.5906,57.8325,42.7012,7.4818,3.6295,5.9641,4.5296,8.0455,3.9792,1.1561,1.0929,33.3293,22.1942,13.143,7.7108,92.5182,96.3705,94.0359,95.4704,91.9545,96.0208,98.8439,98.9071,66.6707,77.8058,86.857,92.2892,8.6785,11.3814,5.8873,19.883,4.4206,7.7498
State - UTTARANCHAL  05,age_14_17,05,4.5858,4.2039,6.2562,0.8621,20.2839,9.1073,4.9226,2.9377,6.2867,4.6904,10.9403,4.3481,0.8547,1.2788,41.5741,27.3151,18.4905,9.052,95.0774,97.0623,93.7133,95.3096,89.0597,95.6519,99.1453,98.7212,58.4259,72.6849,81.5095,90.948,33.284,43.1127,40.9831,38.7931,24.2461,37.564
State - UTTARANCHAL  05,age_18_21,05,3.6474,2.0513,3.9087,0.0,15.6526,5.9185,8.6111,3.3333,6.25,6.9272,16.1291,6.6278,2.7778,0.0,48.4146,31.3807,22.5902,10.4457,91.3889,96.6667,93.75,93.0728,83.8709,93.3722,97.2222,100.0,51.5854,68.6193,77.4098,89.5543,14.5897,15.5556,26.0823,1.7143,16.9111,20.0117
Haryana,age_below10,06,97.093,97.1726,97.9931,97.4173,93.3957,97.836,77.1277,75.082,71.9415,73.0996,74.2896,73.6633,70.4719,69.6633,90.2087,83.6734,72.42,72.6921,22.8723,24.918,28.0585,26.9004,25.7104,26.3367,29.5281,30.3367,9.7913,16.3266,27.58,27.3079,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,age_10_13,06,53.5714,43.1689,47.0981,24.1634,67.4828,44.6463,17.1598,7.4742,7.7058,5.6465,10.4644,6.4099,1.5027,1.3765,57.4316,24.9094,11.0212,7.6731,82.8402,92.5258,92.2942,94.3535,89.5356,93.5901,98.4973,98.6235,42.5684,75.0906,88.9788,92.3269,6.7857,7.0209,5.0835,13.3366,1.6709,5.7134
Haryana,age_14_17,06,10.4072,4.4932,6.8409,0.8692,24.8214,6.545,19.3431,11.9186,9.375,6.3126,12.7114,7.4109,1.6202,0.7031,65.142,28.1434,12.7791,9.5921,80.6569,88.0814,90.625,93.6874,87.2886,92.5891,98.3798,99.2969,34.858,71.8566,87.2209,90.4079,36.1991,41.7973,35.6189,40.5764,16.6481,36.6837
