state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Sikkim,age_10_13,11,61.2644,67.0908,1.4005,0.4442,0.9219,85.2456,85.7485,10.5272,9.8947,10.5272,9.8947,16.615,15.9591,83.385,84.0409,0.0,89.4728,90.1053
Sikkim,age_14_17,11,21.4872,28.1709,12.7043,2.7588,7.7271,71.9567,71.2287,14.1749,11.9849,14.1749,11.9849,16.5735,13.7051,83.4265,86.2949,0.0,85.8251,88.0151
Sikkim,age_18_21,11,15.7365,22.5352,52.3872,25.7662,39.1717,48.258,49.032,26.8718,16.8251,26.8718,16.8251,18.977,15.0299,81.023,84.9701,0.0,73.1282,83.1749
Sikkim,age_below10,11,97.2665,96.3943,0.0,0.0,0.0,66.7157,66.0488,32.0641,32.5978,32.0641,32.5978,77.9194,78.5078,22.0806,21.4922,0.0,67.9359,67.4022
Arunachal Pradesh,age_10_13,12,61.7185,62.1469,1.5028,0.4417,0.9707,65.214,73.8835,30.1302,23.7231,30.1302,23.7231,37.3591,28.5303,62.6409,71.4697,0.0,69.8698,76.2769
Arunachal Pradesh,age_14_17,12,21.0274,21.1241,15.5904,3.8766,9.6957,64.8058,74.2415,20.65,15.8676,20.65,15.8676,29.1231,18.5627,70.8769,81.4373,0.0,79.35,84.1324
Arunachal Pradesh,age_18_21,12,14.0502,13.3731,64.3611,31.3175,48.8552,41.5536,57.6448,26.7289,17.2662,26.7289,17.2662,35.2491,20.2975,64.7509,79.7025,0.0,73.2711,82.7338
Arunachal Pradesh,age_below10,12,96.8705,96.7166,0.0,0.0,0.0,41.6589,46.4972,57.5423,52.9902,57.5423,52.9902,86.2023,84.346,13.7977,15.654,0.0,42.4577,47.0098
Nagaland,age_10_13,13,36.7616,37.9375,1.3152,0.4843,0.8833,76.2686,78.2285,19.167,17.5422,19.167,17.5422,25.4283,22.9821,74.5717,77.0179,0.0,80.833,82.4578
Nagaland,age_14_17,13,8.6988,8.4414,7.4317,1.6925,4.4442,70.8266,73.4461,17.4912,15.4735,17.4912,15.4735,23.0596,19.8889,76.9404,80.1111,0.0,82.5088,84.5265
Nagaland,age_18_21,13,6.7138,6.4204,29.027,11.6892,20.1415,56.8624,61.7684,21.4712,17.5884,21.4712,17.5884,26.0557,22.2295,73.9443,77.7705,0.0,78.5288,82.4116
Nagaland,age_below10,13,93.1458,92.8814,0.0,0.0,0.0,57.761,59.0421,40.6835,39.4896,40.6835,39.4896,79.213,77.7168,20.787,22.2832,0.0,59.3165,60.5104
Manipur,age_10_13,14,46.8507,47.2894,1.1584,0.4868,0.8126,77.3386,80.6549,19.878,16.6136,19.878,16.6136,30.091,25.9374,69.909,74.0626,0.0,80.122,83.3864
Manipur,age_14_17,14,12.652,11.609,7.7919,1.7045,4.7289,72.3715,78.2309,18.3131,13.3818,18.3131,13.3818,21.8284,17.1101,78.1716,82.8899,0.0,81.6869,86.6182
Manipur,age_18_21,14,8.819,6.6721,30.9581,13.4022,22.3219,59.8463,68.0947,23.1793,15.4446,23.1793,15.4446,23.7931,17.0315,76.2069,82.9685,0.0,76.8207,84.5554
Manipur,age_below10,14,92.7198,92.3263,0.0,0.0,0.0,57.0807,59.3972,41.6754,39.3651,41.6754,39.3651,84.2182,82.8071,15.7818,17.1929,0.0,58.3246,60.6349
Mizoram,age_10_13,15,58.3795,63.7164,0.5734,0.2491,0.4088,88.0375,89.8227,10.1029,8.2049,10.1029,8.2049,9.0574,8.0844,90.9426,91.9156,0.0,89.8971,91.7951
Mizoram,age_14_17,15,15.1257,17.6463,9.7694,2.1249,5.9396,66.9761,69.0386,16.0659,10.7304,16.0659,10.7304,6.8159,4.9888,93.1841,95.0112,0.0,83.9341,89.2696
Mizoram,age_18_21,15,14.4596,14.6896,45.1772,24.1695,34.9185,39.539,42.5143,28.2533,15.1604,28.2533,15.1604,7.2324,4.9099,92.7676,95.0901,0.0,71.7467,84.8396
Mizoram,age_below10,15,98.3503,98.3294,0.0,0.0,0.0,65.1341,65.3081,34.5656,34.4416,34.5656,34.4416,76.6264,76.6878,23.3736,23.3122,0.0,65.4344,65.5584
Tripura,age_10_13,16,54.0761,53.1992,0.9623,0.4716,0.7087,70.7849,78.8762,27.7002,19.7616,27.7002,19.7616,27.5244,18.9162,72.4756,81.0838,0.0,72.2998,80.2384
Tripura,age_14_17,16,18.0149,16.4181,18.4488,3.2442,10.7306,56.3595,69.5391,36.5279,21.489,36.5279,21.489,30.9168,16.2447,69.0832,83.7553,0.0,63.4721,78.511
Tripura,age_18_21,16,18.5394,15.1063,67.525,36.5737,53.1233,27.7262,46.6085,55.1348,29.1513,55.1348,29.1513,40.9391,19.6288,59.0609,80.3712,0.0,44.8652,70.8487
Tripura,age_below10,16,97.6658,97.4375,0.0,0.0,0.0,48.4683,52.8517,51.172,46.7532,51.172,46.7532,79.7737,77.2978,20.2263,22.7022,0.0,48.828,53.2468
Meghalaya,age_10_13,17,66.1313,69.57,1.4259,0.4278,0.9225,69.2557,65.8111,27.1571,29.3785,27.1571,29.3785,30.5346,34.03,69.4654,65.97,0.0,72.8429,70.6215
Meghalaya,age_14_17,17,31.7624,36.8874,13.9872,2.4248,8.2115,63.0404,58.061,23.0214,21.2383,23.0214,21.2383,22.108,26.6245,77.892,73.3755,0.0,76.9786,78.7617
Meghalaya,age_18_21,17,25.8207,27.4025,54.4981,25.8388,40.9893,45.484,47.0062,29.6615,19.222,29.6615,19.222,25.3751,26.4396,74.6249,73.5604,0.0,70.3385,80.778
Meghalaya,age_below10,17,95.2937,94.7141,0.0,0.0,0.0,44.268,42.2903,54.6586,56.4881,54.6586,56.4881,86.6032,87.3337,13.3968,12.6663,0.0,45.3414,43.5119
Assam,age_10_13,18,40.1259,40.8579,1.3103,0.4058,0.8485,73.5382,78.298,24.5722,19.311,24.5722,19.311,23.369,18.0607,76.631,81.9393,0.0,75.4278,80.689
Assam,age_14_17,18,11.2471,10.4861,14.1309,2.5051,8.3047,60.9962,67.746,33.3141,22.7003,33.3141,22.7003,23.7435,16.1815,76.2565,83.8185,0.0,66.6859,77.2997
Assam,age_18_21,18,10.0959,8.9275,54.5551,21.6429,38.903,38.4573,49.6806,49.6099,29.1028,49.6099,29.1028,29.5881,18.1709,70.4119,81.8291,0.0,50.3901,70.8972
Assam,age_below10,18,95.6156,95.654,0.0,0.0,0.0,54.9652,57.2581,44.4412,42.0616,44.4412,42.0616,79.1493,77.9017,20.8507,22.0983,0.0,55.5588,57.9384
West Bengal,age_10_13,19,67.8735,62.2514,1.6256,0.4883,1.0295,53.3904,68.0295,43.3618,28.457,43.3618,28.457,41.3805,25.3889,58.6195,74.6111,0.0,56.6382,71.543
West Bengal,age_14_17,19,34.2312,27.9308,31.8205,4.0534,17.2114,30.7096,46.1741,54.0229,34.6469,54.0229,34.6469,50.29,26.9548,49.71,73.0452,0.0,45.9771,65.3531
West Bengal,age_18_21,19,34.4056,27.712,79.3152,39.5964,60.7907,11.6137,25.263,62.9575,36.2738,62.9575,36.2738,60.5718,30.7921,39.4282,69.2079,0.0,37.0425,63.7262
West Bengal,age_below10,19,97.6961,97.4112,0.0,0.0,0.0,42.1479,48.3351,57.49,51.2245,57.49,51.2245,82.9939,79.5868,17.0061,20.4132,0.0,42.51,48.7755
Jharkhand,age_10_13,20,50.2374,50.3615,1.5143,0.4294,0.9517,45.1379,61.2047,51.4799,34.5548,51.4799,34.5548,51.3126,33.9941,48.6874,66.0059,0.0,48.5201,65.4452
Jharkhand,age_14_17,20,15.8954,14.7506,25.3666,5.5591,15.0725,32.1065,47.3864,56.4472,34.625,56.4472,34.625,52.3776,29.9596,47.6224,70.0404,0.0,43.5528,65.375
Jharkhand,age_18_21,20,12.139,10.7975,72.5916,41.0153,57.5462,15.6506,28.255,65.4325,37.4634,65.4325,37.4634,60.0772,30.815,39.9228,69.185,0.0,34.5675,62.5366
Jharkhand,age_below10,20,95.6292,95.6029,0.0,0.0,0.0,30.7007,38.6083,68.6576,60.5853,68.6576,60.5853,88.1573,84.4005,11.8427,15.5995,0.0,31.3424,39.4147
State - ORISSA  21,age_10_13,21,44.6878,42.3314,1.1448,0.2985,0.7084,41.8242,60.4171,55.3508,36.2972,55.3508,36.2972,52.7829,32.2727,47.2171,67.7273,0.0,44.6492,63.7028
State - ORISSA  21,age_14_17,21,20.1665,15.8459,20.3305,3.7317,12.0711,22.6787,38.0832,66.3469,44.4931,66.3469,44.4931,57.7939,32.3199,42.2061,67.6801,0.0,33.6531,55.5069
State - ORISSA  21,age_18_21,21,21.6731,17.3191,72.9991,33.6921,54.4573,8.7964,18.0785,73.6923,46.0125,73.6923,46.0125,65.6018,34.7674,34.3982,65.2326,0.0,26.3077,53.9875
State - ORISSA  21,age_below10,21,96.8196,96.7068,0.0,0.0,0.0,36.9095,47.2502,62.7269,52.2963,62.7269,52.2963,86.8383,81.989,13.1617,18.011,0.0,37.2731,47.7037
Chhattisgarh,age_10_13,22,57.4996,56.1659,1.2215,0.4346,0.8188,63.5113,75.5661,31.6458,18.6469,31.6458,18.6469,27.6699,17.0055,72.3301,82.9945,0.0,68.3542,81.3531
Chhattisgarh,age_14_17,22,18.1003,15.8692,21.5255,5.7021,13.4315,31.8408,50.7639,48.6488,23.7732,48.6488,23.7732,34.2037,18.4327,65.7963,81.5673,0.0,51.3512,76.2268
Chhattisgarh,age_18_21,22,17.2392,14.3359,80.9122,50.6865,66.55,11.9349,27.8022,57.2802,25.1182,57.2802,25.1182,45.2777,21.3711,54.7223,78.6289,0.0,42.7198,74.8818
Chhattisgarh,age_below10,22,98.2646,98.2401,0.0,0.0,0.0,48.3762,53.4229,50.9657,45.7751,50.9657,45.7751,81.8013,79.6031,18.1987,20.3969,0.0,49.0343,54.2249
Madhya Pradesh,age_10_13,23,67.6162,64.0768,2.1237,0.8941,1.4798,47.9748,64.1285,45.5305,28.3093,45.5305,28.3093,45.1568,28.9949,54.8432,71.0051,0.0,54.4695,71.6907
Madhya Pradesh,age_14_17,23,28.8234,24.8257,35.4866,12.2929,23.3842,22.4701,41.1903,54.6962,28.8509,54.6962,28.8509,52.969,31.784,47.031,68.216,0.0,45.3038,71.1491
Madhya Pradesh,age_18_21,23,23.3737,21.3174,90.7094,66.9308,79.266,8.3492,21.8654,56.7398,26.2493,56.7398,26.2493,63.749,34.9404,36.251,65.0596,0.0,43.2602,73.7507
Madhya Pradesh,age_below10,23,97.5924,97.6826,0.0,0.0,0.0,35.4741,42.8488,63.7801,56.3294,63.7801,56.3294,86.5042,83.361,13.4958,16.639,0.0,36.2199,43.6706
Gujarat,age_10_13,24,44.3952,43.5926,0.9859,0.4024,0.6818,58.1876,69.8184,37.8806,25.8974,37.8806,25.8974,34.1544,22.2078,65.8456,77.7922,0.0,62.1194,74.1026
Gujarat,age_14_17,24,17.5798,15.5525,18.5256,5.0842,11.5402,36.3229,47.3989,47.2387,29.6468,47.2387,29.6468,37.6489,23.0915,62.3511,76.9085,0.0,52.7613,70.3532
Gujarat,age_18_21,24,16.717,15.3948,81.2693,54.0892,68.0028,15.0906,24.1715,56.7185,29.0178,56.7185,29.0178,46.9349,25.4113,53.0651,74.5887,0.0,43.2815,70.9822
Gujarat,age_below10,24,98.1957,98.1858,0.0,0.0,0.0,49.0114,54.6712,50.6429,44.9237,50.6429,44.9237,81.1148,78.4682,18.8852,21.5318,0.0,49.3571,55.0763
Daman & Diu,age_10_13,25,36.0714,36.9532,1.0323,0.2242,0.5999,81.3505,86.8272,12.3794,9.0652,12.3794,9.0652,9.9678,6.0907,90.0322,93.9093,0.0,87.6206,90.9348
Daman & Diu,age_14_17,25,13.7295,12.709,15.534,2.2831,8.2655,36.4421,49.8494,28.4974,20.4819,28.4974,20.4819,15.7168,9.9398,84.2832,90.0602,0.0,71.5026,79.5181
Daman & Diu,age_18_21,25,13.1004,15.625,76.8546,30.8387,52.2429,8.8136,12.5628,43.3898,26.1307,43.3898,26.1307,22.3729,11.5578,77.6271,88.4422,0.0,56.6102,73.8693
Daman & Diu,age_below10,25,99.115,98.7879,0.0,0.0,0.0,74.937,78.6905,24.3073,21.3095,24.3073,21.3095,69.9668,68.3099,30.0332,31.6901,0.0,75.6927,78.6905
Dadra & Nagar Haveli,age_10_13,26,45.7719,41.8973,0.7706,0.281,0.5155,51.9845,75.9863,39.8543,18.7123,39.8543,18.7123,42.5152,17.8356,57.4848,82.1644,0.0,60.1457,81.2877
