state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
Rajasthan,age_below10,08,96.2286,96.5918,9.6925,3.147,8.5674,4.9233,10.1281,3.4485,,,8.816,3.5445,9.6858,2.9757,2.4558,2.2839,3.4028,3.3466,,,,,5.4406,4.436,7.7586,3.4669,52.6669,63.0496,46.8528,36.4746,46.8528,36.4746,80.317,76.0287,19.683,23.9713,0.0,53.1472,63.5254
Uttar Pradesh,age_10_13,09,48.4535,47.044,11.593,4.1421,6.9024,4.4174,11.6768,4.2393,,,9.4398,4.7178,9.9129,3.3303,3.0463,2.345,4.9063,3.3209,,,,,6.1924,3.959,8.1271,3.6758,64.5472,76.6568,34.6159,20.9012,34.6159,20.9012,31.8991,19.1193,68.1009,80.8807,0.0,65.3841,79.0988
Uttar Pradesh,age_14_17,09,10.6378,9.6555,39.7437,15.7443,35.6888,17.1061,38.4036,16.7979,,,38.5649,16.6465,36.7307,14.007,26.7028,12.1545,35.3417,15.3019,,,,,37.1227,15.8525,36.481,14.6956,44.4463,60.8266,52.9028,25.6415,52.9028,25.6415,36.2339,19.5449,63.7661,80.4551,0.0,47.0972,74.3585
Uttar Pradesh,age_18_21,09,6.782,6.3782,36.4066,56.7535,41.1264,52.805,37.7833,57.0806,,,39.7912,52.7912,39.155,53.7851,51.2373,53.9345,46.4788,55.8082,,,,,43.8778,54.4143,41.5852,52.6865,25.0635,39.823,70.1435,28.8141,70.1435,28.8141,43.7707,21.6773,56.2293,78.3227,0.0,29.8565,71.1859
Uttar Pradesh,age_below10,09,94.99,94.9182,6.7628,2.9078,3.5869,2.9984,6.4157,2.6574,,,4.8283,3.0855,5.4721,2.3206,2.1399,1.9624,2.5355,2.3949,,,,,2.9595,2.6626,4.2125,2.6066,44.3749,49.9426,55.2759,49.3776,55.2759,49.3776,82.2551,79.2321,17.7449,20.7679,0.0,44.7241,50.6224
Bihar,age_10_13,10,48.1834,46.6617,11.8317,2.1775,7.8433,2.3355,12.3839,1.8364,,,9.9287,2.4013,11.6208,1.7775,4.0648,1.331,5.4625,1.7365,,,,,6.5847,1.9027,8.9046,1.9608,47.2666,62.3056,51.1384,33.8307,51.1384,33.8307,49.4595,33.2936,50.5405,66.7064,0.0,48.8616,66.1693
Bihar,age_14_17,10,12.6489,11.5013,46.2693,15.9882,45.0994,16.5026,45.4999,15.4694,,,45.9481,16.2035,45.3581,14.3833,37.9906,13.5663,43.9099,15.4559,,,,,45.1598,15.484,44.8445,14.9129,34.6163,50.1373,60.1995,30.2762,60.1995,30.2762,47.21,30.2853,52.79,69.7147,0.0,39.8005,69.7238
Bihar,age_18_21,10,9.5199,7.7804,32.7118,53.343,36.3323,52.5612,33.0289,54.6123,,,34.5743,52.2067,33.2825,52.2906,44.599,52.4645,39.7716,53.5575,,,,,38.29,53.3112,35.9797,51.6721,15.4075,33.3484,75.4783,29.3533,75.4783,29.3533,55.5815,29.7929,44.4185,70.2071,0.0,24.5217,70.6467
Bihar,age_below10,10,93.9072,93.7879,4.0656,1.4051,3.2989,1.583,3.8584,1.3973,,,3.6463,1.4789,3.9219,1.346,2.5308,1.4922,2.8384,1.5332,,,,,3.0589,1.449,3.4586,1.4824,28.5651,35.8904,71.0746,63.3993,71.0746,63.3993,88.4248,84.6701,11.5752,15.3299,0.0,28.9254,36.6007
Sikkim,age_10_13,11,63.2077,66.0284,2.8651,0.3748,2.6703,0.9065,2.8466,0.8611,,,4.2067,0.9241,2.4979,0.6799,0.4352,0.626,0.8694,0.5146,,,,,1.5665,0.5487,2.954,0.7587,86.4823,87.7256,9.5985,8.6107,9.5985,8.6107,16.4285,14.5905,83.5715,85.4095,0.0,90.4015,91.3893
