state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
State - UTTARANCHAL  05,age_14_17,05,11.5127,17.267,11.1985,57.715,34.4741,34.4741,23.0411,76.9589,0.0,65.5259
State - UTTARANCHAL  05,age_18_21,05,9.891,72.8776,57.0516,33.0854,51.7712,51.7712,31.7747,68.2253,0.0,48.2288
State - UTTARANCHAL  05,age_below10,05,96.9798,0.0,0.0,66.4416,33.2583,33.2583,74.1091,25.8909,0.0,66.7417
Rajasthan,age_10_13,08,61.5454,5.4623,3.8131,46.8639,47.9007,47.9007,47.0528,52.9472,0.0,52.0993
Rajasthan,age_14_17,08,27.6572,41.5281,28.057,23.576,58.742,58.742,57.2853,42.7147,0.0,41.258
Rajasthan,age_18_21,08,26.279,93.219,80.1856,10.6395,60.3729,60.3729,68.0956,31.9044,0.0,39.6271
Rajasthan,age_below10,08,96.1251,0.0,0.0,41.0352,58.267,58.267,85.6788,14.3212,0.0,41.733
Uttar Pradesh,age_10_13,09,62.3227,3.5368,2.5314,36.97,59.4465,59.4465,59.9787,40.0213,0.0,40.5535
Uttar Pradesh,age_14_17,09,24.4128,33.1378,22.4272,23.1316,66.7632,66.7632,63.0263,36.9737,0.0,33.2368
Uttar Pradesh,age_18_21,09,18.8559,89.8694,77.1737,10.4502,72.8832,72.8832,74.7053,25.2947,0.0,27.1168
Uttar Pradesh,age_below10,09,93.292,0.0,0.0,29.7923,69.3063,69.3063,89.2256,10.7744,0.0,30.6937
Bihar,age_10_13,10,56.1197,2.2385,1.4039,26.6741,68.1401,68.1401,70.8627,29.1373,0.0,31.8599
Bihar,age_14_17,10,19.3726,35.0004,19.0452,18.0335,64.3463,64.3463,72.3994,27.6006,0.0,35.6537
Bihar,age_18_21,10,12.4598,86.1271,67.7566,8.5655,66.8473,66.8473,78.6034,21.3966,0.0,33.1527
