state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
State - DELHI  07,age_10_13,07,43.8277,45.5671,1.0694,0.3501,0.6896,84.1166,86.6374,15.4148,12.0045,15.4148,12.0045,11.1324,8.4893,88.8676,91.5107,0.0,84.5852,87.9955
State - DELHI  07,age_14_17,07,6.8367,7.1326,14.6625,3.5856,8.5015,59.1805,62.2909,38.7271,25.482,38.7271,25.482,12.1791,9.7758,87.8209,90.2242,0.0,61.2729,74.518
State - DELHI  07,age_18_21,07,4.2466,5.0421,72.2092,34.5612,51.3138,29.2131,33.0097,66.8578,32.7806,66.8578,32.7806,18.3307,11.9581,81.6693,88.0419,0.0,33.1422,67.2194
State - DELHI  07,age_below10,07,97.5057,97.5687,0.0,0.0,0.0,64.5742,66.0062,35.3293,33.7289,35.3293,33.7289,74.6462,73.9743,25.3538,26.0257,0.0,64.6707,66.2711
Rajasthan,age_10_13,08,63.6398,58.0799,6.8933,2.8177,4.6957,55.4994,81.1041,40.7703,15.4903,40.7703,15.4903,36.5899,13.7532,63.4101,86.2468,0.0,59.2297,84.5097
Rajasthan,age_14_17,08,27.436,17.7675,46.1128,15.1929,28.6884,27.1439,55.8344,59.5849,21.8715,59.5849,21.8715,44.8609,14.8837,55.1391,85.1163,0.0,40.4151,78.1285
Rajasthan,age_18_21,08,24.0612,14.7932,93.6551,61.3829,76.7346,11.4152,30.1745,67.2064,23.765,67.2064,23.765,55.1988,17.6076,44.8012,82.3924,0.0,32.7936,76.235
Rajasthan,age_below10,08,96.6144,96.9259,0.0,0.0,0.0,46.4413,57.8531,53.099,41.6555,53.099,41.6555,82.7232,77.808,17.2768,22.192,0.0,46.901,58.3445
Uttar Pradesh,age_10_13,09,56.1494,51.3236,3.814,1.4809,2.5434,62.5198,76.1101,36.5593,21.5362,36.5593,21.5362,34.2845,19.6552,65.7155,80.3448,0.0,63.4407,78.4638
Uttar Pradesh,age_14_17,09,14.981,11.53,34.9262,9.7349,20.3997,36.8313,56.1781,59.8013,29.5079,59.8013,29.5079,45.8239,22.6425,54.1761,77.3575,0.0,40.1987,70.4921
Uttar Pradesh,age_18_21,09,9.9171,8.0212,91.1354,53.7697,71.8001,16.1078,32.9822,77.4022,33.7951,77.4022,33.7951,60.2072,27.448,39.7928,72.552,0.0,22.5978,66.2049
Uttar Pradesh,age_below10,09,96.0197,95.6997,0.0,0.0,0.0,43.6221,49.1808,56.0412,50.2165,56.0412,50.2165,82.6772,79.44,17.3228,20.56,0.0,43.9588,49.7835
Bihar,age_10_13,10,56.6534,53.4546,4.4497,1.3217,2.7206,29.5453,47.685,67.2963,46.6277,67.2963,46.6277,68.1747,48.3336,31.8253,51.6664,0.0,32.7037,53.3723
Bihar,age_14_17,10,18.6814,15.9319,57.5547,14.9212,33.5808,17.9747,35.7327,69.8322,37.1232,69.8322,37.1232,70.8565,46.1401,29.1435,53.8599,0.0,30.1678,62.8768
Bihar,age_18_21,10,14.3206,11.0077,96.0921,67.4186,82.3984,5.4763,21.3897,74.6927,31.0055,74.6927,31.0055,79.8965,46.6679,20.1035,53.3321,0.0,25.3073,68.9945
Bihar,age_below10,10,94.0001,94.063,0.0,0.0,0.0,17.6098,25.7031,81.8581,73.43,81.8581,73.43,93.0344,88.9851,6.9656,11.0149,0.0,18.1419,26.57
Sikkim,age_10_13,11,72.3229,75.429,0.9896,0.4152,0.7018,82.2006,85.4086,13.7864,10.7652,13.7864,10.7652,21.4239,16.8612,78.5761,83.1388,0.0,86.2136,89.2348
Sikkim,age_14_17,11,31.846,37.3473,21.7019,4.9663,13.631,60.7568,60.1326,23.8963,20.339,23.8963,20.339,19.9019,15.549,80.0981,84.451,0.0,76.1037,79.661
Sikkim,age_18_21,11,22.9862,27.9197,63.396,35.6245,49.9283,29.7568,35.6601,45.9227,25.0379,45.9227,25.0379,27.1817,16.8437,72.8183,83.1563,0.0,54.0773,74.9621
Sikkim,age_below10,11,98.4102,96.8563,0.0,0.0,0.0,64.9886,64.1436,34.7254,34.8619,34.7254,34.8619,80.2201,79.8126,19.7799,20.1874,0.0,65.2746,65.1381
Arunachal Pradesh,age_10_13,12,64.135,63.6029,1.0499,0.5051,0.7722,73.3542,81.9018,24.7649,16.2577,24.7649,16.2577,25.7053,16.5644,74.2947,83.4356,0.0,75.2351,83.7423
Arunachal Pradesh,age_14_17,12,30.6748,19.1489,29.9611,5.6022,15.798,51.8018,65.0558,41.8919,22.3048,41.8919,22.3048,26.5766,12.6394,73.4234,87.3606,0.0,58.1081,77.6952
Arunachal Pradesh,age_18_21,12,13.4328,19.3798,85.6481,36.8932,56.9524,26.8041,30.3797,63.9175,24.0506,63.9175,24.0506,30.9278,18.3544,69.0722,81.6456,0.0,36.0825,75.9494
Arunachal Pradesh,age_below10,12,96.4539,99.359,0.0,0.0,0.0,52.1845,56.9161,47.5728,42.1769,47.5728,42.1769,81.3984,80.5243,18.6016,19.4757,0.0,52.4272,57.8231
Manipur,age_10_13,14,32.7538,36.8,1.2488,0.3604,0.796,88.9503,90.0264,10.5762,9.1802,10.5762,9.1802,16.0221,14.9981,83.9779,85.0019,0.0,89.4238,90.8198
Manipur,age_14_17,14,5.9474,7.878,9.0164,1.9785,5.5259,80.409,81.48,15.8282,11.4097,15.8282,11.4097,11.2883,9.2187,88.7117,90.7813,0.0,84.1718,88.5903
Manipur,age_18_21,14,6.8452,7.7369,42.0627,18.763,30.8324,60.9375,66.1135,29.6875,16.3319,29.6875,16.3319,12.5,9.6943,87.5,90.3057,0.0,70.3125,83.6681
Manipur,age_below10,14,92.2794,93.8282,0.0,0.0,0.0,70.9182,72.4179,28.7997,27.2508,28.7997,27.2508,82.117,80.8497,17.883,19.1503,0.0,71.2003,72.7492
