state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Manipur,age_14_17,14,20.8333,12.7131,4.5195,2.2222,9.083,7.1429,39.2405,21.8433,10.274,4.2553,32.0057,12.5,60.7595,78.1567,89.726,95.7447,67.9943,87.5,31.25,34.1096,50.7559,48.8889,44.3689,50.0
Manipur,age_18_21,14,20.0,8.8619,3.0552,0.0,6.1723,7.1429,53.4884,23.7903,13.1395,6.8966,41.5143,12.5,46.5116,76.2097,86.8605,93.1034,58.4857,87.5,15.0,30.2322,34.5866,0.0,38.6373,21.4286
Mizoram,age_below10,15,91.6745,98.6675,98.0932,85.7143,100.0,100.0,89.1659,75.224,75.4933,69.5652,89.2909,75.8621,10.8341,24.776,24.5067,30.4348,10.7091,24.1379,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,age_10_13,15,81.6154,57.2422,55.54,100.0,61.194,44.4444,54.6473,4.6267,12.7295,60.0,44.856,0.0,45.3527,95.3733,87.2705,40.0,55.144,100.0,0.2411,1.9344,2.3843,0.0,2.2388,0.0
Mizoram,age_14_17,15,45.0457,13.9568,12.6496,66.6667,33.0189,50.0,53.9811,2.9871,12.5561,40.0,43.617,33.3333,46.0189,97.0129,87.4439,60.0,56.383,66.6667,5.4878,33.7541,37.9487,0.0,19.8113,0.0
Mizoram,age_18_21,15,30.5634,13.7686,9.8485,0.0,41.2698,,54.0453,3.0959,17.2414,0.0,25.8824,,45.9547,96.9041,82.7586,100.0,74.1176,,14.0845,33.9909,31.8182,50.0,19.0476,
Tripura,age_below10,16,98.597,97.3243,98.2815,86.6667,98.443,100.0,83.9394,77.0076,75.179,69.3878,78.5173,85.7143,16.0606,22.9924,24.821,30.6122,21.4827,14.2857,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,age_10_13,16,62.4928,48.17,51.535,21.0526,64.5179,50.0,36.5342,23.3624,13.9232,5.0,18.1153,0.0,63.4658,76.6376,86.0768,95.0,81.8847,100.0,2.2029,4.1146,3.4403,0.0,1.5503,16.6667
Tripura,age_14_17,16,27.1615,15.6786,15.7273,10.5263,26.9032,0.0,39.6617,23.417,14.3999,13.6364,23.5809,16.6667,60.3383,76.583,85.6001,86.3636,76.4191,83.3333,26.4114,35.3094,35.6994,36.8421,24.6366,60.0
Tripura,age_18_21,16,24.6407,16.0912,15.7142,0.0,27.0095,0.0,53.7512,27.8791,18.5843,0.0,32.2251,0.0,46.2488,72.1209,81.4157,100.0,67.7749,100.0,25.9754,30.7028,28.3718,50.0,23.3156,0.0
Meghalaya,age_below10,17,96.875,95.3595,94.9274,88.2353,93.7333,96.5517,85.1163,86.0549,81.024,79.5181,89.8717,77.4319,14.8837,13.9451,18.976,20.4819,10.1283,22.5681,0.0,0.0,0.0,0.0,0.0,0.0
Meghalaya,age_10_13,17,47.7419,65.7381,49.3342,31.8182,61.6129,62.2222,31.4159,27.7613,26.0401,38.8889,53.6102,16.6667,68.5841,72.2387,73.9599,61.1111,46.3898,83.3333,10.9677,3.105,7.4971,18.1818,4.6774,1.1111
Meghalaya,age_14_17,17,18.6441,31.2688,17.1531,5.5556,22.9693,15.5963,18.4332,18.9543,23.0634,25.0,46.2561,14.1732,81.5668,81.0457,76.9366,75.0,53.7439,85.8268,30.5085,22.5529,33.7203,27.7778,30.2313,30.2752
Meghalaya,age_18_21,17,6.1224,25.2087,13.6824,22.2222,16.469,13.2075,16.9492,21.7038,27.2089,35.7143,53.0322,30.2632,83.0508,78.2962,72.7911,64.2857,46.9678,69.7368,27.551,22.4949,24.3967,11.1111,23.3202,30.1887
Assam,age_below10,18,95.1747,95.7667,95.4243,95.3206,96.1416,92.8717,77.4653,82.2651,77.3927,68.3662,85.8491,68.3226,22.5347,17.7349,22.6073,31.6338,14.1509,31.6774,0.0,0.0,0.0,0.0,0.0,0.0
Assam,age_10_13,18,40.6904,53.3875,35.3601,21.2911,49.0675,26.0749,20.532,33.8357,21.9154,3.3917,38.8308,8.3863,79.468,66.1643,78.0846,96.6083,61.1692,91.6137,9.0481,4.8881,10.6674,14.3828,6.0585,12.344
Assam,age_14_17,18,12.0631,20.3875,10.4692,1.0381,17.7652,4.3956,19.0324,34.1941,21.209,2.2548,37.1216,7.278,80.9676,65.8059,78.791,97.7452,62.8784,92.722,38.726,31.4718,43.6575,45.7901,37.7533,44.427
Assam,age_18_21,18,10.9541,17.5609,9.7272,1.432,18.097,4.1667,23.9928,39.4083,24.6775,4.3379,45.6267,11.8644,76.0072,60.5917,75.3225,95.6621,54.3733,88.1356,26.1484,27.351,27.8111,9.0692,25.7085,20.1923
West Bengal,age_below10,19,94.571,97.3747,97.8324,96.7343,97.5472,96.2138,73.073,76.425,75.1204,70.1842,79.7435,71.0509,26.927,23.575,24.8796,29.8158,20.2565,28.9491,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,age_10_13,19,49.4106,57.7473,51.6604,35.753,65.1107,39.7248,10.6982,18.8865,17.0721,4.5008,24.0757,7.2458,89.3018,81.1135,82.9279,95.4992,75.9243,92.7542,5.4106,3.305,3.8377,7.9632,2.0212,7.3236
West Bengal,age_14_17,19,15.2183,20.1042,17.625,4.3165,28.1338,6.0947,11.6215,20.7339,19.5998,4.2794,29.1802,7.5423,88.3785,79.2661,80.4002,95.7206,70.8198,92.4577,34.7609,30.0694,32.3609,46.5057,22.4292,42.6629
West Bengal,age_18_21,19,15.2961,17.4074,17.9601,4.3571,28.4252,4.1978,16.2832,28.4894,24.5852,5.332,37.6108,8.766,83.7168,71.5106,75.4148,94.668,62.3892,91.234,26.4167,26.7531,23.3009,12.1148,19.705,21.0821
Jharkhand,age_below10,20,96.6942,95.8711,95.5033,94.7644,92.1617,95.2505,81.1526,80.5841,84.1099,70.4334,84.4428,71.0661,18.8474,19.4159,15.8901,29.5666,15.5572,28.9339,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,age_10_13,20,44.2424,45.3753,45.1373,27.5923,52.5247,32.0972,33.4677,21.858,38.5367,10.1106,37.7392,8.1568,66.5323,78.142,61.4633,89.8894,62.2608,91.8432,7.8788,8.5637,8.7964,13.7083,7.1003,12.7142
Jharkhand,age_14_17,20,9.322,10.5669,11.0627,2.9038,21.2015,3.7355,31.3953,18.8952,38.8451,7.5503,37.5948,7.1801,68.6047,81.1048,61.1549,92.4497,62.4052,92.8199,32.2034,39.9493,36.8536,42.6497,26.5819,41.2231
Jharkhand,age_18_21,20,5.9701,7.0122,8.8444,0.9709,18.6553,2.3179,30.9278,21.2504,48.3557,6.9277,45.4135,8.7062,69.0722,78.7496,51.6443,93.0723,54.5865,91.2938,16.4179,27.7738,20.6236,13.9159,16.0566,14.7682
State - ORISSA  21,age_below10,21,94.9612,96.9976,96.6765,96.2264,95.8203,97.2222,73.2365,82.5932,78.919,69.8435,76.6941,70.1807,26.7635,17.4068,21.081,30.1565,23.3059,29.8193,0.0,0.0,0.0,0.0,0.0,0.0
State - ORISSA  21,age_10_13,21,38.6861,40.2157,34.8714,18.883,36.3115,32.3029,10.0656,33.3109,25.8003,2.8424,19.964,3.7202,89.9344,66.6891,74.1997,97.1576,80.036,96.2798,7.056,7.4661,8.83,15.9574,9.6189,8.6553
State - ORISSA  21,age_14_17,21,11.9632,11.8962,11.6395,1.0582,12.2759,2.2767,13.5279,35.1481,27.9848,2.8278,21.6465,5.7756,86.4721,64.8519,72.0152,97.1722,78.3535,94.2244,33.4356,38.6639,37.3771,40.2116,35.0211,43.0823
State - ORISSA  21,age_18_21,21,9.1503,10.964,12.0987,1.4706,12.4339,2.5974,14.0449,41.6712,31.3956,1.9231,23.32,4.3478,85.9551,58.3288,68.6044,98.0769,76.68,95.6522,17.6471,22.3935,19.2425,8.3333,18.7947,10.7143
Chhattisgarh,age_below10,22,98.4154,98.4716,98.475,98.1329,96.9862,97.9118,71.5367,74.9018,78.3331,70.6166,73.6069,70.6952,28.4633,25.0982,21.6669,29.3834,26.3931,29.3048,0.0,0.0,0.0,0.0,0.0,0.0
Chhattisgarh,age_10_13,22,40.2788,43.7101,53.1511,25.5461,41.3378,33.894,2.6783,7.0172,17.7692,1.1268,6.9167,4.2032,97.3217,92.9828,82.2308,98.8732,93.0833,95.7968,4.4675,3.8913,2.3791,10.7312,5.7195,7.4954
