source_file,Table | Name,State | Code,Distt. | Code,Tehsil | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Divorced/Separated | Persons | 14,Males | 15,Females | 16,Unspecified | Persons | 17,Males | 18,Females | 19
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,20-24,24427,13026,11401,14995,10912,4083,9259,2091,7168,79,9,70,94,14,80,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,25-29,23472,12219,11253,6570,5231,1339,16633,6913,9720,146,39,107,123,36,87,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,30-34,18363,10013,8350,1947,1560,387,16012,8330,7682,251,67,184,153,56,97,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,35-39,18649,9911,8738,897,713,184,17141,9059,8082,450,81,369,161,58,103,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,40-44,13530,7679,5851,416,307,109,12418,7229,5189,551,86,465,145,57,88,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,45-49,12751,7401,5350,299,211,88,11565,6976,4589,783,151,632,104,63,41,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,50-54,8432,5096,3336,154,122,32,7386,4706,2680,800,214,586,92,54,38,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,55-59,6702,4103,2599,110,88,22,5738,3768,1970,804,216,588,50,31,19,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,60-64,4780,2791,1989,83,68,15,3682,2426,1256,949,252,697,66,45,21,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,65-69,3527,2016,1511,57,47,10,2519,1729,790,903,206,697,48,34,14,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,70-74,2298,1288,1010,49,40,9,1422,1046,376,805,189,616,22,13,9,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,75-79,1217,698,519,25,15,10,734,549,185,439,123,316,19,11,8,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,80+,1346,704,642,24,19,5,694,536,158,597,133,464,31,16,15,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Age not stated,1559,805,754,1372,727,645,173,75,98,11,1,10,3,2,1,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Less than 18,87767,45116,42651,87225,44982,42243,490,123,367,43,8,35,9,3,6,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Rural,Less than 21,105230,54538,50692,101455,54043,47412,3661,476,3185,74,13,61,40,6,34,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,All ages,116198,64011,52187,58334,34622,23712,54490,28820,25670,3078,468,2610,296,101,195,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,0-9,19707,10102,9605,19707,10102,9605,0,0,0,0,0,0,0,0,0,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,10-14,11730,6009,5721,11633,5971,5662,82,35,47,12,3,9,3,0,3,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,15-19,12154,6669,5485,11344,6571,4773,795,95,700,7,1,6,8,2,6,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,20-24,13863,7930,5933,9177,6859,2318,4627,1064,3563,40,5,35,19,2,17,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,25-29,13279,7164,6115,4006,3351,655,9160,3796,5364,78,13,65,35,4,31,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,30-34,10236,5898,4338,986,808,178,9073,5047,4026,127,25,102,50,18,32,0,0,0
C-02_Andaman_and_Nicobar_Islands,C0402,35,00,0000,State - ANDAMAN & NICOBAR ISLANDS  35,Urban,35-39,9882,5280,4602,357,269,88,9230,4972,4258,241,23,218,54,16,38,0,0,0
