source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Marital | status | 1,Total population | Persons | 2,Males | 3,Females | 4,Religious communities | Hindu | Persons | 5,Males | 6,Females | 7,Muslim | Persons | 8,Males | 9,Females | 10,Christian | Persons | 11,Males | 12,Females | 13,Sikh | Persons | 14,Males | 15,Females | 16,Buddhist | Persons | 17,Males | 18,Females | 19,Jain | Persons | 20,Males | 21,Females | 22,Other religions and persuasions | Persons | 23,Males | 24,Females | 25
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Never married,7974823,4622649,3352174,6377849,3715994,2661855,1213263,690073,523190,67501,34637,32864,231997,134098,97899,9054,5016,4038,66749,37841,28908,986,549,437
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Married,8161917,4200228,3961689,6793008,3499652,3293356,887054,460288,426766,72170,35559,36611,302394,150970,151424,8654,4378,4276,91895,45795,46100,1092,570,522
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Widowed,601995,145382,456613,502325,122375,379950,52729,11892,40837,5645,1012,4633,32935,8004,24931,643,172,471,7132,1791,5341,96,19,77
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Separated,31256,11922,19334,25278,9894,15384,3394,1016,2378,465,149,316,1773,721,1052,52,22,30,256,100,156,11,3,8
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Divorced,17950,7145,10805,13640,5679,7961,2244,665,1579,312,81,231,1482,610,872,46,18,28,199,78,121,12,7,5
C-03_India,C1003,07,000,State - NCT OF DELHI,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Total,419042,226321,192721,384028,207567,176461,29143,15703,13440,1132,580,552,4080,2105,1975,158,86,72,192,94,98,29,17,12
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Never married,202613,120204,82409,183081,109068,74013,16669,9543,7126,546,303,243,2003,1099,904,86,52,34,73,41,32,17,11,6
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Married,200733,101914,98819,186261,94572,91689,11717,5958,5759,531,262,269,1911,955,956,68,33,35,105,52,53,12,6,6
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Widowed,14790,3785,11005,13872,3548,10324,678,168,510,52,15,37,158,46,112,4,1,3,13,1,12,0,0,0
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Separated,678,302,376,617,272,345,53,26,27,1,0,1,5,4,1,0,0,0,1,0,1,0,0,0
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Divorced,228,116,112,197,107,90,26,8,18,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0
C-03_India,C1003,07,000,State - NCT OF DELHI,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Total,16368899,8761005,7607894,13328072,7146027,6182045,2129541,1148231,981310,144961,70858,74103,566501,292298,274203,18291,9520,8771,166039,85511,80528,2168,1131,1037
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Never married,7772210,4502445,3269765,6194768,3606926,2587842,1196594,680530,516064,66955,34334,32621,229994,132999,96995,8968,4964,4004,66676,37800,28876,969,538,431
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Married,7961184,4098314,3862870,6606747,3405080,3201667,875337,454330,421007,71639,35297,36342,300483,150015,150468,8586,4345,4241,91790,45743,46047,1080,564,516
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Widowed,587205,141597,445608,488453,118827,369626,52051,11724,40327,5593,997,4596,32777,7958,24819,639,171,468,7119,1790,5329,96,19,77
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Separated,30578,11620,18958,24661,9622,15039,3341,990,2351,464,149,315,1768,717,1051,52,22,30,255,100,155,11,3,8
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Divorced,17722,7029,10693,13443,5572,7871,2218,657,1561,310,81,229,1479,609,870,46,18,28,199,78,121,12,7,5
C-03_India,C1003,07,000,State - NCT OF DELHI,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Total,68548437,35550997,32997440,60657103,31485832,29171271,6215377,3193530,3021847,96430,48887,47543,872930,459406,413524,12185,6382,5803,622023,317614,304409,4676,2399,2277
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Never married,32843831,18597017,14246814,28862168,16388138,12474030,3253637,1792610,1461027,45104,24227,20877,391654,226402,165252,6045,3347,2698,245620,139081,106539,2325,1308,1017
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Married,32904412,16228226,16676186,29268521,14440452,14828069,2767895,1354875,1413020,46911,23598,23313,440016,220164,219852,5747,2923,2824,345745,171106,174639,2146,1034,1112
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Widowed,2628454,644820,1983634,2377110,584455,1792655,176760,40672,136088,3977,896,3081,38081,11025,27056,369,101,268,29150,6748,22402,195,54,141
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Separated,131639,64591,67048,118108,59318,58790,9981,3441,6540,261,100,161,2173,1212,961,16,10,6,955,435,520,9,3,6
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Divorced,40101,16343,23758,31196,13469,17727,7104,1932,5172,177,66,111,1006,603,403,8,1,7,553,244,309,1,0,1
C-03_India,C1003,08,000,State - RAJASTHAN,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Total,51500352,26641747,24858605,47362921,24505347,22857574,3161857,1626309,1535548,46177,23643,22534,707227,371222,336005,8091,4202,3889,166322,84649,81673,3407,1731,1676
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Never married,24835016,14025435,10809581,22715863,12847906,9867957,1678908,924998,753910,23074,12388,10686,318976,183883,135093,4135,2283,1852,67756,38537,29219,1739,958,781
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Married,24520540,12043696,12476844,22644624,11123592,11521032,1387707,676710,710997,21367,10766,10601,355004,176702,178302,3691,1844,1847,88959,43941,45018,1528,732,796
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Widowed,2021742,509904,1511838,1889916,475684,1414232,87949,21944,66005,1579,408,1171,30767,9129,21638,256,69,187,9154,1959,7195,134,39,95
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Separated,100279,52353,47926,93091,49160,43931,4878,1882,2996,121,63,58,1737,1018,719,7,5,2,333,160,173,6,2,4
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Divorced,22775,10359,12416,19427,9005,10422,2415,775,1640,36,18,18,743,490,253,2,1,1,120,52,68,0,0,0
C-03_India,C1003,08,000,State - RAJASTHAN,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Total,17048085,8909250,8138835,13294182,6980485,6313697,3053520,1567221,1486299,50253,25244,25009,165703,88184,77519,4094,2180,1914,455701,232965,222736,1269,668,601
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Never married,8008815,4571582,3437233,6146305,3540232,2606073,1574729,867612,707117,22030,11839,10191,72678,42519,30159,1910,1064,846,177864,100544,77320,586,350,236
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Married,8383872,4184530,4199342,6623897,3316860,3307037,1380188,678165,702023,25544,12832,12712,85012,43462,41550,2056,1079,977,256786,127165,129621,618,302,316
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Widowed,606712,134916,471796,487194,108771,378423,88811,18728,70083,2398,488,1910,7314,1896,5418,113,32,81,19996,4789,15207,61,15,46
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Separated,31360,12238,19122,25017,10158,14859,5103,1559,3544,140,37,103,436,194,242,9,5,4,622,275,347,3,1,2
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Divorced,17326,5984,11342,11769,4464,7305,4689,1157,3532,141,48,93,263,113,150,6,0,6,433,192,241,1,0,1
C-03_India,C1003,08,000,State - RAJASTHAN,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Total,199812341,104480510,95331831,159312654,83555724,75756930,38483967,19867314,18616653,356448,182838,173610,643500,341451,302049,206285,107424,98861,213267,110994,102273,13598,7070,6528
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Never married,105471588,59353192,46118396,81850695,46373581,35477114,22581576,12379738,10201838,182928,100112,82816,289177,169535,119642,109484,60876,48608,93735,53746,39989,7014,3948,3066
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Married,86450758,42265528,44185230,70836873,34687991,36148882,14722420,7148380,7574040,156280,77207,79073,323323,161918,161405,88400,43084,45316,109972,54410,55562,5987,2908,3079
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Widowed,7539857,2683669,4856188,6352464,2342699,4009765,1106697,314587,792110,16262,5138,11124,29565,9249,20316,7962,3192,4770,9122,2657,6465,570,201,369
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Separated,248385,133187,115198,207066,117140,89926,38525,14639,23886,622,262,360,927,490,437,317,208,109,244,99,145,21,11,10
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Divorced,101753,44934,56819,65556,34313,31243,34749,9970,24779,356,119,237,508,259,249,122,64,58,194,82,112,6,2,4
C-03_India,C1003,09,000,State - UTTAR PRADESH,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Total,155317278,80992995,74324283,129944550,67946465,61998085,24156057,12407505,11748552,185103,95851,89252,432135,228192,203943,176227,91273,84954,30144,15852,14292,9517,4906,4611
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Never married,82168438,46077005,36091433,67375076,37991864,29383212,14139320,7708541,6430779,99433,54742,44691,200209,116519,83690,93813,51779,42034,15903,9008,6895,5207,2875,2332
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Married,66938792,32553832,34384960,57126670,27829960,29296710,9299437,4479600,4819837,77415,38102,39313,211981,104924,107057,75125,36418,38707,12986,6406,6580,3918,1883,2035
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Widowed,5948921,2219000,3729921,5226629,1998048,3228581,674510,204013,470497,7909,2853,5056,19167,6279,12888,6930,2843,4087,1202,413,789,372,139,233
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Separated,191942,109730,82212,167519,99524,67995,22863,9305,13558,229,112,117,547,332,215,274,183,91,37,15,22,17,8,9
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Divorced,69185,33428,35757,48656,27069,21587,19927,6046,13881,117,42,75,231,138,93,85,50,35,16,10,6,3,1,2
C-03_India,C1003,09,000,State - UTTAR PRADESH,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Total,44495063,23487515,21007548,29368104,15609259,13758845,14327910,7459809,6868101,171345,86987,84358,211365,113259,98106,30058,16151,13907,183123,95142,87981,4081,2164,1917
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Never married,23303150,13276187,10026963,14475619,8381717,6093902,8442256,4671197,3771059,83495,45370,38125,88968,53016,35952,15671,9097,6574,77832,44738,33094,1807,1073,734
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Married,19511966,9711696,9800270,13710203,6858031,6852172,5422983,2668780,2754203,78865,39105,39760,111342,56994,54348,13275,6666,6609,96986,48004,48982,2069,1025,1044
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Widowed,1590936,464669,1126267,1125835,344651,781184,432187,110574,321613,8353,2285,6068,10398,2970,7428,1032,349,683,7920,2244,5676,198,62,136
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Separated,56443,23457,32986,39547,17616,21931,15662,5334,10328,393,150,243,380,158,222,43,25,18,207,84,123,4,3,1
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Divorced,32568,11506,21062,16900,7244,9656,14822,3924,10898,239,77,162,277,121,156,37,14,23,178,72,106,3,1,2
C-03_India,C1003,09,000,State - UTTAR PRADESH,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,10,000,State - BIHAR,Total,Total,104099452,54278157,49821295,86078686,44994505,41084181,17557809,9044086,8513723,129247,66115,63132,23779,12457,11322,25453,13490,11963,18914,9743,9171,13437,6833,6604
C-03_India,C1003,10,000,State - BIHAR,Total,Never married,54402082,30463744,23938338,44036978,24779892,19257086,10091800,5528097,4563703,67727,36671,31056,11378,6506,4872,13117,7427,5690,9229,5177,4052,6931,3755,3176
C-03_India,C1003,10,000,State - BIHAR,Total,Married,46302047,22716906,23585141,39154351,19235590,19918761,6973140,3402175,3570965,56173,27983,28190,11317,5614,5703,11504,5752,5752,8926,4337,4589,5981,2924,3057
C-03_India,C1003,10,000,State - BIHAR,Total,Widowed,3297891,1059098,2238793,2814579,946345,1868234,468883,108353,360530,5119,1391,3728,1015,301,714,785,295,490,737,220,517,501,146,355
C-03_India,C1003,10,000,State - BIHAR,Total,Separated,75805,31542,44263,60910,27482,33428,14406,3848,10558,170,54,116,50,31,19,28,8,20,19,7,12,17,8,9
C-03_India,C1003,10,000,State - BIHAR,Total,Divorced,21627,6867,14760,11868,5196,6672,9580,1613,7967,58,16,42,19,5,14,19,8,11,3,2,1,7,0,7
C-03_India,C1003,10,000,State - BIHAR,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,10,000,State - BIHAR,Rural,Total,92341436,48073850,44267586,76780126,40066887,36713239,15196308,7817335,7378973,97608,50483,47125,12018,6255,5763,23555,12398,11157,7575,3950,3625,12374,6291,6083
C-03_India,C1003,10,000,State - BIHAR,Rural,Never married,48276598,26967206,21309392,39344139,22076522,17267617,8712220,4764657,3947563,51400,28236,23164,6014,3408,2606,12107,6812,5295,4446,2479,1967,6374,3443,2931
C-03_India,C1003,10,000,State - BIHAR,Rural,Married,41082859,20125088,20957771,34883996,17109567,17774429,6065547,2955570,3109977,42278,21125,21153,5511,2699,2812,10672,5296,5376,2901,1396,1505,5522,2700,2822
C-03_India,C1003,10,000,State - BIHAR,Rural,Widowed,2899297,948392,1950905,2489812,852290,1637522,398522,92652,305870,3770,1073,2697,458,124,334,735,275,460,223,74,149,456,140,316
C-03_India,C1003,10,000,State - BIHAR,Rural,Separated,64380,27366,37014,52208,24059,28149,11817,3150,8667,118,39,79,26,20,6,25,7,18,5,1,4,16,8,8
C-03_India,C1003,10,000,State - BIHAR,Rural,Divorced,18302,5798,12504,9971,4449,5522,8202,1306,6896,42,10,32,9,4,5,16,8,8,0,0,0,6,0,6
C-03_India,C1003,10,000,State - BIHAR,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,10,000,State - BIHAR,Urban,Total,11758016,6204307,5553709,9298560,4927618,4370942,2361501,1226751,1134750,31639,15632,16007,11761,6202,5559,1898,1092,806,11339,5793,5546,1063,542,521
C-03_India,C1003,10,000,State - BIHAR,Urban,Never married,6125484,3496538,2628946,4692839,2703370,1989469,1379580,763440,616140,16327,8435,7892,5364,3098,2266,1010,615,395,4783,2698,2085,557,312,245
C-03_India,C1003,10,000,State - BIHAR,Urban,Married,5219188,2591818,2627370,4270355,2126023,2144332,907593,446605,460988,13895,6858,7037,5806,2915,2891,832,456,376,6025,2941,3084,459,224,235
C-03_India,C1003,10,000,State - BIHAR,Urban,Widowed,398594,110706,287888,324767,94055,230712,70361,15701,54660,1349,318,1031,557,177,380,50,20,30,514,146,368,45,6,39
C-03_India,C1003,10,000,State - BIHAR,Urban,Separated,11425,4176,7249,8702,3423,5279,2589,698,1891,52,15,37,24,11,13,3,1,2,14,6,8,1,0,1
C-03_India,C1003,10,000,State - BIHAR,Urban,Divorced,3325,1069,2256,1897,747,1150,1378,307,1071,16,6,10,10,1,9,3,0,3,3,2,1,1,0,1
C-03_India,C1003,10,000,State - BIHAR,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,11,000,State - SIKKIM,Total,Total,610577,323070,287507,352662,189972,162690,9867,6536,3331,60522,30290,30232,1868,1592,276,167216,85302,81914,314,181,133,16300,8323,7977
C-03_India,C1003,11,000,State - SIKKIM,Total,Never married,305986,168021,137965,173479,96443,77036,5145,3415,1730,30376,15846,14530,478,383,95,86567,46611,39956,150,94,56,8582,4545,4037
C-03_India,C1003,11,000,State - SIKKIM,Total,Married,278114,145422,132692,165025,88353,76672,4569,3055,1514,27313,13564,13749,1369,1197,172,72241,35612,36629,150,83,67,6874,3382,3492
C-03_India,C1003,11,000,State - SIKKIM,Total,Widowed,20327,6610,13717,10651,3414,7237,112,41,71,2065,553,1512,11,3,8,6776,2291,4485,12,3,9,664,295,369
C-03_India,C1003,11,000,State - SIKKIM,Total,Separated,4580,2123,2457,2686,1282,1404,30,20,10,567,220,347,8,8,0,1138,512,626,2,1,1,142,77,65
C-03_India,C1003,11,000,State - SIKKIM,Total,Divorced,1570,894,676,821,480,341,11,5,6,201,107,94,2,1,1,494,276,218,0,0,0,38,24,14
C-03_India,C1003,11,000,State - SIKKIM,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,11,000,State - SIKKIM,Rural,Total,456999,242797,214202,258280,139660,118620,3658,2683,975,45678,23103,22575,1672,1477,195,130174,66943,63231,139,86,53,15765,8070,7695
C-03_India,C1003,11,000,State - SIKKIM,Rural,Never married,231048,127477,103571,128274,71704,56570,1798,1305,493,23340,12294,11046,411,348,63,67764,36747,31017,68,44,24,8310,4418,3892
C-03_India,C1003,11,000,State - SIKKIM,Rural,Married,205212,107243,97969,119060,63720,55340,1803,1347,456,20185,10068,10117,1243,1118,125,55717,27541,28176,64,38,26,6631,3265,3366
C-03_India,C1003,11,000,State - SIKKIM,Rural,Widowed,15836,5586,10250,8166,2805,5361,41,19,22,1545,459,1086,8,2,6,5387,1998,3389,5,3,2,650,290,360
C-03_India,C1003,11,000,State - SIKKIM,Rural,Separated,3698,1756,1942,2163,1051,1112,13,10,3,447,190,257,8,8,0,923,420,503,2,1,1,137,74,63
C-03_India,C1003,11,000,State - SIKKIM,Rural,Divorced,1205,735,470,617,380,237,3,2,1,161,92,69,2,1,1,383,237,146,0,0,0,37,23,14
C-03_India,C1003,11,000,State - SIKKIM,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,11,000,State - SIKKIM,Urban,Total,153578,80273,73305,94382,50312,44070,6209,3853,2356,14844,7187,7657,196,115,81,37042,18359,18683,175,95,80,535,253,282
C-03_India,C1003,11,000,State - SIKKIM,Urban,Never married,74938,40544,34394,45205,24739,20466,3347,2110,1237,7036,3552,3484,67,35,32,18803,9864,8939,82,50,32,272,127,145
C-03_India,C1003,11,000,State - SIKKIM,Urban,Married,72902,38179,34723,45965,24633,21332,2766,1708,1058,7128,3496,3632,126,79,47,16524,8071,8453,86,45,41,243,117,126
C-03_India,C1003,11,000,State - SIKKIM,Urban,Widowed,4491,1024,3467,2485,609,1876,71,22,49,520,94,426,3,1,2,1389,293,1096,7,0,7,14,5,9
C-03_India,C1003,11,000,State - SIKKIM,Urban,Separated,882,367,515,523,231,292,17,10,7,120,30,90,0,0,0,215,92,123,0,0,0,5,3,2
C-03_India,C1003,11,000,State - SIKKIM,Urban,Divorced,365,159,206,204,100,104,8,3,5,40,15,25,0,0,0,111,39,72,0,0,0,1,1,0
C-03_India,C1003,11,000,State - SIKKIM,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Total,1383727,713912,669815,401876,225172,176704,27045,15553,11492,418732,205796,212936,3287,2800,487,162815,80988,81827,771,371,400,362553,180044,182509
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Never married,765934,410829,355105,204711,116726,87985,13735,8240,5495,245570,127340,118230,908,679,229,88989,46529,42460,402,205,197,206648,108482,98166
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Married,569238,290314,278924,185236,104633,80603,12825,7166,5659,158377,75270,83107,2341,2107,234,66854,32433,34421,346,162,184,141722,68025,73697
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Widowed,41619,9832,31787,9933,2683,7250,366,76,290,12993,2619,10374,28,8,20,5925,1627,4298,22,4,18,12239,2786,9453
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Separated,5097,2287,2810,1598,962,636,99,66,33,1359,445,914,9,6,3,657,276,381,0,0,0,1357,523,834
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Divorced,1839,650,1189,398,168,230,20,5,15,433,122,311,1,0,1,390,123,267,1,0,1,587,228,359
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Total,1066358,546011,520347,256727,142358,114369,12488,7215,5273,349180,172208,176972,1587,1318,269,143726,71613,72113,561,268,293,297021,148506,148515
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Never married,595506,319912,275594,134853,76843,58010,6508,3905,2603,203476,106318,97158,506,382,124,78656,41272,37384,300,152,148,167379,88957,78422
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Married,430209,215137,215072,113544,62701,50843,5734,3238,2496,132672,62986,69686,1062,928,134,58775,28473,30302,243,113,130,117058,56295,60763
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Widowed,35261,8707,26554,7004,2076,4928,192,45,147,11549,2429,9120,11,4,7,5403,1516,3887,18,3,15,10988,2607,8381
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Separated,3936,1702,2234,1062,611,451,44,25,19,1132,369,763,7,4,3,569,241,328,0,0,0,1107,444,663
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Divorced,1446,553,893,264,127,137,10,2,8,351,106,245,1,0,1,323,111,212,0,0,0,489,203,286
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Total,317369,167901,149468,145149,82814,62335,14557,8338,6219,69552,33588,35964,1700,1482,218,19089,9375,9714,210,103,107,65532,31538,33994
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Never married,170428,90917,79511,69858,39883,29975,7227,4335,2892,42094,21022,21072,402,297,105,10333,5257,5076,102,53,49,39269,19525,19744
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Married,139029,75177,63852,71692,41932,29760,7091,3928,3163,25705,12284,13421,1279,1179,100,8079,3960,4119,103,49,54,24664,11730,12934
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Widowed,6358,1125,5233,2929,607,2322,174,31,143,1444,190,1254,17,4,13,522,111,411,4,1,3,1251,179,1072
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Separated,1161,585,576,536,351,185,55,41,14,227,76,151,2,2,0,88,35,53,0,0,0,250,79,171
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Divorced,393,97,296,134,41,93,10,3,7,82,16,66,0,0,0,67,12,55,1,0,1,98,25,73
C-03_India,C1003,12,000,State - ARUNACHAL PRADESH,Urban,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,13,000,State - NAGALAND,Total,Total,1978502,1024649,953853,173054,104851,68203,48963,28527,20436,1739651,881927,857724,1890,1531,359,6759,3513,3246,2655,1373,1282,3214,1620,1594
C-03_India,C1003,13,000,State - NAGALAND,Total,Never married,1192160,639157,553003,82670,49988,32682,27981,16964,11017,1071597,566740,504857,559,407,152,4726,2510,2216,1228,676,552,1834,976,858
C-03_India,C1003,13,000,State - NAGALAND,Total,Married,720923,368633,352290,85630,53263,32367,20006,11272,8734,608915,300386,308529,1286,1089,197,1858,961,897,1362,688,674,1174,588,586
C-03_India,C1003,13,000,State - NAGALAND,Total,Widowed,50404,10908,39496,3593,799,2794,627,104,523,45768,9908,35860,12,3,9,140,31,109,64,8,56,154,36,118
C-03_India,C1003,13,000,State - NAGALAND,Total,Separated,8694,3780,4914,922,704,218,247,165,82,7437,2855,4582,33,32,1,19,7,12,1,1,0,29,13,16
C-03_India,C1003,13,000,State - NAGALAND,Total,Divorced,6321,2171,4150,239,97,142,102,22,80,5934,2038,3896,0,0,0,16,4,12,0,0,0,23,7,16
C-03_India,C1003,13,000,State - NAGALAND,Total,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,13,000,State - NAGALAND,Rural,Total,1407536,725472,682064,62934,38453,24481,23007,12723,10284,1310838,668171,642667,1116,999,117,4478,2385,2093,421,230,191,2997,1514,1483
C-03_India,C1003,13,000,State - NAGALAND,Rural,Never married,855567,458725,396842,31804,19252,12552,13594,7795,5799,803349,427878,375471,283,226,57,3365,1824,1541,261,148,113,1704,905,799
C-03_India,C1003,13,000,State - NAGALAND,Rural,Married,504056,253725,250331,29542,18599,10943,8959,4818,4141,461989,228110,233879,805,747,58,1003,530,473,151,80,71,1111,556,555
C-03_India,C1003,13,000,State - NAGALAND,Rural,Widowed,37382,8898,28484,1185,351,834,316,55,261,35607,8414,27193,2,1,1,94,27,67,9,2,7,133,35,98
C-03_India,C1003,13,000,State - NAGALAND,Rural,Separated,6003,2513,3490,298,200,98,86,46,40,5558,2227,3331,26,25,1,6,3,3,0,0,0,27,12,15
C-03_India,C1003,13,000,State - NAGALAND,Rural,Divorced,4528,1611,2917,105,51,54,52,9,43,4335,1542,2793,0,0,0,10,1,9,0,0,0,22,6,16
C-03_India,C1003,13,000,State - NAGALAND,Rural,Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-03_India,C1003,13,000,State - NAGALAND,Urban,Total,570966,299177,271789,110120,66398,43722,25956,15804,10152,428813,213756,215057,774,532,242,2281,1128,1153,2234,1143,1091,217,106,111
C-03_India,C1003,13,000,State - NAGALAND,Urban,Never married,336593,180432,156161,50866,30736,20130,14387,9169,5218,268248,138862,129386,276,181,95,1361,686,675,967,528,439,130,71,59
C-03_India,C1003,13,000,State - NAGALAND,Urban,Married,216867,114908,101959,56088,34664,21424,11047,6454,4593,146926,72276,74650,481,342,139,855,431,424,1211,608,603,63,32,31
C-03_India,C1003,13,000,State - NAGALAND,Urban,Widowed,13022,2010,11012,2408,448,1960,311,49,262,10161,1494,8667,10,2,8,46,4,42,55,6,49,21,1,20
