source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Religion,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,Not stated,47630,38369,44446,32541,0,0,0,0,0,0,0,0,0,0,0,0,44446,32541
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,All ages,1721103,1830559,1625749,1647859,189212,196360,219467,226278,414150,425723,355667,357370,201275,198348,147193,138616,98785,105164
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,Less than 10,23943,26069,23113,24325,6,18,49,71,1150,3101,7526,8882,6151,5837,8218,6406,13,10
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,10-11,4164,11158,3915,10340,27,54,88,329,781,2503,1315,3333,885,2132,815,1986,4,3
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,12-13,2973,13923,2780,12705,105,253,136,697,685,3370,977,3826,499,2436,375,2118,3,5
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,14-15,12421,63729,11206,57178,615,2078,806,4328,2898,14749,3274,15267,1914,10665,1695,10075,4,16
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,16-17,36993,155335,34325,142961,3291,13262,4114,17806,10153,41839,8933,36183,4367,19569,3453,14257,14,45
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,18-19,137112,394346,128060,364126,14052,39889,16300,48491,36944,104396,31591,89078,15893,47693,13245,34456,35,123
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,20-21,326533,403147,303755,355708,27276,35510,36999,47828,83861,99001,76925,87694,40937,48483,37648,37065,109,127
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,22-23,266468,223917,256205,206530,30580,31155,35821,35108,75334,59172,63288,45992,30674,22374,20404,12664,104,65
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,24-25,292720,177205,277545,157887,29453,25164,37849,27613,75673,43574,65568,31393,39654,19082,29264,11012,84,49
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,26-27,144969,86186,140911,81030,24399,19460,24044,16432,40460,21970,28583,13391,15582,6822,7803,2932,40,23
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,28-29,118909,64063,115340,59677,20700,13880,20581,12800,30707,15152,21754,9561,14042,5784,7537,2489,19,11
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,30-31,122443,43928,116238,37700,15244,7568,20759,8332,28551,9042,22807,6332,17362,4331,11475,2076,40,19
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,32-33,45770,16072,44599,14972,10289,4136,9548,3435,11024,3360,7889,2333,4338,1296,1502,409,9,3
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,34 +,72966,21785,69468,18059,13175,3933,12373,3008,15929,4494,15237,4105,8977,1844,3759,671,18,4
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,Not stated,112719,129696,98289,104661,0,0,0,0,0,0,0,0,0,0,0,0,98289,104661
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,All ages,11291,7238,10869,6257,2118,952,2003,951,3090,1704,1780,1251,741,635,463,381,674,383
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,Less than 10,145,94,140,81,0,0,0,0,3,12,59,27,46,17,32,25,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,10-11,17,41,16,31,0,0,0,1,4,5,4,11,3,6,5,8,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,12-13,11,66,8,48,0,2,0,2,1,15,2,8,3,13,2,8,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,14-15,34,351,28,282,2,6,1,21,6,69,14,93,2,49,3,43,0,1
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,16-17,163,712,146,608,12,59,13,79,50,201,38,150,21,73,12,46,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,18-19,577,1661,546,1493,61,211,74,247,165,436,139,347,61,152,46,100,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,20-21,1669,1564,1563,1306,186,201,291,218,487,370,352,278,137,153,107,86,3,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,22-23,1845,921,1801,833,356,193,373,145,557,251,323,137,118,79,71,28,3,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,24-25,2190,616,2123,541,432,120,408,97,660,153,389,104,157,44,77,23,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,26-27,1563,309,1546,284,427,70,362,67,488,85,175,45,63,12,29,5,2,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,28-29,1090,198,1077,176,316,42,219,32,344,60,120,21,52,15,26,6,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,30-31,710,117,686,102,177,26,141,22,190,24,87,13,51,15,38,2,2,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,32-33,264,45,261,41,76,16,65,9,72,8,31,5,12,3,5,0,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,34 +,273,64,264,49,73,6,56,11,63,15,47,12,15,4,10,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Christian,Not stated,740,479,664,382,0,0,0,0,0,0,0,0,0,0,0,0,664,382
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,All ages,72313,63865,69637,56571,9911,6343,10864,7089,17335,13757,13722,12646,7371,7190,6933,6725,3501,2821
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,Less than 10,798,738,779,679,0,0,0,0,12,66,259,201,185,152,322,260,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,10-11,56,229,55,194,0,1,0,1,9,32,24,35,13,32,9,93,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,12-13,89,443,82,329,1,1,0,3,14,30,40,57,17,50,10,188,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,14-15,170,1977,138,1461,1,10,4,41,23,165,41,224,21,278,48,743,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,16-17,377,4807,316,3936,3,163,12,286,57,827,78,935,51,725,115,997,0,3
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,18-19,1994,13112,1749,11588,81,946,170,1305,435,2939,369,2856,233,1761,459,1779,2,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,20-21,7513,14686,6925,12922,510,1264,964,1632,1778,3282,1445,3340,864,1886,1363,1513,1,5
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,22-23,11292,9367,10948,8657,1563,1309,2128,1313,2827,2402,2144,2140,1092,984,1184,507,10,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,24-25,15784,7081,15292,6452,2531,1086,2555,1068,3783,1813,3093,1417,1697,690,1628,377,5,1
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,26-27,10004,3607,9823,3403,1821,702,1573,637,2654,1001,2046,670,1059,274,662,117,8,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,28-29,7739,2179,7605,2054,1200,427,1163,381,2179,589,1707,407,853,180,499,70,4,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,30-31,6417,1313,6251,1178,899,220,1029,229,1803,353,1360,205,763,110,397,61,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,32-33,3006,457,2956,427,585,100,619,98,863,114,550,74,245,32,94,8,0,1
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,34 +,3337,564,3249,486,716,114,647,95,898,144,566,85,278,36,143,12,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Sikh,Not stated,3737,3305,3469,2805,0,0,0,0,0,0,0,0,0,0,0,0,3469,2805
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,All ages,25439,27877,23614,24387,2442,2600,3046,3206,5527,5880,5050,5292,3094,3073,2676,2628,1779,1708
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,Less than 10,427,548,407,513,0,0,4,1,39,85,157,235,82,74,125,118,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,10-11,127,195,118,173,1,1,3,4,19,46,49,69,22,23,24,30,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,12-13,160,222,148,192,0,3,3,5,28,39,56,60,27,30,34,55,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,14-15,292,572,268,506,8,14,20,39,62,113,68,139,49,83,60,118,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,16-17,727,1505,655,1312,30,72,54,120,149,317,191,353,110,221,121,225,0,4
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,18-19,2408,4344,2174,3839,103,306,228,501,526,989,557,907,360,609,399,525,1,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,20-21,4232,5511,3851,4753,241,413,496,672,1000,1245,902,1144,584,706,628,571,0,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,22-23,3838,3888,3634,3518,404,419,598,591,964,996,813,766,461,390,391,354,3,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,24-25,3878,3564,3607,3149,442,437,571,482,968,898,745,627,501,402,379,301,1,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,26-27,2321,1900,2219,1707,381,349,355,290,621,462,430,313,259,171,173,120,0,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,28-29,1669,1250,1592,1121,283,266,300,203,423,254,288,213,179,109,118,76,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,30-31,1483,979,1392,816,221,154,185,156,331,176,322,163,213,96,120,71,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,32-33,652,451,634,404,145,84,105,66,143,81,129,79,71,66,40,28,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,34 +,1231,840,1145,690,183,82,124,76,254,179,343,224,176,93,64,36,1,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Buddhist,Not stated,1994,2108,1770,1694,0,0,0,0,0,0,0,0,0,0,0,0,1770,1694
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,All ages,742,761,717,667,88,63,95,84,167,144,152,150,98,105,78,78,39,43
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,Less than 10,12,3,12,3,0,0,0,0,0,0,3,0,3,2,6,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,10-11,1,3,1,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,12-13,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,14-15,0,8,0,7,0,0,0,0,0,0,0,1,0,3,0,3,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,16-17,3,26,3,15,0,2,0,2,0,2,1,1,0,1,2,7,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,18-19,10,109,9,89,1,5,1,10,2,12,1,27,1,13,3,22,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,20-21,52,247,49,217,3,13,7,28,11,54,11,59,8,34,9,29,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,22-23,117,184,114,169,13,10,10,22,29,50,25,45,13,33,24,9,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,24-25,211,79,202,72,28,23,30,16,51,17,47,3,30,12,16,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,26-27,157,28,155,24,22,5,22,1,42,4,36,11,25,2,8,1,0,0
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Jain,28-29,69,15,67,14,8,2,14,4,19,3,11,1,10,3,5,1,0,0
