source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,30-31,5449,860,5239,738,955,195,810,129,1466,207,1033,119,616,67,357,21,2,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,32-33,2509,409,2442,371,545,125,410,66,713,108,459,49,215,20,100,3,0,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,34 +,3620,530,3465,457,658,162,526,102,943,102,734,61,415,20,188,9,1,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Not stated,2120,2189,1959,1742,0,0,0,0,0,0,0,0,0,0,0,0,1959,1742
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,All ages,39405,40321,38423,35591,6067,5532,5876,5478,10907,10368,8331,7586,3910,3584,1853,1687,1479,1356
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Less than 10,264,414,256,366,0,0,1,0,6,68,90,110,84,106,75,81,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,10-11,36,181,34,143,0,1,0,4,0,31,13,34,8,39,13,33,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,12-13,39,771,35,552,0,4,0,23,5,105,10,193,13,143,7,83,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,14-15,129,2845,108,2208,0,53,2,139,19,583,38,702,23,424,25,307,1,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,16-17,429,5398,395,4499,11,384,34,553,98,1363,102,1219,83,649,67,327,0,4
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,18-19,1592,9585,1513,8541,87,1171,163,1340,408,2750,403,1961,266,898,186,410,0,11
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,20-21,4296,7261,4099,6517,344,1070,546,1186,1185,1980,1119,1374,517,632,385,267,3,8
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,22-23,5102,4545,4963,4258,718,947,771,851,1468,1309,1219,785,536,287,249,78,2,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,24-25,7411,3554,7246,3298,1075,815,1125,601,2161,986,1683,600,856,233,338,57,8,6
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,26-27,5897,1976,5831,1876,1193,492,1007,374,1795,589,1202,308,495,90,135,19,4,4
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,28-29,5182,1119,5111,1054,1095,284,952,220,1576,316,939,177,413,45,133,12,3,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,30-31,3727,560,3661,504,715,157,614,99,1086,154,770,70,340,17,134,7,2,0
