source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total | Persons | 2,Males | 3,Females | 4,Marital status | Persons | 5,Never married | Males | 6,Females | 7,Currently Married | Persons | 8,Males | 9,Females | 10,Widowed | Persons | 11,Males | 12,Females | 13,Separated | Persons | 14,Males | 15,Females | 16,Divorced | Persons | 17,Males | 18,Females | 19,Unspecified | Persons | 20,Males | 21,Females | 22
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,23,180424,94592,85832,70389,54697,15692,107242,39511,67731,1331,182,1149,1193,169,1024,269,33,236,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,24,186644,93922,92722,55974,44316,11658,127051,49094,77957,1858,242,1616,1429,200,1229,332,70,262,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,25,319730,154735,164995,62560,50570,11990,248326,102925,145401,4756,562,4194,3340,551,2789,748,127,621,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,26,179661,90523,89138,31299,25033,6266,143345,64778,78567,2852,343,2509,1799,308,1491,366,61,305,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,27,144099,74571,69528,20055,16191,3864,119676,57767,61909,2493,300,2193,1533,253,1280,342,60,282,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,28,202253,96909,105344,18964,15302,3662,176316,80631,95685,4229,477,3752,2306,417,1889,438,82,356,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Rural,29,133305,65437,67868,10931,8657,2274,117298,56122,61176,3254,354,2900,1494,240,1254,328,64,264,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,15,64888,32019,32869,62000,31396,30604,2720,581,2139,128,23,105,31,17,14,9,2,7,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,16,61056,30288,30768,57830,29510,28320,3089,748,2341,96,21,75,36,8,28,5,1,4,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,17,59155,29812,29343,54830,29066,25764,4200,718,3482,73,15,58,46,12,34,6,1,5,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,18,72577,34942,37635,62303,33670,28633,10076,1223,8853,101,21,80,81,25,56,16,3,13,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,19,63318,29834,33484,50124,28295,21829,12923,1489,11434,145,27,118,100,19,81,26,4,22,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,20,83681,37944,45737,54472,33154,21318,28595,4699,23896,344,52,292,241,33,208,29,6,23,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,21,59021,28099,30922,37748,23263,14485,20838,4764,16074,241,35,206,153,29,124,41,8,33,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,22,66459,31220,35239,36229,23277,12952,29576,7868,21708,381,46,335,231,22,209,42,7,35,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,23,59684,28984,30700,30127,19827,10300,28836,9031,19805,401,60,341,278,60,218,42,6,36,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,24,63285,29971,33314,26904,18008,8896,35508,11823,23685,536,81,455,287,50,237,50,9,41,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,25,88306,40898,47408,26165,18158,8007,60275,22480,37795,1186,140,1046,561,99,462,119,21,98,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,26,60719,29648,31071,17829,12363,5466,41661,17090,24571,774,104,670,389,77,312,66,14,52,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,27,52348,26246,26102,12880,9238,3642,38298,16843,21455,758,89,669,348,63,285,64,13,51,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,28,64397,30922,33475,11830,8532,3298,50871,22194,28677,1118,95,1023,473,80,393,105,21,84,0,0,0
C-02_Appendix_(SC)_Andhra_Pradesh,C0802SCA,28,000,State - ANDHRA PRADESH,Urban,29,48538,24167,24371,7895,5727,2168,39174,18231,20943,1002,111,891,382,80,302,85,18,67,0,0,0
C-02_Appendix_(SC)_Assam,C0802SCA,18,000,State - ASSAM,Total,15,49859,25493,24366,47679,24949,22730,2019,500,1519,136,35,101,18,6,12,7,3,4,0,0,0
