source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,22-23,976,1025,905,890,123,139,107,141,275,275,233,190,117,102,50,43,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,24-25,1218,803,1101,652,112,90,160,134,323,180,274,143,162,73,70,32,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,26-27,689,446,653,383,109,84,106,74,186,108,149,76,66,26,36,15,1,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,28-29,615,351,588,295,92,68,100,60,171,69,124,56,68,25,33,17,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,30-31,549,267,500,216,75,47,61,35,144,58,119,44,60,25,41,7,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,32-33,238,129,228,109,49,23,37,18,61,38,54,20,19,9,8,1,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,34 +,567,177,527,146,105,48,83,28,136,35,118,24,59,7,26,4,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Not stated,338,441,296,339,0,0,0,0,0,0,0,0,0,0,0,0,296,339
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,All ages,360,391,351,374,47,50,59,54,110,121,87,82,36,28,4,10,8,29
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Urban,Less than 10,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
