state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
Nagaland,age_10_13,13,38.7511,0.2845,0.1432,0.1161,0.2351,0.1779,0.1904,0.1976,0.193,0.1379,0.2526,0.2119,0.1844,0.0,12.9387,87.0613
Nagaland,age_14_17,13,8.4785,2.2369,1.7086,1.4183,2.057,1.5742,1.6448,1.5225,1.8896,1.2803,1.8153,1.8381,1.613,0.0,9.8433,90.1567
Nagaland,age_18_21,13,7.2463,20.2612,17.3984,17.9481,17.2495,17.094,17.731,16.8421,19.0047,9.4996,17.4274,19.1121,17.0185,0.0,10.9861,89.0139
Nagaland,age_22_25,13,6.7249,29.4931,29.5115,30.1583,29.3271,27.3178,30.8065,31.7045,32.0392,18.6879,31.4858,30.6215,29.5897,8.9915,11.569,88.431
Nagaland,age_26_29,13,6.3619,18.451,20.1451,21.1233,20.9521,19.4702,21.9401,22.4126,21.3404,16.4138,22.8626,20.6784,21.3278,16.423,12.142,87.858
Nagaland,age_30_33,13,6.6439,12.1153,14.0691,13.7114,15.1043,14.7895,13.7337,12.7991,12.059,15.763,13.8004,12.6319,13.8402,15.1583,13.4161,86.5839
Nagaland,age_34_plus,13,11.3248,9.2837,10.769,9.9804,9.1096,12.9879,8.6067,6.6231,6.5883,12.9655,7.3168,7.916,8.9346,10.1074,24.3683,75.6317
Nagaland,age_below10,13,93.1072,0.7629,0.6639,0.7757,0.764,0.7439,0.7597,0.7042,0.7186,0.5977,0.7448,0.7954,0.7445,0.0,76.5259,23.4741
Manipur,age_10_13,14,31.8379,0.139,0.1954,0.223,0.5995,0.263,0.2103,0.2131,0.1806,0.2031,0.186,0.2057,0.216,0.0,12.7022,87.2978
Manipur,age_14_17,14,3.9967,1.8657,2.0843,1.8257,1.9257,2.2222,1.6932,1.5497,2.0134,1.8675,1.5437,2.1951,1.7275,0.0,8.2877,91.7123
Manipur,age_18_21,14,2.5052,20.6885,21.464,20.0166,17.2677,20.6149,17.977,16.981,21.1081,15.5692,15.8685,22.2166,17.7725,0.0,9.9618,90.0382
Manipur,age_22_25,14,2.1692,31.53,30.718,30.6553,28.8219,28.8208,30.1112,30.8852,31.9342,22.4663,29.5449,31.3027,29.0718,11.802,10.5017,89.4983
Manipur,age_26_29,14,2.0519,19.2986,17.6562,19.9921,20.1381,18.1765,21.0383,21.6148,19.2164,16.7182,22.206,18.205,20.3705,18.5272,11.2486,88.7514
Manipur,age_30_33,14,2.2321,11.7984,11.699,12.476,13.3981,12.3606,13.5439,12.4884,11.3964,13.3364,14.6976,10.8225,13.4548,21.8198,12.4628,87.5372
Manipur,age_34_plus,14,4.5407,8.0509,8.8632,8.6719,9.574,10.0099,9.2139,7.788,7.1839,11.0429,9.801,7.7192,9.4077,21.4516,22.3795,77.6205
Manipur,age_below10,14,90.2214,0.9729,0.7465,0.7379,1.2444,0.7822,0.8058,0.8621,0.7713,0.7291,0.8364,0.739,0.8186,0.0,77.3008,22.6992
Mizoram,age_10_13,15,35.1012,0.1273,0.1534,0.1935,0.4669,0.2862,0.1394,0.1104,0.1433,0.0384,0.0824,0.1509,0.1442,0.0,5.2064,94.7936
Mizoram,age_14_17,15,7.2849,2.2645,1.776,2.2194,1.0611,4.1748,1.5713,0.8553,1.3101,1.0124,0.9018,1.7437,1.545,0.0,3.7755,96.2245
Mizoram,age_18_21,15,7.7868,27.1644,24.8137,29.4566,23.3871,35.1495,24.4927,20.625,25.0657,19.906,19.5963,27.2054,24.0654,0.0,4.8747,95.1253
Mizoram,age_22_25,15,9.001,32.1571,32.5678,33.2441,35.0594,30.0937,33.332,34.5497,34.2159,29.056,33.5049,33.199,32.8318,6.148,5.4763,94.5237
Mizoram,age_26_29,15,10.8831,16.5606,16.3206,15.2431,18.5484,11.4359,18.7123,21.3975,18.0671,16.4887,22.1894,16.2946,18.3689,11.2395,5.5575,94.4425
Mizoram,age_30_33,15,11.4619,8.885,10.5585,8.535,10.6961,7.2779,10.3404,10.1653,9.4736,10.8415,12.1771,8.8255,10.3093,13.2907,5.4171,94.5829
Mizoram,age_34_plus,15,25.858,7.621,9.7094,6.6384,6.9185,6.2735,7.2631,6.0794,6.6183,9.6027,7.8124,7.1434,7.4878,9.9148,7.8116,92.1884
Mizoram,age_below10,15,95.3366,0.5729,0.4472,0.669,0.5518,0.7407,0.536,0.4898,0.5034,0.346,0.4077,0.6573,0.5393,0.0,74.2351,25.7649
Tripura,age_10_13,16,36.0143,0.1015,0.1335,0.1121,0.1413,0.1996,0.1045,0.0797,0.1,0.228,0.101,0.1397,0.1228,0.0,3.3357,96.6643
Tripura,age_14_17,16,8.1141,2.2872,2.6973,1.9794,1.9312,2.8498,1.7923,0.739,1.6819,2.3732,1.544,2.4816,1.9327,0.0,3.0176,96.9824
