state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Graduate_share_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Goa,age_below10,30,95.9432,0.0,0.0,2.663,1.2672,27.034,0.0,72.0284,27.9716,25.7668,72.966
Lakshadweep,age_10_13,31,25.1022,1.9544,1.3003,0.4375,0.1591,3.5402,0.0,2.7049,97.2951,3.3811,96.4598
Lakshadweep,age_14_17,31,1.8158,5.7192,3.8714,0.7433,0.2624,8.92,0.0,1.268,98.732,8.6576,91.08
Lakshadweep,age_18_21,31,2.1782,21.7874,12.3268,0.8738,3.5922,43.4951,0.0,1.9417,98.0583,39.9029,56.5049
Lakshadweep,age_22_25,31,2.5969,58.9072,35.8998,,,,10.0113,1.9195,98.0805,,
Lakshadweep,age_26_29,31,4.1065,80.6719,58.5236,,,,10.5068,1.8875,98.1125,,
Lakshadweep,age_30_33,31,8.957,88.9834,80.7799,,,,4.9761,2.8991,97.1009,,
Lakshadweep,age_34_plus,31,27.1525,74.2149,83.739,,,,0.9332,23.6038,76.3962,,
Lakshadweep,age_below10,31,96.9278,0.0,0.0,0.5052,0.0389,17.5282,0.0,73.4394,26.5606,17.4893,82.4718
Kerala,age_10_13,32,28.9877,1.3536,0.9488,0.737,0.7993,6.176,0.0,3.4617,96.5383,5.3768,93.824
Kerala,age_14_17,32,8.0903,6.2241,3.7069,1.4114,7.2409,20.8823,0.0,3.197,96.803,13.6414,79.1177
Kerala,age_18_21,32,10.8919,40.1155,24.2596,1.5865,26.78,60.0076,0.0,7.3613,92.6387,33.2276,39.9924
Kerala,age_22_25,32,11.8797,69.973,52.2052,,,,8.7047,11.6776,88.3224,,
Kerala,age_26_29,32,13.0489,81.518,70.3594,,,,8.5342,16.1958,83.8042,,
Kerala,age_30_33,32,14.8042,83.8555,81.9987,,,,5.3243,21.4155,78.5845,,
Kerala,age_34_plus,32,25.6356,65.9289,77.5096,,,,3.0578,50.1668,49.8332,,
Kerala,age_below10,32,95.9249,0.0,0.0,0.5569,0.2149,25.3774,0.0,71.7806,28.2194,25.1624,74.6226
Tamil Nadu,age_10_13,33,14.8172,2.0778,1.4144,1.7773,3.9813,15.6175,0.0,9.7003,90.2997,11.6361,84.3825
Tamil Nadu,age_14_17,33,3.26,11.5176,6.5194,2.2099,22.4562,41.6013,0.0,14.2937,85.7063,19.1451,58.3987
Tamil Nadu,age_18_21,33,4.6838,58.7226,37.206,1.8019,49.949,76.6574,0.0,26.2528,73.7472,26.7084,23.3426
Tamil Nadu,age_22_25,33,6.2551,85.6263,70.6494,,,,7.2933,38.548,61.452,,
Tamil Nadu,age_26_29,33,8.9868,91.9587,86.3198,,,,7.7249,51.3691,48.6309,,
Tamil Nadu,age_30_33,33,10.3355,92.0943,92.2684,,,,6.7272,61.2801,38.7199,,
Tamil Nadu,age_34_plus,33,15.3719,74.3629,83.3707,,,,4.3543,82.5518,17.4482,,
Tamil Nadu,age_below10,33,90.4623,0.0,0.0,1.2076,1.0132,24.6789,0.0,73.5344,26.4656,23.6658,75.3211
Andaman & Nicobar Islands,age_10_13,35,26.0546,1.3699,1.1285,2.1991,1.0417,8.7963,0.0,6.713,93.287,7.7546,91.2037
Andaman & Nicobar Islands,age_14_17,35,2.4362,5.3391,3.0748,2.1645,7.7922,20.671,0.0,6.71,93.29,12.8788,79.329
Andaman & Nicobar Islands,age_18_21,35,0.9259,22.8745,14.4712,4.7516,12.527,42.5486,0.0,6.6955,93.3045,30.0216,57.4514
Andaman & Nicobar Islands,age_22_25,35,2.8897,53.9206,40.2685,,,,5.5166,10.3611,89.6389,,
Andaman & Nicobar Islands,age_26_29,35,4.3676,69.6356,59.1528,,,,5.5505,13.6006,86.3994,,
Andaman & Nicobar Islands,age_30_33,35,4.1289,81.6425,74.6239,,,,5.0352,20.0483,79.9517,,
Andaman & Nicobar Islands,age_34_plus,35,12.4655,73.3056,76.4445,,,,1.4596,52.1427,47.8573,,
Andaman & Nicobar Islands,age_below10,35,94.1304,0.0,0.0,1.1374,0.1896,35.545,0.0,81.2475,18.7525,35.3555,64.455
