state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Graduate_share_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Haryana,age_34_plus,06,8.5301,90.7563,85.3347,,,,6.5988,45.312,54.688,
Haryana,age_below10,06,96.7576,0.0,0.0,0.6714,0.4974,30.8803,0.0,73.6618,26.3382,69.1197
NCT of Delhi,age_10_13,07,37.7634,0.6081,0.9519,0.588,1.1339,7.8987,0.0,5.0981,94.9019,92.1013
NCT of Delhi,age_14_17,07,4.3653,1.3656,2.9981,1.1065,9.3632,21.604,0.0,5.3227,94.6773,78.396
NCT of Delhi,age_18_21,07,3.3279,8.395,18.0837,2.1213,29.1045,47.2086,0.0,7.076,92.924,52.7914
NCT of Delhi,age_22_25,07,2.6165,37.0642,51.2795,,,,12.5906,7.4988,92.5012,
NCT of Delhi,age_26_29,07,2.4393,67.0579,75.5725,,,,15.2754,9.1444,90.8556,
NCT of Delhi,age_30_33,07,2.5899,87.4864,90.199,,,,13.9115,11.3483,88.6517,
NCT of Delhi,age_34_plus,07,4.4866,91.9007,85.7593,,,,13.1516,23.0104,76.9896,
NCT of Delhi,age_below10,07,95.9381,0.0,0.0,0.3239,0.2621,31.2748,0.0,73.0894,26.9106,68.7252
Rajasthan,age_10_13,08,40.7566,1.7677,2.6849,2.9824,3.4731,13.4064,0.0,9.5863,90.4137,86.5936
Rajasthan,age_14_17,08,7.6587,5.6794,10.056,5.1373,22.5714,32.49,0.0,9.7701,90.2299,67.51
Rajasthan,age_18_21,08,6.7681,26.6661,43.69,5.0996,50.2585,58.2881,0.0,11.9513,88.0487,41.7119
Rajasthan,age_22_25,08,7.2262,68.7879,79.1544,,,,9.4119,15.0608,84.9392,
Rajasthan,age_26_29,08,8.3116,86.4072,91.2194,,,,13.0706,20.8073,79.1927,
Rajasthan,age_30_33,08,9.279,93.0229,94.6626,,,,11.5038,26.4831,73.5169,
Rajasthan,age_34_plus,08,15.0511,91.2489,85.0049,,,,8.3768,48.3685,51.6315,
Rajasthan,age_below10,08,94.0155,0.0,0.0,0.8066,0.5902,39.849,0.0,75.7047,24.2953,60.151
Uttar Pradesh,age_10_13,09,42.292,1.298,1.8882,2.8511,2.9059,16.0649,0.0,11.6119,88.3881,83.9351
Uttar Pradesh,age_14_17,09,6.1377,3.0056,5.5085,4.8755,17.4508,33.8712,0.0,11.8216,88.1784,66.1288
Uttar Pradesh,age_18_21,09,3.4386,16.8573,30.6248,6.1672,41.3261,56.9532,0.0,13.9625,86.0375,43.0468
Uttar Pradesh,age_22_25,09,3.3,59.9938,72.9547,,,,10.2787,17.1097,82.8903,
Uttar Pradesh,age_26_29,09,3.4117,81.2595,88.5436,,,,12.9902,24.4996,75.5004,
Uttar Pradesh,age_30_33,09,3.9729,89.6486,93.0767,,,,11.2994,31.2605,68.7395,
Uttar Pradesh,age_34_plus,09,5.738,87.3134,84.3756,,,,9.0707,48.5211,51.4789,
Uttar Pradesh,age_below10,09,93.2219,0.0,0.0,1.3817,1.2658,42.3041,0.0,74.9258,25.0742,57.6959
Bihar,age_10_13,10,51.0922,1.5733,2.1821,2.6586,3.4538,22.491,0.0,20.0557,79.9443,77.509
Bihar,age_14_17,10,12.1902,4.5291,9.3046,4.8078,20.0622,40.0595,0.0,24.1526,75.8474,59.9405
Bihar,age_18_21,10,9.9973,27.1867,51.0505,6.218,45.1942,62.4277,0.0,30.4506,69.5494,37.5723
Bihar,age_22_25,10,10.5232,76.6287,86.0251,,,,6.0112,37.8143,62.1857,
Bihar,age_26_29,10,11.0287,90.2204,94.2512,,,,7.7712,44.5241,55.4759,
Bihar,age_30_33,10,11.0743,95.5327,96.4012,,,,6.66,48.6547,51.3453,
Bihar,age_34_plus,10,11.5568,91.7333,88.1163,,,,7.7069,61.5418,38.4582,
Bihar,age_below10,10,93.8079,0.0,0.0,1.154,1.3706,48.4793,0.0,78.616,21.384,51.5207
Sikkim,age_10_13,11,60.7656,0.6607,1.2407,9.7378,3.0712,7.0412,0.0,6.0674,93.9326,92.9588
Sikkim,age_14_17,11,26.9509,2.6316,7.3171,10.6222,19.8027,29.2109,0.0,5.6904,94.3096,70.7891
Sikkim,age_18_21,11,26.08,19.1108,32.9687,10.1949,41.2294,53.0735,0.0,6.2969,93.7031,46.9265
Sikkim,age_22_25,11,26.6526,49.305,59.8572,,,,5.2743,7.0588,92.9412,
Sikkim,age_26_29,11,23.8055,68.9216,73.381,,,,9.2205,10.1657,89.8343,
Sikkim,age_30_33,11,23.0372,83.6512,84.2818,,,,8.0579,12.0799,87.9201,
Sikkim,age_34_plus,11,34.2237,85.9534,80.8676,,,,6.0768,32.2551,67.7449,
Sikkim,age_below10,11,96.139,0.0,0.0,4.3081,0.7833,20.5614,0.0,71.5801,28.4199,79.4386
Manipur,age_10_13,14,29.8798,0.8305,1.2752,1.4397,1.7326,10.1269,0.0,8.614,91.386,89.8731
Manipur,age_14_17,14,5.1603,2.2065,4.6023,2.8882,9.837,18.3872,0.0,6.3483,93.6517,81.6128
Manipur,age_18_21,14,3.2386,9.4891,17.5259,3.9653,24.4734,38.9095,0.0,6.2577,93.7423,61.0905
Manipur,age_22_25,14,4.0081,29.7842,39.6947,,,,11.238,8.0476,91.9524,
Manipur,age_26_29,14,3.6786,55.6829,62.4302,,,,16.9058,9.3425,90.6575,
Manipur,age_30_33,14,3.4877,79.1053,80.0078,,,,22.1587,10.9028,89.0972,
Manipur,age_34_plus,14,6.4649,90.3237,83.5653,,,,24.1629,25.0756,74.9244,
Manipur,age_below10,14,90.459,0.0,0.0,0.687,0.5658,33.9867,0.0,76.4818,23.5182,66.0133
Mizoram,age_10_13,15,48.0769,0.0,1.0101,0.0,3.7037,7.4074,0.0,3.7037,96.2963,92.5926
Mizoram,age_14_17,15,3.7037,0.0,12.2449,6.8966,13.7931,17.2414,0.0,6.8966,93.1034,82.7586
Mizoram,age_18_21,15,15.1515,8.5714,18.018,11.7647,47.0588,50.0,0.0,2.9412,97.0588,50.0
Mizoram,age_22_25,15,7.7778,27.5,39.1304,,,,12.2222,6.25,93.75,
Mizoram,age_26_29,15,10.6383,46.7532,60.8333,,,,9.5745,3.0928,96.9072,
Mizoram,age_30_33,15,6.1224,78.6408,83.3333,,,,12.2449,4.8544,95.1456,
Mizoram,age_34_plus,15,8.5409,91.2621,90.0744,,,,10.3203,9.0615,90.9385,
Mizoram,age_below10,15,100.0,0.0,0.0,2.1739,2.1739,17.3913,0.0,71.7647,28.2353,82.6087
Tripura,age_10_13,16,34.9762,0.8159,1.2124,0.8653,1.2115,5.0267,0.0,1.8368,98.1632,94.9733
Tripura,age_14_17,16,8.0031,2.0203,7.0237,2.1954,12.4187,22.252,0.0,1.8397,98.1603,77.748
Tripura,age_18_21,16,12.8691,10.1749,32.1347,3.638,35.6828,49.9288,0.0,2.3565,97.6435,50.0712
Tripura,age_22_25,16,15.6327,34.7773,56.2364,,,,3.955,2.6464,97.3536,
Tripura,age_26_29,16,18.2261,61.7825,73.8867,,,,6.2263,3.5477,96.4523,
Tripura,age_30_33,16,20.0597,82.9308,86.0169,,,,6.3665,4.3442,95.6558,
Tripura,age_34_plus,16,31.1734,93.5836,81.5126,,,,5.8773,13.4218,86.5782,
Tripura,age_below10,16,97.4215,0.0,0.0,0.3826,0.2767,27.2724,0.0,71.2676,28.7324,72.7276
Meghalaya,age_10_13,17,49.9307,0.675,1.0422,2.8103,2.2248,19.9063,0.0,15.5738,84.4262,80.0937
Meghalaya,age_14_17,17,16.6667,1.9704,6.4545,5.0505,14.7727,30.0505,0.0,15.1515,84.8485,69.9495
Meghalaya,age_18_21,17,12.4294,7.8261,24.1536,7.7103,29.6729,48.5981,0.0,17.2897,82.7103,51.4019
Meghalaya,age_22_25,17,15.3439,32.6174,51.4305,,,,7.8042,17.5573,82.4427,
Meghalaya,age_26_29,17,16.3934,59.8793,69.5761,,,,12.0715,22.6959,77.3041,
Meghalaya,age_30_33,17,14.6484,78.4226,82.619,,,,11.1328,23.8095,76.1905,
Meghalaya,age_34_plus,17,19.9573,90.9123,80.0115,,,,8.2177,34.2456,65.7544,
Meghalaya,age_below10,17,93.0591,0.0,0.0,0.7269,0.5192,41.1215,0.0,78.0102,21.9898,58.8785
Assam,age_10_13,18,29.5684,0.7703,1.3083,2.3977,2.5626,11.9298,0.0,6.143,93.857,88.0702
Assam,age_14_17,18,9.2263,2.1674,5.2776,4.4442,19.7702,35.824,0.0,6.8062,93.1938,64.176
Assam,age_18_21,18,11.665,8.4378,27.233,5.0198,43.8457,62.5863,0.0,8.5576,91.4424,37.4137
Assam,age_22_25,18,13.3591,31.6743,52.9606,,,,3.4438,10.1415,89.8585,
Assam,age_26_29,18,14.8117,55.8932,69.705,,,,5.5584,12.8949,87.1051,
Assam,age_30_33,18,15.9251,76.4896,82.5287,,,,6.3547,15.703,84.297,
Assam,age_34_plus,18,26.1964,90.746,81.0143,,,,5.9227,27.251,72.749,
Assam,age_below10,18,93.4088,0.0,0.0,1.0955,0.5512,31.675,0.0,72.4665,27.5335,68.325
West Bengal,age_10_13,19,32.5565,1.3592,1.812,1.6433,2.5359,11.705,0.0,6.348,93.652,88.295
West Bengal,age_14_17,19,12.6029,2.9543,8.0982,3.4775,19.7823,35.5225,0.0,7.7622,92.2378,64.4775
West Bengal,age_18_21,19,16.3379,14.1011,38.9848,4.7542,45.4361,61.6544,0.0,10.0594,89.9406,38.3456
