state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female
Chandigarh,age_10_13,04,37.821,3.1088,3.9885,1.0417,2.3018,5.9997,2.0829,0.4293,1.4404,2.2716,2.0797,2.498,2.2401,0.0,6.3705,93.6295
Chandigarh,age_14_17,04,4.0237,23.3161,31.8888,11.9792,21.3555,36.4661,15.3762,8.8035,21.1137,18.6469,15.2731,27.8449,18.026,0.0,6.1508,93.8492
Chandigarh,age_18_21,04,1.9525,31.6062,47.1716,41.1458,46.9309,44.0103,29.8655,49.9021,56.317,44.8858,29.5712,52.7715,41.7879,0.0,7.1813,92.8187
Chandigarh,age_22_25,04,1.6009,20.2073,8.6865,25.5208,19.4373,7.587,29.562,27.9867,14.048,22.6098,29.7569,10.4789,23.9713,32.3021,10.641,89.359
Chandigarh,age_26_29,04,1.9096,10.3627,1.5916,10.9375,5.1151,1.2578,15.1072,6.267,1.9218,5.6425,15.2842,1.5642,7.5596,43.0191,16.4968,83.5032
Chandigarh,age_30_33,04,2.2281,2.5907,0.3452,2.6042,1.2788,0.3708,2.9117,1.109,0.3032,0.8963,2.9376,0.3435,1.3039,39.7548,21.7422,78.2578
Chandigarh,age_34_plus,04,2.5545,1.0363,0.1918,0.0,0.3836,0.2353,0.8015,0.3762,0.1403,0.325,0.8096,0.1634,0.4191,37.1952,28.7696,71.2304
Chandigarh,age_below10,04,97.1103,3.6269,1.0738,1.0417,1.023,1.5987,1.1668,0.7252,0.6975,1.0743,1.1606,0.7537,1.1008,0.0,73.0714,26.9286
Uttarakhand,age_10_13,05,32.9348,3.3073,3.4994,3.9811,2.6679,6.1944,3.338,0.6024,0.9943,3.2531,1.8107,1.9788,3.3587,0.0,6.0126,93.9874
Uttarakhand,age_14_17,05,3.477,27.3656,33.3819,30.9958,22.2857,35.6964,27.0705,9.9363,19.4033,22.82,17.7065,28.2674,24.9802,0.0,6.0418,93.9582
Uttarakhand,age_18_21,05,2.2232,53.8149,50.228,53.3888,54.1999,46.6052,50.9592,60.5325,62.6346,50.3444,43.8686,56.5958,50.9027,0.0,8.7471,91.2529
Uttarakhand,age_22_25,05,2.2188,9.6383,6.4971,7.4744,13.1739,6.2923,11.3576,18.8201,10.2944,14.4461,21.2709,7.6218,12.7205,24.4395,13.0381,86.9619
Uttarakhand,age_26_29,05,2.8451,1.602,0.9302,0.9442,2.6428,0.9694,2.8859,2.7855,1.2027,2.7409,8.0661,0.9759,2.5405,29.1292,20.5116,79.4884
Uttarakhand,age_30_33,05,4.0516,0.5867,0.2768,0.2174,0.6519,0.3509,0.7366,0.5261,0.2298,0.5469,2.0772,0.2275,0.557,26.3227,29.0,71.0
Uttarakhand,age_34_plus,05,7.3873,0.2351,0.1324,0.1011,0.2407,0.195,0.2543,0.143,0.0641,0.1995,0.6428,0.095,0.2013,17.729,55.3732,44.6268
Uttarakhand,age_below10,05,94.9772,0.8416,0.9567,1.1552,0.9879,1.3949,1.0732,0.7086,0.7862,1.0808,0.9331,0.8301,1.0774,0.0,72.6147,27.3853
Haryana,age_10_13,06,35.7624,3.3706,3.8409,4.2367,3.1542,4.6667,3.2014,1.0478,2.0314,2.9278,2.5463,2.9488,3.1029,0.0,8.2195,91.7805
Haryana,age_14_17,06,4.2206,29.0666,30.1176,31.6625,26.3158,33.9296,25.3613,15.773,24.9316,25.3679,20.4852,28.2802,26.0962,0.0,8.9448,91.0552
Haryana,age_18_21,06,2.7952,52.9564,47.9815,50.1803,48.0915,48.1848,46.1998,56.7999,54.9362,50.3012,41.7059,52.5841,49.6662,0.0,12.2706,87.7294
Haryana,age_22_25,06,2.4655,9.021,8.1808,8.3184,13.9085,7.4712,15.6076,16.8929,10.4893,13.1619,21.9791,9.184,12.9735,19.8688,16.4649,83.5351
Haryana,age_26_29,06,2.9929,1.3789,1.2225,1.3057,3.2328,1.1667,4.3882,2.4312,1.3774,2.139,7.1808,1.2732,2.3755,24.0087,22.4579,77.5421
Haryana,age_30_33,06,3.8615,0.3474,0.2568,0.3106,0.5868,0.3405,0.7582,0.3753,0.2202,0.379,1.1562,0.2422,0.4223,19.4909,30.9181,69.0819
Haryana,age_34_plus,06,5.3607,0.1212,0.0953,0.1131,0.2279,0.181,0.2073,0.0918,0.0603,0.1487,0.2868,0.0817,0.1513,15.793,60.4304,39.5696
Haryana,age_below10,06,96.1356,1.4682,1.5496,1.7903,1.5666,1.7854,1.5579,1.0815,1.298,1.4652,1.4477,1.4042,1.5136,0.0,74.2012,25.7988
NCT of Delhi,age_10_13,07,32.8187,4.4727,4.6827,3.0841,3.4974,6.3779,2.4821,0.8241,1.9309,2.6957,2.4258,3.2112,2.6813,0.0,4.9598,95.0402
NCT of Delhi,age_14_17,07,2.8976,31.8103,34.3557,27.0198,24.5342,37.6712,16.711,13.0965,24.448,21.8492,16.2492,31.0294,21.2117,0.0,4.8373,95.1627
NCT of Delhi,age_18_21,07,1.9455,39.1749,43.2045,46.061,41.4177,41.0655,30.1765,51.6759,51.8583,44.4221,29.6246,47.7051,42.4628,0.0,6.8506,93.1494
NCT of Delhi,age_22_25,07,1.7762,13.0133,8.6181,13.3423,19.2776,7.5633,27.9105,22.5425,12.9393,19.7125,28.4206,10.0775,20.7699,29.3632,10.1496,89.8504
NCT of Delhi,age_26_29,07,2.0168,4.9547,1.3798,4.1904,4.8246,1.234,13.4212,4.3967,1.9032,4.2732,13.8425,1.5104,5.4997,37.5766,14.4485,85.5515
NCT of Delhi,age_30_33,07,2.3846,1.0796,0.4182,0.9387,1.0409,0.4081,2.6884,0.8402,0.3979,0.7931,2.7688,0.374,1.0496,34.8315,19.4346,80.5654
