state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Graduate_share_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Bihar,age_30_33,10,11.3955,93.3975,94.3631,,,,5.4984,44.6499,55.3501,
Bihar,age_34_plus,10,12.7369,91.6364,86.4163,,,,5.5506,57.3112,42.6888,
Bihar,age_below10,10,93.3697,0.0,0.0,1.7693,1.8532,47.1123,0.0,77.4647,22.5353,52.8877
Sikkim,age_10_13,11,48.7425,0.8052,1.1421,9.5639,1.7757,5.3479,0.0,4.621,95.379,94.6521
Sikkim,age_14_17,11,19.5476,2.3305,5.7388,13.016,14.4798,19.5135,0.0,3.6226,96.3774,80.4865
Sikkim,age_18_21,11,19.1044,12.9152,23.0038,11.1303,33.1104,40.7248,0.0,4.1415,95.8585,59.2752
Sikkim,age_22_25,11,19.7348,37.3719,48.1548,,,,7.7014,5.3727,94.6273,
Sikkim,age_26_29,11,19.3219,57.7755,65.2034,,,,14.7093,8.1601,91.8399,
Sikkim,age_30_33,11,20.7732,74.2899,77.986,,,,10.8631,9.6766,90.3234,
Sikkim,age_34_plus,11,28.4425,81.9587,78.9311,,,,8.4747,28.6884,71.3116,
Sikkim,age_below10,11,93.0118,0.0,0.0,3.3093,0.5599,17.5665,0.0,69.5994,30.4006,82.4335
Arunachal Pradesh,age_10_13,12,42.8905,1.0897,1.7214,4.2199,1.7196,12.8742,0.0,16.921,83.079,87.1258
Arunachal Pradesh,age_14_17,12,8.9542,2.6097,5.2013,6.3358,5.5843,12.7961,0.0,10.4171,89.5829,87.2039
Arunachal Pradesh,age_18_21,12,5.1573,11.6029,22.1569,8.343,14.0,22.029,0.0,11.3865,88.6135,77.971
Arunachal Pradesh,age_22_25,12,4.8491,40.9757,53.1866,,,,9.9279,14.6557,85.3443,
Arunachal Pradesh,age_26_29,12,4.8518,67.4569,74.2717,,,,19.9748,18.7334,81.2666,
Arunachal Pradesh,age_30_33,12,5.6387,83.3806,85.4708,,,,18.8356,23.6444,76.3556,
Arunachal Pradesh,age_34_plus,12,10.6518,89.1388,82.8904,,,,13.9107,50.1571,49.8429,
Arunachal Pradesh,age_below10,12,92.6363,0.0,0.0,2.0459,1.0612,37.16,0.0,78.2433,21.7567,62.84
Nagaland,age_10_13,13,38.4463,0.6346,1.007,14.6798,4.4521,13.0799,0.0,12.4408,87.5592,86.9201
Nagaland,age_14_17,13,8.0034,1.5509,3.7967,17.3412,15.0054,23.1713,0.0,9.1811,90.8189,76.8287
Nagaland,age_18_21,13,6.7453,6.6641,12.6079,13.1967,29.5075,40.8429,0.0,10.1106,89.8894,59.1571
Nagaland,age_22_25,13,6.4284,22.5828,31.9801,,,,9.1813,10.9093,89.0907,
Nagaland,age_26_29,13,6.1911,44.7385,52.6083,,,,17.7145,11.4599,88.5401,
Nagaland,age_30_33,13,6.5266,68.304,71.3459,,,,15.7309,12.718,87.282,
Nagaland,age_34_plus,13,11.6986,88.0883,82.6069,,,,9.6073,24.7378,75.2622,
Nagaland,age_below10,13,93.1448,0.0,0.0,4.869,1.5894,28.6285,0.0,76.3115,23.6885,71.3715
Manipur,age_10_13,14,30.283,0.8002,1.3224,7.0467,3.619,12.1829,0.0,17.5001,82.4999,87.8171
Manipur,age_14_17,14,4.481,1.8286,3.6989,10.6337,10.6517,17.5842,0.0,11.4407,88.5593,82.4158
Manipur,age_18_21,14,2.4819,6.5626,12.1394,11.5594,22.0316,30.5803,0.0,13.8183,86.1817,69.4197
Manipur,age_22_25,14,2.6065,22.6212,31.1344,,,,13.1217,15.844,84.156,
Manipur,age_26_29,14,2.9284,44.0059,50.9466,,,,20.3824,18.1098,81.8902,
Manipur,age_30_33,14,3.5051,65.6232,68.4951,,,,19.8522,20.5139,79.4861,
Manipur,age_34_plus,14,6.1267,89.4052,83.9986,,,,13.7671,31.7485,68.2515,
Manipur,age_below10,14,87.8655,0.0,0.0,4.1103,2.0614,25.8294,0.0,78.2449,21.7551,74.1706
Mizoram,age_10_13,15,34.9315,0.6117,0.953,2.6753,1.3311,5.8335,0.0,5.007,94.993,94.1665
Mizoram,age_14_17,15,6.9899,1.4713,3.7164,5.425,13.7594,19.1241,0.0,3.5169,96.4831,80.8759
Mizoram,age_18_21,15,7.338,12.4077,20.7421,6.9303,35.0318,43.195,0.0,4.6378,95.3622,56.805
Mizoram,age_22_25,15,8.6717,38.1246,46.0259,,,,6.1443,5.2462,94.7538,
Mizoram,age_26_29,15,10.7815,59.0378,62.8969,,,,11.2274,5.2939,94.7061,
Mizoram,age_30_33,15,11.5497,71.8657,73.3942,,,,13.4153,5.108,94.892,
Mizoram,age_34_plus,15,26.7065,82.7618,76.856,,,,9.7881,7.5651,92.4349,
Mizoram,age_below10,15,95.4273,0.0,0.0,0.9653,0.2295,24.8787,0.0,74.1417,25.8583,75.1213
Tripura,age_10_13,16,38.7377,0.924,1.369,1.5932,1.4911,7.7038,0.0,4.8272,95.1728,92.2962
Tripura,age_14_17,16,9.0209,3.0678,6.8189,3.8102,12.3788,21.6179,0.0,4.4826,95.5174,78.3821
Tripura,age_18_21,16,11.0546,21.7664,38.7352,5.4663,33.5796,46.6381,0.0,5.6391,94.3609,53.3619
Tripura,age_22_25,16,12.9476,58.6183,68.2161,,,,2.9583,7.0215,92.9785,
Tripura,age_26_29,16,15.9657,79.3281,82.9147,,,,4.4291,9.265,90.735,
Tripura,age_30_33,16,17.9311,90.103,90.099,,,,3.7974,10.7702,89.2298,
Tripura,age_34_plus,16,29.7561,91.8186,84.7721,,,,2.2001,24.0811,75.9189,
Tripura,age_below10,16,96.2686,0.0,0.0,0.5702,0.3847,31.2715,0.0,73.7354,26.2646,68.7285
Meghalaya,age_10_13,17,58.4495,0.7887,1.3834,4.4025,3.701,16.4461,0.0,15.7827,84.2173,83.5539
Meghalaya,age_14_17,17,24.9892,2.2126,5.7673,7.2652,19.2104,28.3453,0.0,12.7272,87.2728,71.6547
Meghalaya,age_18_21,17,20.7627,12.8577,25.2285,8.4167,35.5368,43.5825,0.0,15.0611,84.9389,56.4175
Meghalaya,age_22_25,17,21.9462,44.0298,54.3007,,,,5.1335,18.3459,81.6541,
Meghalaya,age_26_29,17,23.7943,67.2285,71.6211,,,,8.8631,21.9879,78.0121,
Meghalaya,age_30_33,17,25.8172,80.4803,81.0889,,,,9.5648,24.8583,75.1417,
Meghalaya,age_34_plus,17,31.5371,86.9079,77.9178,,,,6.5398,34.7445,65.2555,
Meghalaya,age_below10,17,92.9417,0.0,0.0,1.8337,1.2959,38.3293,0.0,81.4284,18.5716,61.6707
Assam,age_10_13,18,30.0902,0.891,1.435,4.8576,2.7321,11.297,0.0,8.3194,91.6806,88.703
Assam,age_14_17,18,5.5875,2.5198,5.5675,8.5897,13.2054,23.3883,0.0,7.9047,92.0953,76.6117
Assam,age_18_21,18,5.697,12.0397,27.2573,9.5449,30.2462,44.0419,0.0,9.9867,90.0133,55.9581
Assam,age_22_25,18,6.4165,40.2821,55.9963,,,,4.39,12.2604,87.7396,
Assam,age_26_29,18,7.7467,64.4535,73.2272,,,,6.9634,16.6498,83.3502,
Assam,age_30_33,18,8.7439,81.3494,84.2945,,,,7.0163,20.7496,79.2504,
Assam,age_34_plus,18,17.5835,91.1134,83.8772,,,,6.0989,34.0458,65.9542,
Assam,age_below10,18,92.6071,0.0,0.0,1.9661,1.0173,33.4483,0.0,74.2234,25.7766,66.5517
West Bengal,age_10_13,19,42.9657,1.271,1.7066,1.9146,3.507,16.6025,0.0,10.7566,89.2434,83.3975
West Bengal,age_14_17,19,17.2751,3.0333,7.7105,4.1095,23.2332,39.8164,0.0,12.8534,87.1466,60.1836
West Bengal,age_18_21,19,20.4728,16.3194,37.4738,5.4251,48.9306,63.7862,0.0,16.6775,83.3225,36.2138
West Bengal,age_22_25,19,23.4191,50.2827,64.5937,,,,4.1812,21.6104,78.3896,
West Bengal,age_26_29,19,25.9541,73.1188,79.1055,,,,5.8821,28.667,71.333,
West Bengal,age_30_33,19,28.0451,85.7915,86.5227,,,,5.3766,34.1979,65.8021,
West Bengal,age_34_plus,19,34.8381,89.1999,78.4008,,,,3.9332,50.2703,49.7297,
West Bengal,age_below10,19,94.9715,0.0,0.0,0.7402,0.7067,38.486,0.0,74.3778,25.6222,61.514
Jharkhand,age_10_13,20,46.9224,1.2222,1.6464,5.9691,4.0371,14.6533,0.0,11.9694,88.0306,85.3467
Jharkhand,age_14_17,20,9.4709,3.0118,6.1587,9.0011,21.6242,32.1573,0.0,12.8984,87.1016,67.8427
Jharkhand,age_18_21,20,8.3161,17.945,34.6776,8.8129,46.1819,55.8969,0.0,17.5808,82.4192,44.1031
Jharkhand,age_22_25,20,9.2821,55.3185,66.3069,,,,4.4493,22.9132,77.0868,
Jharkhand,age_26_29,20,10.4614,74.4259,79.8173,,,,6.8909,29.69,70.31,
Jharkhand,age_30_33,20,10.5367,85.651,87.0152,,,,6.9125,34.4126,65.5874,
Jharkhand,age_34_plus,20,12.7691,87.6645,79.3241,,,,7.209,50.1677,49.8323,
