state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
Uttarakhand,age_14_17,05,3.477,3.7917,27.3656,2.9044,33.3819,6.2064,30.9958,4.0682,22.2857,2.488,35.6964,5.9826,27.0705,2.652,9.9363,1.6677,19.4033,2.9285,22.82,5.5543,17.7065,1.9576,28.2674,4.4762,24.9802,3.1568,0.0,0.0,6.0418,4.3904,93.9582,95.6096
Uttarakhand,age_18_21,05,2.2232,2.6405,53.8149,44.1606,50.228,41.0169,53.3888,39.9996,54.1999,29.5468,46.6052,42.7248,50.9592,31.9002,60.5325,27.0379,62.6346,38.5361,50.3444,30.5861,43.8686,26.375,56.5958,41.3851,50.9027,32.4548,0.0,0.0,8.7471,5.9991,91.2529,94.0009
Uttarakhand,age_22_25,05,2.2188,2.4306,9.6383,36.0019,6.4971,32.8869,7.4744,36.3866,13.1739,36.9581,6.2923,32.7455,11.3576,36.7917,18.8201,40.2401,10.2944,38.1889,14.4461,31.197,21.2709,37.0923,7.6218,35.1801,12.7205,36.0474,24.4395,20.2906,13.0381,6.9951,86.9619,93.0049
Uttarakhand,age_26_29,05,2.8451,2.3762,1.602,8.2849,0.9302,8.8875,0.9442,10.9454,2.6428,17.7134,0.9694,7.8868,2.8859,16.5533,2.7855,18.5392,1.2027,11.2029,2.7409,13.6744,8.0661,20.366,0.9759,9.3157,2.5405,15.5887,29.1292,25.3353,20.5116,9.374,79.4884,90.626
Uttarakhand,age_30_33,05,4.0516,2.6087,0.5867,3.2323,0.2768,3.7806,0.2174,3.6925,0.6519,6.5507,0.3509,3.8486,0.7366,6.1735,0.5261,5.7465,0.2298,3.2466,0.5469,5.6517,2.0772,7.7591,0.2275,3.458,0.557,5.8264,26.3227,25.4892,29.0,11.5205,71.0,88.4795
Uttarakhand,age_34_plus,05,7.3873,5.1664,0.2351,1.1756,0.1324,2.0067,0.1011,1.3114,0.2407,1.8151,0.195,1.854,0.2543,1.7138,0.143,1.525,0.0641,1.0484,0.1995,2.5137,0.6428,1.9784,0.095,1.4746,0.2013,1.7803,17.729,19.0126,55.3732,20.6372,44.6268,79.3628
Uttarakhand,age_below10,05,94.9772,94.8272,0.8416,0.6512,0.9567,0.6709,1.1552,0.6516,0.9879,0.8721,1.3949,0.709,1.0732,0.7903,0.7086,0.8254,0.7862,0.6798,1.0808,0.7747,0.9331,0.8725,0.8301,0.6618,1.0774,0.774,0.0,0.0,72.6147,72.328,27.3853,27.672
Haryana,age_10_13,06,35.7624,37.2104,3.3706,0.6116,3.8409,1.1361,4.2367,0.9068,3.1542,0.4662,4.6667,1.0793,3.2014,0.6208,1.0478,0.5253,2.0314,0.7799,2.9278,1.1921,2.5463,0.485,2.9488,0.9195,3.1029,0.7284,0.0,0.0,8.2195,5.5138,91.7805,94.4862
Haryana,age_14_17,06,4.2206,4.059,29.0666,5.6985,30.1176,8.7549,31.6625,7.3246,26.3158,3.9192,33.9296,8.9558,25.3613,5.2492,15.773,4.6802,24.9316,6.7429,25.3679,9.7892,20.4852,4.1672,28.2802,7.6167,26.0962,6.0914,0.0,0.0,8.9448,5.5882,91.0552,94.4118
Haryana,age_18_21,06,2.7952,3.0971,52.9564,46.5601,47.9815,46.2855,50.1803,46.7762,48.0915,32.6056,48.1848,46.9325,46.1998,38.9958,56.7999,37.9665,54.9362,44.168,50.3012,39.7951,41.7059,33.7865,52.5841,46.7768,49.6662,39.7574,0.0,0.0,12.2706,7.0819,87.7294,92.9181
