state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Graduate_share_ST_female,Graduate_share_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
West Bengal,age_18_21,19,23.5698,20.4728,57.5139,16.3194,37.4738,3.4044,5.4251,37.9846,48.9306,72.861,63.7862,0.0,0.0,30.3753,16.6775,69.6247,83.3225,34.8764,27.139,36.2138
West Bengal,age_22_25,19,27.8609,23.4191,78.5366,50.2827,64.5937,,,,,,,3.2581,4.1812,40.7997,21.6104,59.2003,78.3896,,,
West Bengal,age_26_29,19,31.3957,25.9541,85.1905,73.1188,79.1055,,,,,,,5.2508,5.8821,51.6267,28.667,48.3733,71.333,,,
West Bengal,age_30_33,19,33.834,28.0451,87.243,85.7915,86.5227,,,,,,,4.3754,5.3766,59.9437,34.1979,40.0563,65.8021,,,
West Bengal,age_34_plus,19,37.7302,34.8381,67.8722,89.1999,78.4008,,,,,,,3.4281,3.9332,80.6668,50.2703,19.3332,49.7297,,,
West Bengal,age_below10,19,95.1717,94.9715,0.0,0.0,0.0,0.7033,0.7402,0.6629,0.7067,39.5674,38.486,0.0,0.0,74.8954,74.3778,25.1046,25.6222,38.9045,60.4326,61.514
Jharkhand,age_10_13,20,46.7437,46.9224,2.0852,1.2222,1.6464,5.9893,5.9691,4.6941,4.0371,17.9631,14.6533,0.0,0.0,16.027,11.9694,83.973,88.0306,13.269,82.0369,85.3467
Jharkhand,age_14_17,20,10.2559,9.4709,9.586,3.0118,6.1587,7.8116,9.0011,20.4291,21.6242,36.1855,32.1573,0.0,0.0,21.5879,12.8984,78.4121,87.1016,15.7564,63.8145,67.8427
Jharkhand,age_18_21,20,9.8146,8.3161,50.564,17.945,34.6776,5.878,8.8129,44.587,46.1819,67.3018,55.8969,0.0,0.0,37.429,17.5808,62.571,82.4192,22.7148,32.6982,44.1031
Jharkhand,age_22_25,20,11.1021,9.2821,76.9528,55.3185,66.3069,,,,,,,6.2394,4.4493,48.7494,22.9132,51.2506,77.0868,,,
Jharkhand,age_26_29,20,12.3797,10.4614,85.0744,74.4259,79.8173,,,,,,,10.0341,6.8909,58.0936,29.69,41.9064,70.31,,,
Jharkhand,age_30_33,20,12.9128,10.5367,88.3324,85.651,87.0152,,,,,,,9.3071,6.9125,65.0058,34.4126,34.9942,65.5874,,,
Jharkhand,age_34_plus,20,13.8062,12.7691,71.2231,87.6645,79.3241,,,,,,,8.31,7.209,80.8167,50.1677,19.1833,49.8323,,,
Jharkhand,age_below10,20,95.652,95.1988,0.0,0.0,0.0,1.8565,1.8469,1.378,1.2189,43.9468,42.17,0.0,0.0,78.05,77.065,21.95,22.935,42.5688,56.0532,57.83
Odisha,age_10_13,21,36.3995,35.9697,1.7861,0.9579,1.3717,2.2996,2.5119,7.0933,5.8833,25.8581,21.9981,0.0,0.0,19.7825,15.0866,80.2175,84.9134,18.7649,74.1419,78.0019
Odisha,age_14_17,21,11.8823,10.5374,8.2556,2.5167,5.4,2.6424,3.6229,34.9597,34.5874,58.6077,53.0907,0.0,0.0,28.9541,17.0779,71.0459,82.9221,23.6481,41.3923,46.9093
Odisha,age_18_21,21,14.8322,11.5996,48.1607,15.7472,32.7825,1.7649,3.14,59.7523,64.8285,86.9784,79.7289,0.0,0.0,43.0424,20.9651,56.9576,79.0349,27.2261,13.0216,20.2711
Odisha,age_22_25,21,16.729,13.0418,77.6831,50.2304,64.4462,,,,,,,2.5926,2.2204,50.7276,24.6463,49.2724,75.3537,,,
Odisha,age_26_29,21,21.3823,16.2012,85.755,73.4683,79.6101,,,,,,,3.7293,3.2545,59.9892,31.3822,40.0108,68.6178,,,
Odisha,age_30_33,21,26.9328,19.829,88.5479,86.8775,87.735,,,,,,,3.5484,4.2399,68.1098,37.627,31.8902,62.373,,,
Odisha,age_34_plus,21,35.1387,31.8684,71.3067,89.3594,80.1478,,,,,,,2.1076,3.2572,85.7161,54.9336,14.2839,45.0664,,,
Odisha,age_below10,21,95.7246,95.4293,0.0,0.0,0.0,1.0459,0.9949,1.1597,1.0413,38.3207,37.3053,0.0,0.0,76.8274,76.8093,23.1726,23.1907,37.161,61.6793,62.6947
Chhattisgarh,age_10_13,22,44.6221,46.1136,1.4925,0.9693,1.2293,5.3096,5.0422,4.7009,4.0219,14.7331,12.6071,0.0,0.0,12.4184,10.0048,87.5816,89.9952,10.0322,85.2669,87.3929
Chhattisgarh,age_14_17,22,7.6582,7.9667,5.4374,2.034,3.7268,7.2012,7.7618,25.0014,25.0687,36.9788,33.95,0.0,0.0,16.9365,11.2254,83.0635,88.7746,11.9774,63.0212,66.05
Chhattisgarh,age_18_21,22,8.1242,7.527,43.3019,14.8823,29.4797,4.712,6.5934,55.6495,56.329,72.1961,64.2505,0.0,0.0,25.9628,13.5661,74.0372,86.4339,16.5466,27.8039,35.7495
Chhattisgarh,age_22_25,22,9.461,8.1896,79.6908,58.4684,69.1392,,,,,,,3.1235,2.871,35.2145,16.7675,64.7855,83.2325,,,
Chhattisgarh,age_26_29,22,12.0672,10.2093,89.0305,81.3108,85.1702,,,,,,,6.3214,6.523,47.7245,24.2827,52.2755,75.7173,,,
Chhattisgarh,age_30_33,22,17.0986,12.7686,91.2871,91.3099,91.2982,,,,,,,5.7918,8.3208,59.0488,30.5641,40.9512,69.4359,,,
Chhattisgarh,age_34_plus,22,27.6397,26.2729,73.4368,89.304,81.1852,,,,,,,4.2015,6.2112,82.8354,50.1787,17.1646,49.8213,,,
Chhattisgarh,age_below10,22,97.519,97.2706,0.0,0.0,0.0,1.435,1.359,0.7897,0.7162,34.7318,33.4864,0.0,0.0,76.5921,75.8187,23.4079,24.1813,33.9421,65.2682,66.5136
Madhya Pradesh,age_10_13,23,44.7446,45.9549,2.549,1.7377,2.1395,3.9265,3.9359,6.0012,6.0363,18.6606,18.148,0.0,0.0,16.6826,15.4682,83.3174,84.5318,12.6594,81.3394,81.852
Madhya Pradesh,age_14_17,23,12.7754,12.8552,10.5103,4.4319,7.3435,5.0159,5.863,30.5281,31.9738,46.3177,43.3158,0.0,0.0,25.6115,18.9803,74.3885,81.0197,15.7896,53.6823,56.6842
Madhya Pradesh,age_18_21,23,12.5767,11.6848,59.6918,29.5601,44.6482,3.7702,5.8463,60.2478,61.5191,78.2306,69.2499,0.0,0.0,43.2532,23.6293,56.7468,76.3707,17.9828,21.7694,30.7501
Madhya Pradesh,age_22_25,23,14.4608,13.4024,89.1387,73.9658,81.3538,,,,,,,3.3527,2.9928,56.5154,30.7759,43.4846,69.2241,,,
Madhya Pradesh,age_26_29,23,18.0069,16.7688,94.7155,88.5556,91.7455,,,,,,,6.0612,5.7859,68.5082,41.4685,31.4918,58.5315,,,
Madhya Pradesh,age_30_33,23,21.3305,18.9469,95.1372,94.1699,94.658,,,,,,,5.5766,6.1143,75.6317,47.7162,24.3683,52.2838,,,
Madhya Pradesh,age_34_plus,23,26.9904,28.5442,79.3714,90.6842,85.0183,,,,,,,4.1403,4.8847,89.6784,64.4464,10.3216,35.5536,,,
Madhya Pradesh,age_below10,23,95.9703,95.7384,0.0,0.0,0.0,1.3864,1.3355,1.1485,1.1307,39.2346,39.9991,0.0,0.0,77.1592,77.5761,22.8408,22.4239,38.0862,60.7654,60.0009
Gujarat,age_10_13,24,27.541,28.867,3.0974,1.866,2.467,2.5148,2.4979,5.7694,5.581,19.8488,17.0852,0.0,0.0,12.1247,9.7857,87.8753,90.2143,14.0793,80.1512,82.9148
Gujarat,age_14_17,24,9.7564,9.558,11.8965,4.8142,8.2067,3.9263,4.5683,25.9613,28.5638,46.1371,40.8513,0.0,0.0,16.8139,11.4146,83.1861,88.5854,20.1758,53.8629,59.1487
Gujarat,age_18_21,24,11.6035,10.5198,54.2675,26.8242,40.4143,4.5098,6.5728,48.2021,55.4841,72.9421,64.9978,0.0,0.0,27.0884,14.2113,72.9116,85.7887,24.74,27.0579,35.0022
Gujarat,age_22_25,24,15.088,13.108,83.8177,65.2436,74.25,,,,,,,4.9552,4.0212,35.926,18.4142,64.074,81.5858,,,
Gujarat,age_26_29,24,18.4106,15.3241,91.7173,83.4224,87.6089,,,,,,,7.0477,6.2356,43.2701,22.9377,56.7299,77.0623,,,
Gujarat,age_30_33,24,21.7114,17.1701,93.2286,91.3248,92.2747,,,,,,,5.8482,5.9241,50.8265,27.5027,49.1735,72.4973,,,
Gujarat,age_34_plus,24,31.0589,28.5051,78.7691,90.1514,84.3993,,,,,,,4.4789,5.0372,74.7836,46.6973,25.2164,53.3027,,,
Gujarat,age_below10,24,93.4668,93.3226,0.0,0.0,0.0,1.0906,1.1103,1.1359,1.1762,35.8688,35.0954,0.0,0.0,75.4618,75.0265,24.5382,24.9735,34.7329,64.1312,64.9046
Daman & Diu,age_10_13,25,25.4296,28.3142,1.6216,0.3927,0.9973,1.0101,1.2841,1.3468,1.9262,5.8923,6.7416,0.0,0.0,2.0202,1.9262,97.9798,98.0738,4.5455,94.1077,93.2584
Daman & Diu,age_14_17,25,3.8062,7.2508,5.6893,1.1111,3.2096,1.8242,3.2305,14.9254,15.5653,29.6849,26.138,0.0,0.0,4.1459,2.79,95.8541,97.21,14.7595,70.3151,73.862
Daman & Diu,age_18_21,25,8.4459,7.6923,40.0862,8.7143,24.3553,5.2308,4.8433,30.4615,41.3105,68.6154,55.5556,0.0,0.0,8.9231,3.7037,91.0769,96.2963,38.1538,31.3846,44.4444
Daman & Diu,age_22_25,25,9.0339,9.1022,71.5774,37.0317,54.0264,,,,,,,2.6349,1.7456,8.9143,5.3129,91.0857,94.6871,,,
Daman & Diu,age_26_29,25,12.596,11.7727,85.4671,60.4414,72.8363,,,,,,,2.765,2.571,12.7346,5.8599,87.2654,94.1401,,,
Daman & Diu,age_30_33,25,18.6538,12.6984,88.0989,83.477,85.7036,,,,,,,2.6923,3.4921,19.6291,9.4828,80.3709,90.5172,,,
Daman & Diu,age_34_plus,25,36.4097,30.8548,67.9432,91.6667,79.5441,,,,,,,1.5213,2.7518,61.0738,29.538,38.9262,70.462,,,
Daman & Diu,age_below10,25,94.8454,96.0976,0.0,0.0,0.0,0.7553,0.7042,0.6042,0.0,25.6798,27.8873,0.0,0.0,69.2795,69.764,30.7205,30.236,25.0755,74.3202,72.1127
Dadra & Nagar Haveli,age_10_13,26,30.4049,28.242,1.849,0.6906,1.254,1.6584,1.1521,3.4638,1.7131,11.966,6.5117,0.0,0.0,6.9277,3.1256,93.0723,96.8744,8.5022,88.034,93.4883
Dadra & Nagar Haveli,age_14_17,26,14.2834,6.8856,11.4822,2.7918,6.9795,4.083,4.8149,23.7881,15.0638,41.8681,24.782,0.0,0.0,17.0149,4.9286,82.9851,95.0714,18.08,58.1319,75.218
Dadra & Nagar Haveli,age_18_21,26,15.9728,7.9356,52.3619,22.7853,37.8674,4.0435,5.6837,41.2716,41.598,71.3051,50.8786,0.0,0.0,30.3402,7.9627,69.6598,92.0373,30.0335,28.6949,49.1214
Dadra & Nagar Haveli,age_22_25,26,16.9786,12.5581,81.1171,65.3761,73.5041,,,,,,,4.45,4.4958,42.7196,13.3657,57.2804,86.6343,,,
Dadra & Nagar Haveli,age_26_29,26,18.846,17.2535,88.9556,88.0573,88.5094,,,,,,,6.7846,5.6052,54.7553,23.2558,45.2447,76.7442,,,
Dadra & Nagar Haveli,age_30_33,26,21.1132,19.8896,91.0806,95.8244,93.4509,,,,,,,6.5777,4.8464,64.0245,30.9362,35.9755,69.0638,,,
Dadra & Nagar Haveli,age_34_plus,26,29.5715,31.7588,76.6913,94.1596,85.1208,,,,,,,5.8247,5.3249,86.0273,56.0334,13.9727,43.9666,,,
Dadra & Nagar Haveli,age_below10,26,95.1592,94.5612,0.0,0.0,0.0,0.3402,0.3256,0.3969,0.2623,25.9189,24.0525,0.0,0.0,70.7258,69.8275,29.2742,30.1725,25.5221,74.0811,75.9475
Maharashtra,age_10_13,27,43.7705,43.2416,3.3305,2.1785,2.7326,2.7741,2.7275,4.9686,4.3547,15.9928,12.7449,0.0,0.0,11.1216,8.2379,88.8784,91.7621,11.0242,84.0072,87.2551
Maharashtra,age_14_17,27,12.8752,11.0875,11.4652,3.9066,7.4518,4.6196,5.0844,24.0726,24.1736,38.12,32.5742,0.0,0.0,13.8106,9.3492,86.1894,90.6508,14.0474,61.88,67.4258
Maharashtra,age_18_21,27,14.7494,11.3637,54.8211,18.3191,36.5769,5.7346,6.7848,48.9487,49.2773,67.7986,56.3442,0.0,0.0,21.7503,11.133,78.2497,88.867,18.8499,32.2014,43.6558
Maharashtra,age_22_25,27,16.8034,13.1645,84.1141,57.6731,70.7633,,,,,,,4.8623,5.9423,29.2662,14.6982,70.7338,85.3018,,,
Maharashtra,age_26_29,27,19.3922,16.2873,90.8052,80.3207,85.4662,,,,,,,6.3216,8.5042,38.5144,20.9729,61.4856,79.0271,,,
Maharashtra,age_30_33,27,24.2874,20.1788,91.9464,92.8117,92.3801,,,,,,,5.2747,7.4468,48.4828,26.9459,51.5172,73.0541,,,
Maharashtra,age_34_plus,27,31.994,34.2739,75.43,92.447,83.8261,,,,,,,3.2085,5.7064,71.3449,44.2382,28.6551,55.7618,,,
Maharashtra,age_below10,27,95.1354,94.9649,0.0,0.0,0.0,1.5105,1.5383,1.3615,1.3237,34.2462,32.8157,0.0,0.0,74.7113,74.0354,25.2887,25.9646,32.8847,65.7538,67.1843
Andhra Pradesh,age_10_13,28,23.9864,25.0332,2.3009,1.1811,1.7208,2.3162,2.3711,8.7777,6.598,19.599,14.4726,0.0,0.0,14.4873,9.7234,85.5127,90.2766,10.8213,80.401,85.5274
Andhra Pradesh,age_14_17,28,5.5156,4.4391,12.0151,2.7387,7.0694,3.6206,4.2425,29.1955,26.9481,39.9558,33.4113,0.0,0.0,20.4999,12.4817,79.5001,87.5183,10.7603,60.0442,66.5887
Andhra Pradesh,age_18_21,28,6.8231,4.5014,59.4418,18.3533,39.4562,4.2309,5.8426,53.9577,46.625,69.3612,52.4377,0.0,0.0,35.4315,16.9183,64.5685,83.0817,15.4035,30.6388,47.5623
Andhra Pradesh,age_22_25,28,9.2882,5.575,85.7942,62.5953,74.5397,,,,,,,12.1954,17.5016,51.1908,25.3016,48.8092,74.6984,,,
Andhra Pradesh,age_26_29,28,13.7207,8.0819,91.1999,85.1012,88.2383,,,,,,,12.9715,19.5393,67.5077,39.5411,32.4923,60.4589,,,
Andhra Pradesh,age_30_33,28,16.6107,9.9809,90.5783,93.9662,92.2769,,,,,,,9.64,14.8422,76.2471,49.5477,23.7529,50.4523,,,
Andhra Pradesh,age_34_plus,28,18.4645,14.5988,73.9942,92.6303,83.147,,,,,,,5.5405,9.4411,90.4906,72.1654,9.5094,27.8346,,,
Andhra Pradesh,age_below10,28,91.3981,91.2966,0.0,0.0,0.0,1.3061,1.3563,1.8354,1.5244,30.5348,28.8269,0.0,0.0,73.5767,72.8843,26.4233,27.1157,28.6994,69.4652,71.1731
Karnataka,age_10_13,29,29.8021,30.0289,2.9148,1.2554,2.0668,2.1052,2.3265,5.2275,4.6937,14.3423,10.9252,0.0,0.0,8.9325,5.8874,91.0675,94.1126,9.1148,85.6577,89.0748
Karnataka,age_14_17,29,5.3882,4.7299,11.88,2.6509,6.9799,3.1296,4.0037,23.3721,28.2751,41.7754,36.0259,0.0,0.0,12.9743,8.2438,87.0257,91.7562,18.4033,58.2246,63.9741
Karnataka,age_18_21,29,7.0297,6.2097,53.8092,10.4516,31.7682,3.0074,5.1039,42.9489,56.8335,74.2168,64.4979,0.0,0.0,21.071,11.6567,78.929,88.3433,31.2678,25.7832,35.5021
Karnataka,age_22_25,29,8.9343,7.7858,81.6797,42.0789,61.7097,,,,,,,7.2976,8.3277,29.1177,14.9246,70.8823,85.0754,,,
Karnataka,age_26_29,29,13.4112,10.9178,88.7425,69.3732,78.9857,,,,,,,7.9312,10.6056,42.0183,22.9713,57.9817,77.0287,,,
Karnataka,age_30_33,29,17.5833,13.4902,89.7747,88.5985,89.1854,,,,,,,6.6985,10.2512,53.0112,30.1094,46.9888,69.8906,,,
Karnataka,age_34_plus,29,26.571,23.3847,70.1834,93.1851,81.432,,,,,,,4.0781,8.3995,77.4421,51.0358,22.5579,48.9642,,,
Karnataka,age_below10,29,95.6159,95.5154,0.0,0.0,0.0,1.0316,1.0748,0.8596,0.8773,35.8465,35.1494,0.0,0.0,74.1379,73.7611,25.8621,26.2389,34.9869,64.1535,64.8506
Goa,age_10_13,30,31.0745,32.0032,3.5219,2.111,2.7935,3.9639,3.5921,0.7188,0.8497,4.6005,4.5384,0.0,0.0,2.711,2.2402,97.289,97.7598,3.8817,95.3995,95.4616
Goa,age_14_17,30,1.1841,1.7278,9.4345,3.4094,6.3863,5.4708,5.1406,4.7079,3.8607,13.2956,10.7218,0.0,0.0,2.4412,1.6366,97.5588,98.3634,8.5876,86.7044,89.2782
Goa,age_18_21,30,2.1703,2.0383,17.2082,7.1372,12.1366,7.8776,8.3433,19.3878,18.1238,40.7347,33.2136,0.0,0.0,2.2041,2.0758,97.7959,97.9242,21.3469,59.2653,66.7864
Goa,age_22_25,30,3.172,2.2917,43.4749,15.883,29.6711,,,,,,,10.8211,7.8205,3.1055,2.0101,96.8945,97.9899,,,
Goa,age_26_29,30,5.1828,2.7575,70.5676,34.1362,52.9759,,,,,,,8.2954,8.0591,5.4815,2.4811,94.5185,97.5189,,,
Goa,age_30_33,30,9.606,4.1743,84.3838,62.6175,73.7353,,,,,,,4.2223,6.2615,10.3686,4.2891,89.6314,95.7109,,,
Goa,age_34_plus,30,20.825,20.0457,64.8298,89.3661,76.3855,,,,,,,1.7881,3.5493,53.3263,24.4796,46.6737,75.5204,,,
Goa,age_below10,30,95.9432,95.6226,0.0,0.0,0.0,2.663,2.6325,1.2672,1.0881,27.034,26.7989,0.0,0.0,72.0284,71.8767,27.9716,28.1233,25.7668,72.966,73.2011
Lakshadweep,age_10_13,31,25.1022,30.8433,1.9544,0.5766,1.3003,0.4375,0.5348,0.1591,0.2674,3.5402,2.8966,0.0,0.0,2.7049,2.7629,97.2951,97.2371,3.3811,96.4598,97.1034
Lakshadweep,age_14_17,31,1.8158,1.3551,5.7192,1.9053,3.8714,0.7433,1.2512,0.2624,1.2048,8.92,6.5338,0.0,0.0,1.268,0.8341,98.732,99.1659,8.6576,91.08,93.4662
Lakshadweep,age_18_21,31,2.1782,1.711,21.7874,3.3805,12.3268,0.8738,1.306,3.5922,7.6493,43.4951,37.5933,0.0,0.0,1.9417,1.8657,98.0583,98.1343,39.9029,56.5049,62.4067
Lakshadweep,age_22_25,31,2.5969,3.2366,58.9072,12.1212,35.8998,,,,,,,10.0113,5.878,1.9195,1.3578,98.0805,98.6422,,,
Lakshadweep,age_26_29,31,4.1065,4.3575,80.6719,36.2627,58.5236,,,,,,,10.5068,10.4655,1.8875,1.7204,98.1125,98.2796,,,
Lakshadweep,age_30_33,31,8.957,5.6572,88.9834,72.0787,80.7799,,,,,,,4.9761,8.777,2.8991,1.435,97.1009,98.565,,,
Lakshadweep,age_34_plus,31,27.1525,17.3874,74.2149,93.2469,83.739,,,,,,,0.9332,5.1515,23.6038,5.7533,76.3962,94.2467,,,
Lakshadweep,age_below10,31,96.9278,97.3802,0.0,0.0,0.0,0.5052,0.5939,0.0389,0.1485,17.5282,17.706,0.0,0.0,73.4394,74.6682,26.5606,25.3318,17.4893,82.4718,82.294
Kerala,age_10_13,32,28.9877,32.034,1.3536,0.5552,0.9488,0.737,0.7396,0.7993,1.2244,6.176,7.1514,0.0,0.0,3.4617,3.4633,96.5383,96.5367,5.3768,93.824,92.8486
Kerala,age_14_17,32,8.0903,8.5524,6.2241,1.2789,3.7069,1.4114,1.7923,7.2409,14.428,20.8823,26.3313,0.0,0.0,3.197,3.4817,96.803,96.5183,13.6414,79.1177,73.6687
Kerala,age_18_21,32,10.8919,10.6159,40.1155,7.6779,24.2596,1.5865,2.4471,26.78,48.0157,60.0076,61.1005,0.0,0.0,7.3613,4.6913,92.6387,95.3087,33.2276,39.9924,38.8995
Kerala,age_22_25,32,11.8797,10.8533,69.973,32.7698,52.2052,,,,,,,8.7047,6.1762,11.6776,6.4748,88.3224,93.5252,,,
Kerala,age_26_29,32,13.0489,13.91,81.518,58.4549,70.3594,,,,,,,8.5342,5.8628,16.1958,10.2352,83.8042,89.7648,,,
Kerala,age_30_33,32,14.8042,15.319,83.8555,80.0282,81.9987,,,,,,,5.3243,4.0993,21.4155,13.6034,78.5845,86.3966,,,
Kerala,age_34_plus,32,25.6356,27.0183,65.9289,89.9749,77.5096,,,,,,,3.0578,3.0795,50.1668,33.7661,49.8332,66.2339,,,
Kerala,age_below10,32,95.9249,95.7899,0.0,0.0,0.0,0.5569,0.4929,0.2149,0.2556,25.3774,25.9766,0.0,0.0,71.7806,71.7795,28.2194,28.2205,25.1624,74.6226,74.0234
Tamil Nadu,age_10_13,33,14.8172,16.0228,2.0778,0.7979,1.4144,1.7773,1.7722,3.9813,4.0829,15.6175,13.8526,0.0,0.0,9.7003,8.0318,90.2997,91.9682,11.6361,84.3825,86.1474
Tamil Nadu,age_14_17,33,3.26,3.5132,11.5176,2.1989,6.5194,2.2099,2.5033,22.4562,26.569,41.6013,39.7005,0.0,0.0,14.2937,10.6803,85.7063,89.3197,19.1451,58.3987,60.2995
Tamil Nadu,age_18_21,33,4.6838,4.0421,58.7226,14.4181,37.206,1.8019,2.7108,49.949,54.5069,76.6574,67.4112,0.0,0.0,26.2528,15.065,73.7472,84.935,26.7084,23.3426,32.5888
Tamil Nadu,age_22_25,33,6.2551,5.1226,85.6263,54.6937,70.6494,,,,,,,7.2933,9.334,38.548,22.1039,61.452,77.8961,,,
Tamil Nadu,age_26_29,33,8.9868,7.0767,91.9587,80.4741,86.3198,,,,,,,7.7249,9.4249,51.3691,32.5197,48.6309,67.4803,,,
Tamil Nadu,age_30_33,33,10.3355,8.2095,92.0943,92.4446,92.2684,,,,,,,6.7272,8.1022,61.2801,39.4098,38.7199,60.5902,,,
Tamil Nadu,age_34_plus,33,15.3719,12.8466,74.3629,92.3425,83.3707,,,,,,,4.3543,5.2662,82.5518,63.2741,17.4482,36.7259,,,
Tamil Nadu,age_below10,33,90.4623,90.6778,0.0,0.0,0.0,1.2076,1.3233,1.0132,1.0596,24.6789,24.301,0.0,0.0,73.5344,73.6765,26.4656,26.3235,23.6658,75.3211,75.699
Andaman & Nicobar Islands,age_10_13,35,26.0546,29.9435,1.3699,0.9098,1.1285,2.1991,2.935,1.0417,1.782,8.7963,9.8532,0.0,0.0,6.713,7.2327,93.287,92.7673,7.7546,91.2037,90.1468
Andaman & Nicobar Islands,age_14_17,35,2.4362,2.3631,5.3391,0.9485,3.0748,2.1645,2.5176,7.7922,9.7684,20.671,24.2699,0.0,0.0,6.71,6.2437,93.29,93.7563,12.8788,79.329,75.7301
Andaman & Nicobar Islands,age_18_21,35,0.9259,3.5503,22.8745,6.8681,14.4712,4.7516,5.2632,12.527,23.8722,42.5486,46.9925,0.0,0.0,6.6955,4.6992,93.3045,95.3008,30.0216,57.4514,53.0075
Andaman & Nicobar Islands,age_22_25,35,2.8897,3.1071,53.9206,26.8756,40.2685,,,,,,,5.5166,2.2077,10.3611,7.2782,89.6389,92.7218,,,
Andaman & Nicobar Islands,age_26_29,35,4.3676,4.1273,69.6356,48.7437,59.1528,,,,,,,5.5505,3.6113,13.6006,9.775,86.3994,90.225,,,
Andaman & Nicobar Islands,age_30_33,35,4.1289,4.3928,81.6425,67.8349,74.6239,,,,,,,5.0352,3.9621,20.0483,9.5794,79.9517,90.4206,,,
Andaman & Nicobar Islands,age_34_plus,35,12.4655,10.3683,73.3056,79.3301,76.4445,,,,,,,1.4596,2.3966,52.1427,31.2044,47.8573,68.7956,,,
Andaman & Nicobar Islands,age_below10,35,94.1304,94.572,0.0,0.0,0.0,1.1374,1.0292,0.1896,1.2864,35.545,38.5077,0.0,0.0,81.2475,81.47,18.7525,18.53,35.3555,64.455,61.4923
