state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Punjab,age_below10,03,95.1429,94.2536,94.8025,96.0648,94.4077,95.0337,1.3395,0.8492,0.9728,0.8686,0.9513,0.8156,73.0146,74.0861,74.1535,69.5882,77.5615,72.6888,26.9854,25.9139,25.8465,30.4118,22.4385,27.3112,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,age_10_13,04,26.6667,36.4017,38.8174,21.5686,44.1146,26.023,0.9009,0.84,2.2061,0.0,2.9123,0.4577,0.0,3.629,6.8579,0.0,6.4176,2.3416,100.0,96.371,93.1421,100.0,93.5824,97.6584,0.0,4.1841,6.4079,3.9216,5.2712,7.8645
Chandigarh,age_14_17,04,0.0,3.9216,4.3674,0.0,6.175,0.8952,7.2072,9.2818,17.0973,4.0584,24.1956,6.314,2.5641,3.0418,6.7432,0.0,8.3814,1.171,97.4359,96.9582,93.2568,100.0,91.6186,98.829,28.9474,39.6078,40.5093,46.2963,38.422,41.6798
Chandigarh,age_18_21,04,0.0,4.2683,2.1359,0.0,3.3333,0.396,36.036,29.0634,38.5151,29.7078,47.675,31.7493,2.381,6.2857,7.8052,0.0,12.9534,1.4057,97.619,93.7143,92.1948,100.0,87.0466,98.5943,2.439,17.6829,12.0942,0.0,22.5,5.8218
Chandigarh,age_22_25,04,1.1765,2.2026,1.7386,0.0,3.8125,0.2767,19.8198,24.9475,21.2353,39.2857,11.4485,30.7442,3.4091,9.9206,11.721,1.1364,20.3202,1.472,96.5909,90.0794,88.279,98.8636,79.6798,98.528,2.9412,9.6916,11.7778,1.1494,21.2262,3.9563
Chandigarh,age_26_29,04,1.9231,3.0233,2.0128,1.0638,5.6136,0.2863,13.0631,14.8677,6.49,10.0649,2.2534,10.9339,8.7719,9.4737,17.8302,0.0,32.954,2.2233,91.2281,90.5263,82.1698,100.0,67.046,97.7767,3.8462,8.8372,12.5154,1.0638,20.3655,5.6594
Chandigarh,age_30_33,04,0.0,1.9737,2.4068,0.0,6.4677,0.5021,6.3063,3.9479,1.0195,0.974,0.4965,2.0244,6.6667,11.6279,23.5813,1.3514,42.7677,3.6012,93.3333,88.3721,76.4187,98.6486,57.2323,96.3988,7.1429,8.8816,12.2781,0.0,18.7065,7.2103
Chandigarh,age_34_plus,04,3.2787,2.407,2.7704,1.5837,9.8219,1.4208,0.0,1.428,0.3057,0.487,0.1337,0.6017,22.293,17.0599,31.7047,3.2823,62.0131,12.9384,77.707,82.9401,68.2953,96.7177,37.9869,87.0616,13.9344,10.7221,12.1178,5.2036,15.6503,9.4483
Chandigarh,age_below10,04,100.0,98.0892,97.0886,96.0,96.4952,97.8807,1.3514,0.672,1.0287,0.8117,0.7639,0.9155,76.0,73.6134,73.1649,75.4902,74.3888,70.9396,24.0,26.3866,26.8351,24.5098,25.6112,29.0604,0.0,0.0,0.0,0.0,0.0,0.0
Uttarakhand,age_10_13,05,27.9302,30.2362,30.1006,28.0851,48.2827,33.8341,0.5571,0.9865,2.133,0.316,1.4458,0.9313,4.2959,5.5762,4.1559,4.0816,14.899,6.4012,95.7041,94.4238,95.8441,95.9184,85.101,93.5988,13.7157,8.9764,10.612,10.6383,6.1908,10.2404
