state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female
Bihar,age_14_17,10,28.4777,26.6296,26.5743,28.8502,29.0049,27.0845,19.9015,24.0703,26.1657,23.4547,25.3176,26.6766
Bihar,age_18_21,10,56.4663,57.1583,56.8512,54.2293,56.692,55.9825,60.7498,59.1388,57.5129,54.6542,58.8754,57.374
Bihar,age_below10,10,2.5593,2.0087,2.575,2.6644,2.3394,2.4612,1.8225,1.9386,2.1083,2.0574,1.9705,2.2378
Sikkim,age_10_13,11,1.5397,1.7496,1.8858,3.4743,3.2521,1.5053,0.3796,0.6874,2.0534,1.0232,1.2472,1.8162
Sikkim,age_14_17,11,25.0522,28.3179,22.4826,22.8097,22.7385,19.0592,8.5263,19.2036,20.9853,14.2106,27.4934,20.7112
Sikkim,age_18_21,11,39.1701,39.6825,39.8645,32.4773,36.9337,36.9362,38.9732,43.8321,38.7335,33.4475,41.7226,38.1792
Sikkim,age_below10,11,1.2526,1.709,1.721,2.719,1.8989,1.4698,0.9916,1.4924,1.7313,1.1903,1.8747,1.6765
Arunachal Pradesh,age_10_13,12,1.8012,1.5968,0.9815,1.9324,1.3408,1.116,0.8698,1.1504,1.441,1.3236,1.5516,1.2701
Arunachal Pradesh,age_14_17,12,17.8193,20.6631,13.5949,15.2778,15.5266,14.0943,10.8726,17.2831,16.718,14.7235,20.1148,15.4768
Arunachal Pradesh,age_18_21,12,51.5743,52.2801,57.1276,52.3551,52.5733,54.1438,48.8681,53.9326,48.1558,46.4951,53.8201,51.5907
Arunachal Pradesh,age_below10,12,1.4162,1.3938,1.3056,1.6908,1.2103,1.3387,1.4636,1.4504,1.2759,1.4004,1.5045,1.3282
Nagaland,age_10_13,13,1.0541,0.6145,0.3391,0.7892,0.7656,0.4377,0.3881,0.5109,0.9651,0.6583,0.615,0.5927
Nagaland,age_14_17,13,14.4011,12.5266,8.6642,11.9504,10.4575,9.191,7.491,11.7393,12.8283,10.0268,13.0843,10.5089
Nagaland,age_18_21,13,37.7823,39.735,39.4844,36.274,36.4756,37.6267,34.5144,40.8439,36.0095,31.3751,41.6845,37.2119
Nagaland,age_below10,13,1.9576,1.596,1.611,1.7193,1.5904,1.5846,1.3646,1.6003,1.6625,1.4307,1.6732,1.6076
Manipur,age_10_13,14,0.5815,0.68,0.5641,0.7195,0.7783,0.5642,0.4047,0.5072,0.6182,0.5226,0.6017,0.594
Manipur,age_14_17,14,12.3687,13.7621,9.7626,10.2549,13.1133,9.7172,7.3265,11.9322,11.4951,8.995,13.0544,10.7764
Manipur,age_18_21,14,40.3748,39.8308,37.0043,35.7435,39.3472,34.9223,33.1797,39.877,35.7869,30.2874,39.5594,35.9019
Manipur,age_below10,14,1.2307,1.0242,0.937,1.2347,1.0434,1.0244,1.0376,1.1431,1.0458,1.0737,1.1031,1.0718
Mizoram,age_10_13,15,0.3769,0.2549,0.4162,0.3492,0.8626,0.3092,0.1093,0.1341,0.1963,0.13,0.2751,0.2855
Mizoram,age_14_17,15,10.9162,8.9424,10.1134,8.8475,16.722,7.9962,3.0155,6.6617,8.4127,4.1599,9.708,8.4642
Mizoram,age_18_21,15,44.7173,46.6056,48.128,44.0047,51.633,43.0898,35.8956,45.9289,45.0985,34.9736,47.7202,44.4586
Mizoram,age_below10,15,0.6238,0.6781,0.944,0.6403,1.1549,0.7687,0.5492,0.627,0.6722,0.5294,0.7428,0.7357
Tripura,age_10_13,16,1.6433,3.8371,1.2908,3.1902,4.0508,2.002,0.3597,1.2843,2.9806,2.3636,2.7881,2.6465
Tripura,age_14_17,16,19.798,31.6016,16.2289,30.6605,27.0989,20.0267,9.8978,24.9898,27.3425,20.8775,32.88,25.6523
Tripura,age_18_21,16,55.1573,45.825,55.8563,44.6629,46.2265,45.5331,43.5731,47.7116,43.358,37.1158,46.5128,45.1838
Tripura,age_below10,16,0.9764,1.2803,0.9182,1.1899,1.3898,1.0478,1.0034,1.1542,1.3148,1.1214,1.2252,1.2567
Meghalaya,age_10_13,17,0.7884,0.9271,0.9428,1.5711,1.2955,0.8307,0.4407,0.7733,1.1091,0.6326,1.0641,0.9892
Meghalaya,age_14_17,17,12.3133,13.4717,10.5221,11.8684,14.2504,10.5468,5.9685,10.9596,13.829,9.8034,13.9608,12.1932
Meghalaya,age_18_21,17,53.0931,52.3413,51.5871,47.3248,48.5533,48.4555,40.66,48.6997,45.5604,41.6861,51.0287,47.6467
Meghalaya,age_below10,17,1.5311,1.5807,1.8196,3.0998,1.8241,1.5567,1.2685,1.5411,1.6337,1.0724,1.7115,1.6682
Assam,age_10_13,18,1.2223,1.6806,0.9075,1.2755,1.5174,1.0188,0.4206,0.827,1.3288,1.0008,1.5262,1.2351
Assam,age_14_17,18,18.3403,22.3048,14.4978,15.3954,20.9761,15.1196,9.1184,18.1963,19.6541,14.6703,22.6502,18.5874
Assam,age_18_21,18,51.011,50.026,48.4235,48.628,50.8828,46.49,43.0166,49.9011,48.3611,44.2565,50.3304,48.3568
Assam,age_below10,18,1.9765,1.8347,1.7947,2.1445,1.9962,1.8294,1.4984,1.7574,1.8988,1.7794,1.9007,1.9119
West Bengal,age_10_13,19,3.967,5.0018,3.5671,4.5991,6.6053,3.7428,0.7201,1.8856,4.4387,3.3925,3.5471,4.2355
West Bengal,age_14_17,19,37.7337,41.3068,30.9585,41.0803,40.1322,31.5248,16.5651,32.5569,34.7355,25.6844,39.8744,34.5751
West Bengal,age_18_21,19,43.0102,40.5368,42.1717,41.1625,38.4928,38.781,48.5983,46.1229,40.6671,35.603,41.9716,40.8906
West Bengal,age_below10,19,1.447,1.4214,1.4232,1.2795,1.7014,1.3547,1.1146,1.2288,1.4897,1.3257,1.3153,1.4637
Jharkhand,age_10_13,20,2.4878,3.1907,2.3541,3.2433,3.6468,2.5637,1.3377,2.1002,3.3899,2.7226,2.6716,3.0359
Jharkhand,age_14_17,20,28.3864,34.2323,25.5253,31.406,33.7108,26.8447,21.5929,28.9277,31.2251,26.091,32.1106,30.8184
Jharkhand,age_18_21,20,52.6888,47.6061,52.0216,51.2144,48.2821,49.868,52.1992,50.9245,46.7947,44.7097,49.7099,48.5259
Jharkhand,age_below10,20,1.9592,1.7413,1.933,1.6059,1.9991,1.8004,1.3938,1.5731,1.8277,1.5556,1.6502,1.888
Odisha,age_10_13,21,0.9408,1.6385,0.9776,1.1921,1.6595,1.0181,0.3074,0.5168,1.4395,1.083,1.142,1.2627
Odisha,age_14_17,21,22.5328,25.2585,21.0496,22.4179,26.1065,20.4279,9.4241,15.9158,21.7678,17.8128,22.4496,21.7039
Odisha,age_18_21,21,57.7111,54.1488,56.2591,54.8155,54.2088,51.7672,48.507,54.464,50.4897,43.4029,54.8415,52.5577
Odisha,age_below10,21,1.0804,1.0701,1.0444,1.1732,1.1448,1.0809,0.9968,0.977,1.1196,1.0849,1.0068,1.1062
Chhattisgarh,age_10_13,22,4.8609,4.7832,5.1743,4.3505,6.528,4.8067,0.7371,1.5393,4.9975,3.9289,2.9708,4.6491
