state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_buddhist_male,CMPR_christian_female,CMPR_christian_male,CMPR_hindu_female,CMPR_hindu_male,CMPR_jain_female,CMPR_jain_male,CMPR_muslim_female,CMPR_muslim_male,CMPR_sikh_female,CMPR_sikh_male,Illiteracy_rate_buddhist_female,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_female,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_female,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_female,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_female,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_female,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_female,Literacy_rate_buddhist_male,Literacy_rate_christian_female,Literacy_rate_christian_male,Literacy_rate_hindu_female,Literacy_rate_hindu_male,Literacy_rate_jain_female,Literacy_rate_jain_male,Literacy_rate_muslim_female,Literacy_rate_muslim_male,Literacy_rate_sikh_female,Literacy_rate_sikh_male,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Himachal Pradesh,age_18_21,02,3.8516,3.2432,1.2684,0.0,4.7535,0.9548,33.3673,21.7285,40.0805,18.815,44.9486,21.8303,40.4851,11.0251,50.9532,32.2719,43.0017,13.7735,3.3103,2.3136,9.3137,5.4852,3.0809,2.5778,0.0,3.0303,22.5894,14.2477,1.5664,2.1875,96.6897,97.6864,90.6863,94.5148,96.9191,97.4222,100.0,96.9697,77.4106,85.7523,98.4336,97.8125,16.0485,20.0,11.7159,5.5556,17.2095,8.3386
Himachal Pradesh,age_below10,02,96.3998,96.2329,94.9265,95.2381,96.0959,95.9602,0.6582,0.5837,0.9285,0.5202,1.0929,1.0181,1.4925,0.9671,1.2447,0.9553,0.8694,1.1004,68.6515,66.8841,70.8292,72.243,71.2643,70.8139,69.7842,71.5976,76.9744,74.24,70.2972,69.3053,31.3485,33.1159,29.1708,27.757,28.7357,29.1861,30.2158,28.4024,23.0256,25.76,29.7028,30.6947,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,26.4545,38.6505,31.7643,22.3284,40.0747,32.4661,0.7246,0.2739,0.4645,0.1443,0.8689,0.2662,0.233,0.0912,1.3412,0.3387,0.4031,0.1488,4.6794,4.6154,10.904,9.6274,8.6771,7.5119,2.6227,2.2996,18.2663,15.1216,6.4289,5.8014,95.3206,95.3846,89.096,90.3726,91.3229,92.4881,97.3773,97.7004,81.7337,84.8784,93.5711,94.1986,9.5455,6.9544,9.4377,10.3388,6.312,8.2768
Punjab,age_14_17,03,1.1997,4.9704,3.0224,0.7955,5.7394,2.8617,7.6965,1.4442,7.1892,1.1712,9.2111,1.9499,3.326,0.4714,13.6202,2.9725,6.8654,1.2348,3.8715,4.2705,14.6869,12.8494,8.3081,7.7352,2.179,2.2354,19.8071,17.9172,7.2863,6.9586,96.1285,95.7295,85.3131,87.1506,91.6919,92.2648,97.821,97.7646,80.1929,82.0828,92.7137,93.0414,44.7301,35.92,39.8106,40.0955,36.4355,39.2202
Punjab,age_18_21,03,1.5748,3.3395,1.7414,0.2899,3.6917,1.7143,43.4892,20.9288,49.2434,27.832,43.6706,23.2509,39.5523,10.0905,49.1167,31.8511,46.9337,25.9091,5.0822,4.824,18.7252,16.7726,10.0705,9.2749,2.5424,2.5671,23.5216,21.4544,8.7743,8.6895,94.9178,95.176,81.2748,83.2274,89.9295,90.7251,97.4576,97.4329,76.4784,78.5456,91.2257,91.3105,18.2677,19.0926,13.9884,2.029,20.4914,13.2763
Punjab,age_below10,03,95.1429,94.2536,94.8025,96.0648,94.4077,95.0337,1.3395,1.4318,0.8492,1.0831,0.9728,1.1684,0.8686,1.7261,0.9513,1.0155,0.8156,0.9627,73.0146,72.234,74.0861,72.9339,74.1535,73.0105,69.5882,69.5538,77.5615,76.0478,72.6888,71.7643,26.9854,27.766,25.9139,27.0661,25.8465,26.9895,30.4118,30.4462,22.4385,23.9522,27.3112,28.2357,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,age_10_13,04,26.6667,36.4017,38.8174,21.5686,44.1146,26.023,0.9009,0.4219,0.84,0.1393,2.2061,0.5656,0.0,0.0,2.9123,0.2688,0.4577,0.1129,0.0,3.4483,3.629,3.9877,6.8579,5.1805,0.0,0.0,6.4176,8.0431,2.3416,1.8574,100.0,96.5517,96.371,96.0123,93.1421,94.8195,100.0,100.0,93.5824,91.9569,97.6584,98.1426,0.0,4.1841,6.4079,3.9216,5.2712,7.8645
Chandigarh,age_14_17,04,0.0,3.9216,4.3674,0.0,6.175,0.8952,7.2072,2.5316,9.2818,1.4856,17.0973,4.3774,4.0584,0.5226,24.1956,4.9652,6.314,0.7776,2.5641,5.4545,3.0418,2.8986,6.7432,5.6097,0.0,1.5385,8.3814,12.6233,1.171,0.9728,97.4359,94.5455,96.9582,97.1014,93.2568,94.3903,100.0,98.4615,91.6186,87.3767,98.829,99.0272,28.9474,39.6078,40.5093,46.2963,38.422,41.6798
Chandigarh,age_18_21,04,0.0,4.2683,2.1359,0.0,3.3333,0.396,36.036,20.2532,29.0634,15.9239,38.5151,27.6209,29.7078,9.2334,47.675,35.7132,31.7493,11.9232,2.381,3.8462,6.2857,5.291,7.8052,7.6295,0.0,0.0,12.9534,13.5837,1.4057,0.9543,97.619,96.1538,93.7143,94.709,92.1948,92.3705,100.0,100.0,87.0466,86.4163,98.5943,99.0457,2.439,17.6829,12.0942,0.0,22.5,5.8218
Chandigarh,age_below10,04,100.0,98.0892,97.0886,96.0,96.4952,97.8807,1.3514,0.4219,0.672,0.8357,1.0287,1.1392,0.8117,1.2195,0.7639,0.9409,0.9155,1.2344,76.0,71.7391,73.6134,69.541,73.1649,72.1495,75.4902,70.0935,74.3888,72.7273,70.9396,69.5491,24.0,28.2609,26.3866,30.459,26.8351,27.8505,24.5098,29.9065,25.6112,27.2727,29.0604,30.4509,0.0,0.0,0.0,0.0,0.0,0.0
