state_name,age_bracket,state_code,Below_primary_share_ST_female,CMPR_ST_female,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_dropout_ST_female,Dropout_rate_ST_female,Illiteracy_rate_ST_female,Literacy_rate_ST_female,Non_worker_dropout_ST_female,School_attendance_rate_ST_female
Mizoram,age_below10,15,94.6311,0.0,0.0,0.9663,0.2733,26.2179,74.6131,25.3869,25.9446,73.7821
Tripura,age_10_13,16,39.9275,1.835,1.369,1.6125,1.7047,9.8891,6.9717,93.0283,8.1844,90.1109
Tripura,age_14_17,16,11.3193,24.9178,15.654,3.4528,11.4982,27.521,9.2369,90.7631,16.0228,72.479
Tripura,age_18_21,16,15.6753,69.3519,57.4368,4.6887,30.609,62.589,14.3009,85.6991,31.98,37.411
Tripura,age_below10,16,96.0824,0.0,0.0,0.5365,0.3832,32.0693,74.0656,25.9344,31.6861,67.9307
Meghalaya,age_10_13,17,52.9482,1.987,1.3834,4.5656,2.4455,12.9481,12.5661,87.4339,10.5026,87.0519
Meghalaya,age_14_17,17,18.1317,16.2531,9.9089,7.0796,11.5354,21.1956,9.0119,90.9881,9.6602,78.8044
Meghalaya,age_18_21,17,17.1021,54.9961,43.5294,7.5401,27.2662,43.554,12.9325,87.0675,16.2878,56.446
Meghalaya,age_below10,17,93.2037,0.0,0.0,1.9345,1.2347,36.2712,80.5824,19.4176,35.0365,63.7288
Assam,age_10_13,18,29.0552,1.9997,1.435,4.8469,2.5839,12.4637,9.9016,90.0984,9.8798,87.5363
Assam,age_14_17,18,5.3725,17.1114,10.4329,7.7953,10.0993,23.6702,10.2763,89.7237,13.5709,76.3298
Assam,age_18_21,18,6.1189,60.1413,44.7093,7.205,25.6017,52.0684,15.4352,84.5648,26.4668,47.9316
Assam,age_below10,18,92.6863,0.0,0.0,2.0818,1.0103,34.051,74.3308,25.6692,33.0407,65.949
West Bengal,age_10_13,19,42.715,2.1598,1.7066,1.8605,3.2354,18.4608,13.211,86.789,15.2254,81.5392
West Bengal,age_14_17,19,17.5953,27.6633,16.0885,3.3162,17.7037,41.052,18.77,81.23,23.3483,58.948
West Bengal,age_18_21,19,23.5698,72.2341,54.6907,3.4044,37.9846,72.861,30.3753,69.6247,34.8764,27.139
West Bengal,age_below10,19,95.1717,0.0,0.0,0.7033,0.6629,39.5674,74.8954,25.1046,38.9045,60.4326
Jharkhand,age_10_13,20,46.7437,2.0852,1.6464,5.9893,4.6941,17.9631,16.027,83.973,13.269,82.0369
Jharkhand,age_14_17,20,10.2559,21.4087,13.1427,7.8116,20.4291,36.1855,21.5879,78.4121,15.7564,63.8145
Jharkhand,age_18_21,20,9.8146,68.6091,54.5751,5.878,44.587,67.3018,37.429,62.571,22.7148,32.6982
Jharkhand,age_below10,20,95.652,0.0,0.0,1.8565,1.378,43.9468,78.05,21.95,42.5688,56.0532
Odisha,age_10_13,21,36.3995,1.7861,1.3717,2.2996,7.0933,25.8581,19.7825,80.2175,18.7649,74.1419
Odisha,age_14_17,21,11.8823,19.1188,11.9975,2.6424,34.9597,58.6077,28.9541,71.0459,23.6481,41.3923
Odisha,age_18_21,21,14.8322,68.1395,52.2135,1.7649,59.7523,86.9784,43.0424,56.9576,27.2261,13.0216
Odisha,age_below10,21,95.7246,0.0,0.0,1.0459,1.1597,38.3207,76.8274,23.1726,37.161,61.6793
Chhattisgarh,age_10_13,22,44.6221,1.4925,1.2293,5.3096,4.7009,14.7331,12.4184,87.5816,10.0322,85.2669
Chhattisgarh,age_14_17,22,7.6582,14.5975,9.1447,7.2012,25.0014,36.9788,16.9365,83.0635,11.9774,63.0212
Chhattisgarh,age_18_21,22,8.1242,69.1185,54.9479,4.712,55.6495,72.1961,25.9628,74.0372,16.5466,27.8039
Chhattisgarh,age_below10,22,97.519,0.0,0.0,1.435,0.7897,34.7318,76.5921,23.4079,33.9421,65.2682
Madhya Pradesh,age_10_13,23,44.7446,2.549,2.1395,3.9265,6.0012,18.6606,16.6826,83.3174,12.6594,81.3394
Madhya Pradesh,age_14_17,23,12.7754,24.9507,16.644,5.0159,30.5281,46.3177,25.6115,74.3885,15.7896,53.6823
Madhya Pradesh,age_18_21,23,12.5767,81.7227,69.7175,3.7702,60.2478,78.2306,43.2532,56.7468,17.9828,21.7694
Madhya Pradesh,age_below10,23,95.9703,0.0,0.0,1.3864,1.1485,39.2346,77.1592,22.8408,38.0862,60.7654
Gujarat,age_10_13,24,27.541,3.0974,2.467,2.5148,5.7694,19.8488,12.1247,87.8753,14.0793,80.1512
Gujarat,age_14_17,24,9.7564,23.1486,15.6383,3.9263,25.9613,46.1371,16.8139,83.1861,20.1758,53.8629
Gujarat,age_18_21,24,11.6035,76.0572,63.5936,4.5098,48.2021,72.9421,27.0884,72.9116,24.74,27.0579
Gujarat,age_below10,24,93.4668,0.0,0.0,1.0906,1.1359,35.8688,75.4618,24.5382,34.7329,64.1312
Daman & Diu,age_10_13,25,25.4296,1.6216,0.9973,1.0101,1.3468,5.8923,2.0202,97.9798,4.5455,94.1077
Daman & Diu,age_14_17,25,3.8062,14.1944,7.9498,1.8242,14.9254,29.6849,4.1459,95.8541,14.7595,70.3151
Daman & Diu,age_18_21,25,8.4459,61.4857,43.7282,5.2308,30.4615,68.6154,8.9231,91.0769,38.1538,31.3846
Daman & Diu,age_below10,25,94.8454,0.0,0.0,0.7553,0.6042,25.6798,69.2795,30.7205,25.0755,74.3202
Dadra & Nagar Haveli,age_10_13,26,30.4049,1.849,1.254,1.6584,3.4638,11.966,6.9277,93.0723,8.5022,88.034
Dadra & Nagar Haveli,age_14_17,26,14.2834,22.4877,14.2545,4.083,23.7881,41.8681,17.0149,82.9851,18.08,58.1319
Dadra & Nagar Haveli,age_18_21,26,15.9728,73.1211,61.7637,4.0435,41.2716,71.3051,30.3402,69.6598,30.0335,28.6949
Dadra & Nagar Haveli,age_below10,26,95.1592,0.0,0.0,0.3402,0.3969,25.9189,70.7258,29.2742,25.5221,74.0811
Maharashtra,age_10_13,27,43.7705,3.3305,2.7326,2.7741,4.9686,15.9928,11.1216,88.8784,11.0242,84.0072
Maharashtra,age_14_17,27,12.8752,23.0861,14.1007,4.6196,24.0726,38.12,13.8106,86.1894,14.0474,61.88
Maharashtra,age_18_21,27,14.7494,75.7932,58.5296,5.7346,48.9487,67.7986,21.7503,78.2497,18.8499,32.2014
Maharashtra,age_below10,27,95.1354,0.0,0.0,1.5105,1.3615,34.2462,74.7113,25.2887,32.8847,65.7538
Andhra Pradesh,age_10_13,28,23.9864,2.3009,1.7208,2.3162,8.7777,19.599,14.4873,85.5127,10.8213,80.401
Andhra Pradesh,age_14_17,28,5.5156,26.1977,15.1639,3.6206,29.1955,39.9558,20.4999,79.5001,10.7603,60.0442
Andhra Pradesh,age_18_21,28,6.8231,78.2658,61.1718,4.2309,53.9577,69.3612,35.4315,64.5685,15.4035,30.6388
Andhra Pradesh,age_below10,28,91.3981,0.0,0.0,1.3061,1.8354,30.5348,73.5767,26.4233,28.6994,69.4652
Karnataka,age_10_13,29,29.8021,2.9148,2.0668,2.1052,5.2275,14.3423,8.9325,91.0675,9.1148,85.6577
Karnataka,age_14_17,29,5.3882,24.4669,13.522,3.1296,23.3721,41.7754,12.9743,87.0257,18.4033,58.2246
Karnataka,age_18_21,29,7.0297,72.8863,49.1682,3.0074,42.9489,74.2168,21.071,78.929,31.2678,25.7832
Karnataka,age_below10,29,95.6159,0.0,0.0,1.0316,0.8596,35.8465,74.1379,25.8621,34.9869,64.1535
Goa,age_10_13,30,31.0745,3.5219,2.7935,3.9639,0.7188,4.6005,2.711,97.289,3.8817,95.3995
Goa,age_14_17,30,1.1841,9.8546,6.7753,5.4708,4.7079,13.2956,2.4412,97.5588,8.5876,86.7044
Goa,age_18_21,30,2.1703,32.4316,21.847,7.8776,19.3878,40.7347,2.2041,97.7959,21.3469,59.2653
Goa,age_below10,30,95.9432,0.0,0.0,2.663,1.2672,27.034,72.0284,27.9716,25.7668,72.966
Lakshadweep,age_10_13,31,25.1022,1.9544,1.3003,0.4375,0.1591,3.5402,2.7049,97.2951,3.3811,96.4598
Lakshadweep,age_14_17,31,1.8158,8.0768,4.8535,0.7433,0.2624,8.92,1.268,98.732,8.6576,91.08
Lakshadweep,age_18_21,31,2.1782,45.9948,26.9783,0.8738,3.5922,43.4951,1.9417,98.0583,39.9029,56.5049
Lakshadweep,age_below10,31,96.9278,0.0,0.0,0.5052,0.0389,17.5282,73.4394,26.5606,17.4893,82.4718
Kerala,age_10_13,32,28.9877,1.3536,0.9488,0.737,0.7993,6.176,3.4617,96.5383,5.3768,93.824
Kerala,age_14_17,32,8.0903,14.7492,8.3643,1.4114,7.2409,20.8823,3.197,96.803,13.6414,79.1177
Kerala,age_18_21,32,10.8919,61.3221,42.2,1.5865,26.78,60.0076,7.3613,92.6387,33.2276,39.9924
Kerala,age_below10,32,95.9249,0.0,0.0,0.5569,0.2149,25.3774,71.7806,28.2194,25.1624,74.6226
Tamil Nadu,age_10_13,33,14.8172,2.0778,1.4144,1.7773,3.9813,15.6175,9.7003,90.2997,11.6361,84.3825
Tamil Nadu,age_14_17,33,3.26,25.5037,14.1501,2.2099,22.4562,41.6013,14.2937,85.7063,19.1451,58.3987
Tamil Nadu,age_18_21,33,4.6838,78.1514,58.4695,1.8019,49.949,76.6574,26.2528,73.7472,26.7084,23.3426
Tamil Nadu,age_below10,33,90.4623,0.0,0.0,1.2076,1.0132,24.6789,73.5344,26.4656,23.6658,75.3211
Andaman & Nicobar Islands,age_10_13,35,26.0546,1.3699,1.1285,2.1991,1.0417,8.7963,6.713,93.287,7.7546,91.2037
Andaman & Nicobar Islands,age_14_17,35,2.4362,8.3045,4.864,2.1645,7.7922,20.671,6.71,93.29,12.8788,79.329
Andaman & Nicobar Islands,age_18_21,35,0.9259,43.1711,30.1196,4.7516,12.527,42.5486,6.6955,93.3045,30.0216,57.4514
Andaman & Nicobar Islands,age_below10,35,94.1304,0.0,0.0,1.1374,0.1896,35.545,81.2475,18.7525,35.3555,64.455
