CMPR_total_male,CMPR_total_female,state_code,state_name,age_bracket,CMPR_illiterate_male,CMPR_illiterate_female,CMPR_below_primary_male,CMPR_below_primary_female,CMPR_primary_male,CMPR_primary_female,CMPR_middle_male,CMPR_middle_female,CMPR_matric_male,CMPR_matric_female,CMPR_main_workers_male,CMPR_main_workers_female,CMPR_cultivators_male,CMPR_cultivators_female,CMPR_agri_labourers_male,CMPR_agri_labourers_female,CMPR_household_industry_male,CMPR_household_industry_female,CMPR_other_workers_male,CMPR_other_workers_female,CMPR_non_workers_male,CMPR_non_workers_female
23.7977,51.2549,02,HIMACHAL PRADESH,age_18_21,35.5583,47.0505,36.17,51.6791,33.4524,58.5601,26.5256,62.4171,16.5187,54.7706,23.6261,51.3404,31.6075,55.3079,29.5684,52.1825,21.2049,51.5744,18.7227,42.2926,24.2365,47.8688
1.0524,1.4428,02,HIMACHAL PRADESH,age_below10,0.9071,2.1043,0.9368,1.3553,0.9519,1.1421,1.0264,1.0148,1.1585,0.9135,1.0287,1.3432,0.8899,1.3967,0.9346,1.4632,1.3627,1.3178,1.105,1.2091,1.0362,1.5571
0.2188,0.7186,03,PUNJAB,age_10_13,0.3031,1.1491,0.3454,1.0603,0.2437,0.6611,0.2133,0.5119,0.1586,0.2945,0.1974,0.7293,0.1637,0.5888,0.1856,0.7604,0.2573,0.8221,0.2108,0.7323,0.3249,0.7177
1.7528,9.3602,03,PUNJAB,age_14_17,2.7862,13.4952,3.0506,13.7038,2.255,10.9487,1.814,9.0775,0.9735,4.3021,1.5737,8.234,1.4239,6.2231,1.828,10.4726,1.5417,7.8291,1.5802,8.126,2.6973,9.4774
27.2696,52.4626,03,PUNJAB,age_18_21,35.5013,57.307,34.0182,53.9229,33.03,57.7065,29.7549,56.6072,21.8958,49.0387,26.8437,45.4807,30.2879,48.8926,34.6711,56.93,25.4839,53.3977,23.7529,42.0118,28.6265,53.282
1.0866,0.978,03,PUNJAB,age_below10,0.8776,0.9363,0.9149,0.8846,0.983,0.8994,1.0829,0.9297,1.202,0.9702,1.1164,1.0865,0.975,0.9788,0.8909,0.8944,1.2287,1.1591,1.2191,1.1293,0.9523,0.9651
0.5189,2.2401,04,CHANDIGARH,age_10_13,1.2868,5.9997,1.161,3.9885,0.8618,2.498,0.7102,1.4404,0.3118,0.4293,0.5079,2.0829,0.1937,1.0417,1.2685,3.1088,0.5756,2.3018,0.5063,2.0797,0.5781,2.2716
4.1663,18.026,04,CHANDIGARH,age_14_17,10.1634,36.4661,9.62,31.8888,7.2756,27.8449,6.0377,21.1137,2.5933,8.8035,4.1544,15.3762,2.5178,11.9792,5.1797,23.3161,4.0292,21.3555,4.1621,15.2731,3.9281,18.6469
26.7909,41.7879,04,CHANDIGARH,age_18_21,47.5039,44.0103,45.778,47.1716,43.4869,52.7715,39.5866,56.317,23.6796,49.9021,27.3207,29.8655,29.632,41.1458,30.5497,31.6062,28.7414,46.9309,27.2789,29.5712,20.7205,44.8858
1.1653,1.1008,04,CHANDIGARH,age_below10,0.937,1.5987,1.0253,1.0738,1.054,0.7537,1.1108,0.6975,1.2048,0.7252,1.1977,1.1668,1.3557,1.0417,1.1628,3.6269,1.4198,1.023,1.1945,1.1606,0.8945,1.0743
0.3592,3.3587,05,UTTARAKHAND,age_10_13,0.7059,6.1944,0.6994,3.4994,0.4905,1.9788,0.2932,0.9943,0.1888,0.6024,0.2909,3.338,0.4334,3.9811,0.276,3.3073,0.3067,2.6679,0.2257,1.8107,0.7358,3.2531
3.1568,24.9802,05,UTTARAKHAND,age_14_17,5.9826,35.6964,6.2064,33.3819,4.4762,28.2674,2.9285,19.4033,1.6677,9.9363,2.652,27.0705,4.0682,30.9958,2.9044,27.3656,2.488,22.2857,1.9576,17.7065,5.5543,22.82
32.4548,50.9027,05,UTTARAKHAND,age_18_21,42.7248,46.6052,41.0169,50.228,41.3851,56.5958,38.5361,62.6346,27.0379,60.5325,31.9002,50.9592,39.9996,53.3888,44.1606,53.8149,29.5468,54.1999,26.375,43.8686,30.5861,50.3444
0.774,1.0774,05,UTTARAKHAND,age_below10,0.709,1.3949,0.6709,0.9567,0.6618,0.8301,0.6798,0.7862,0.8254,0.7086,0.7903,1.0732,0.6516,1.1552,0.6512,0.8416,0.8721,0.9879,0.8725,0.9331,0.7747,1.0808
0.7284,3.1029,06,HARYANA,age_10_13,1.0793,4.6667,1.1361,3.8409,0.9195,2.9488,0.7799,2.0314,0.5253,1.0478,0.6208,3.2014,0.9068,4.2367,0.6116,3.3706,0.4662,3.1542,0.485,2.5463,1.1921,2.9278
6.0914,26.0962,06,HARYANA,age_14_17,8.9558,33.9296,8.7549,30.1176,7.6167,28.2802,6.7429,24.9316,4.6802,15.773,5.2492,25.3613,7.3246,31.6625,5.6985,29.0666,3.9192,26.3158,4.1672,20.4852,9.7892,25.3679
39.7574,49.6662,06,HARYANA,age_18_21,46.9325,48.1848,46.2855,47.9815,46.7768,52.5841,44.168,54.9362,37.9665,56.7999,38.9958,46.1998,46.7762,50.1803,46.5601,52.9564,32.6056,48.0915,33.7865,41.7059,39.7951,50.3012
0.9689,1.5136,06,HARYANA,age_below10,0.9122,1.7854,0.8953,1.5496,0.9229,1.4042,0.9382,1.298,0.9491,1.0815,0.9643,1.5579,0.8984,1.7903,0.8282,1.4682,1.0156,1.5666,1.0235,1.4477,0.9987,1.4652
0.4319,2.6813,07,NCT OF DELHI,age_10_13,1.079,6.3779,1.012,4.6827,0.6798,3.2112,0.5339,1.9309,0.3085,0.8241,0.3844,2.4821,0.4476,3.0841,0.6859,4.4727,0.3237,3.4974,0.3842,2.4258,0.7201,2.6957
