state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
Bihar,age_14_17,10,5.2308,5.6596,5.0481,5.5242,6.3666,4.7957,4.5165,5.0921,8.7021,3.7725,5.2833,5.3112
Bihar,age_18_21,10,51.6884,50.2898,50.4931,47.4805,50.2347,48.213,48.4251,51.3121,44.027,40.4354,51.9209,48.8706
Bihar,age_below10,10,1.1287,1.0532,1.1203,1.2052,1.148,1.1207,1.0906,1.0347,1.2228,1.0997,1.0444,1.129
Sikkim,age_10_13,11,0.3868,0.5973,0.5594,0.8521,0.6228,0.3971,0.327,0.3076,0.9787,0.3078,0.4221,0.4644
Sikkim,age_14_17,11,5.4342,6.485,5.2282,4.6865,5.4171,4.0487,1.9082,3.7326,5.1251,3.3598,5.5384,4.2928
Sikkim,age_18_21,11,29.182,31.3016,29.2028,27.2063,26.0465,25.7681,19.6596,28.1071,22.8614,23.8115,32.7912,25.8422
Sikkim,age_below10,11,0.8702,0.9908,0.918,1.0956,0.7677,0.8461,0.762,0.7332,0.8666,0.8037,0.9986,0.8713
Arunachal Pradesh,age_10_13,12,0.5213,0.2646,0.354,0.5669,0.376,0.3733,0.4749,0.4547,0.39,0.3758,0.3409,0.3989
Arunachal Pradesh,age_14_17,12,3.1063,3.5935,3.0165,2.9655,3.1151,2.7675,2.5438,3.5398,3.4653,2.5233,3.4424,2.9698
Arunachal Pradesh,age_18_21,12,32.0517,35.1416,37.6222,31.3999,34.4756,32.4293,29.0461,35.7225,28.9116,27.9686,36.674,32.5393
Arunachal Pradesh,age_below10,12,0.8689,0.8944,0.8751,1.2211,0.8126,0.934,1.1334,1.0074,0.9826,0.9848,0.8689,0.9677
Nagaland,age_10_13,13,0.2845,0.1432,0.1161,0.2351,0.1779,0.1904,0.1976,0.193,0.1379,0.2526,0.2119,0.1844
Nagaland,age_14_17,13,2.2369,1.7086,1.4183,2.057,1.5742,1.6448,1.5225,1.8896,1.2803,1.8153,1.8381,1.613
Nagaland,age_18_21,13,20.2612,17.3984,17.9481,17.2495,17.094,17.731,16.8421,19.0047,9.4996,17.4274,19.1121,17.0185
Nagaland,age_below10,13,0.7629,0.6639,0.7757,0.764,0.7439,0.7597,0.7042,0.7186,0.5977,0.7448,0.7954,0.7445
Manipur,age_10_13,14,0.139,0.1954,0.223,0.5995,0.263,0.2103,0.2131,0.1806,0.2031,0.186,0.2057,0.216
Manipur,age_14_17,14,1.8657,2.0843,1.8257,1.9257,2.2222,1.6932,1.5497,2.0134,1.8675,1.5437,2.1951,1.7275
Manipur,age_18_21,14,20.6885,21.464,20.0166,17.2677,20.6149,17.977,16.981,21.1081,15.5692,15.8685,22.2166,17.7725
Manipur,age_below10,14,0.9729,0.7465,0.7379,1.2444,0.7822,0.8058,0.8621,0.7713,0.7291,0.8364,0.739,0.8186
Mizoram,age_10_13,15,0.1273,0.1534,0.1935,0.4669,0.2862,0.1394,0.1104,0.1433,0.0384,0.0824,0.1509,0.1442
Mizoram,age_14_17,15,2.2645,1.776,2.2194,1.0611,4.1748,1.5713,0.8553,1.3101,1.0124,0.9018,1.7437,1.545
