state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Manipur,age_10_13,14,30.9737,1.734,1.2752,1.5664,1.3138,10.5356,9.7019,90.2981,9.2218,89.4644
Manipur,age_14_17,14,3.9987,11.8162,7.5741,2.6786,7.0536,20.5952,8.4524,91.5476,13.5417,79.4048
Manipur,age_18_21,14,4.8193,40.8808,30.9137,3.8303,20.0943,42.7225,11.9623,88.0377,22.6282,57.2775
Manipur,age_below10,14,90.7987,0.0,0.0,0.6801,0.5739,33.3262,75.8298,24.1702,32.7524,66.6738
Mizoram,age_10_13,15,25.0,2.5641,1.0101,3.3333,0.0,10.0,6.6667,93.3333,10.0,90.0
Mizoram,age_14_17,15,5.7143,26.5306,15.0943,14.2857,0.0,5.7143,0.0,100.0,5.7143,94.2857
Mizoram,age_18_21,15,9.5238,52.0833,28.4722,0.0,17.3913,34.7826,8.6957,91.3043,17.3913,65.2174
Mizoram,age_below10,15,92.0,0.0,0.0,0.0,0.0,29.0909,74.2268,25.7732,29.0909,70.9091
Tripura,age_10_13,16,33.5512,1.6271,1.2124,0.6657,0.4383,4.759,1.9557,98.0443,4.3207,95.241
Tripura,age_14_17,16,6.6675,26.2487,14.5478,1.2183,2.9926,21.6599,2.1382,97.8618,18.6672,78.3401
Tripura,age_18_21,16,11.2946,69.9021,46.6962,1.5087,8.4013,61.8333,3.4606,96.5394,53.432,38.1667
Tripura,age_below10,16,97.639,0.0,0.0,0.3002,0.1787,27.1457,71.1925,28.8075,26.9671,72.8543
Meghalaya,age_10_13,17,48.1089,1.4315,1.0422,1.6352,1.5094,20.6289,16.8553,83.1447,19.1195,79.3711
Meghalaya,age_14_17,17,16.3823,20.1595,11.1749,3.1206,7.0922,30.7801,16.8794,83.1206,23.6879,69.2199
Meghalaya,age_18_21,17,11.5385,59.1813,39.1084,4.2135,11.236,48.0337,19.6629,80.3371,36.7978,51.9663
Meghalaya,age_below10,17,90.4632,0.0,0.0,0.8989,0.7865,45.5056,78.6131,21.3869,44.7191,54.4944
Assam,age_10_13,18,28.3492,1.8691,1.3083,2.2421,1.4646,12.2202,6.9801,93.0199,10.7556,87.7798
Assam,age_14_17,18,8.0206,19.201,10.7348,3.3721,7.0378,32.1593,8.3156,91.6844,25.1215,67.8407
Assam,age_18_21,18,10.314,64.8957,42.4861,2.7016,16.1586,65.9775,12.3393,87.6607,49.8189,34.0225
Assam,age_below10,18,93.2597,0.0,0.0,1.1131,0.4555,31.8882,72.5628,27.4372,31.4326,68.1118
West Bengal,age_10_13,19,31.2608,2.2856,1.812,1.4949,1.4313,11.9046,7.3524,92.6476,10.4733,88.0954
West Bengal,age_14_17,19,11.4434,31.0667,17.1826,2.3091,7.5958,32.8441,10.2806,89.7194,25.2482,67.1559
West Bengal,age_18_21,19,16.7913,80.4493,56.1212,2.1077,16.156,69.8208,16.6632,83.3368,53.6648,30.1792
West Bengal,age_below10,19,93.7522,0.0,0.0,0.6746,0.4158,33.5032,72.095,27.905,33.0874,66.4968
Jharkhand,age_10_13,20,46.7836,2.3077,1.8023,3.3448,2.7962,17.9884,16.0736,83.9264,15.1922,82.0116
Jharkhand,age_14_17,20,9.9963,31.1096,17.3829,4.3285,12.889,36.8803,22.3274,77.6726,23.9913,63.1197
Jharkhand,age_18_21,20,10.1363,86.0943,67.4757,2.7849,33.2374,73.9235,40.6599,59.3401,40.6861,26.0765
Jharkhand,age_below10,20,95.8235,0.0,0.0,1.0778,0.8288,44.2123,77.4731,22.5269,43.3835,55.7877
Odisha,age_10_13,21,26.6325,1.6884,1.2708,1.5475,2.3723,14.1548,7.798,92.202,11.7825,85.8452
Odisha,age_14_17,21,7.6124,15.5396,9.2157,1.8534,14.9025,49.0444,11.655,88.345,34.1419,50.9556
Odisha,age_18_21,21,10.5255,64.9091,44.1389,1.1801,27.0979,82.0367,17.7121,82.2879,54.9388,17.9633
Odisha,age_below10,21,95.2155,0.0,0.0,0.753,0.4714,30.9704,74.0699,25.9301,30.4991,69.0296
Chhattisgarh,age_10_13,22,42.8532,1.5151,1.2291,3.3672,1.6573,8.0906,5.739,94.261,6.4333,91.9094
Chhattisgarh,age_14_17,22,6.7591,15.3438,9.1241,5.4351,12.9916,27.7204,8.0884,91.9116,14.7288,72.2796
Chhattisgarh,age_18_21,22,7.2116,70.7248,53.5349,3.7403,36.0809,65.0956,12.8263,87.1737,29.0148,34.9044
Chhattisgarh,age_below10,22,97.7243,0.0,0.0,0.8524,0.3274,32.6613,74.4524,25.5476,32.3339,67.3387
Madhya Pradesh,age_10_13,23,38.1892,2.644,2.0638,2.2506,1.8445,8.8492,7.0699,92.9301,7.0047,91.1508
Madhya Pradesh,age_14_17,23,7.5871,23.8463,14.2005,3.4411,12.9586,31.1274,9.5467,90.4533,18.1688,68.8726
Madhya Pradesh,age_18_21,23,7.1796,79.3387,60.3554,2.72,32.8969,68.2582,19.1586,80.8414,35.3613,31.7418
Madhya Pradesh,age_below10,23,95.8869,0.0,0.0,0.8319,0.4954,32.7985,73.6496,26.3504,32.3031,67.2015
Gujarat,age_10_13,24,24.4162,2.9511,2.3034,1.4115,2.0026,11.5839,4.5528,95.4472,9.5813,88.4161
Gujarat,age_14_17,24,6.1369,14.3599,9.2695,2.2232,12.6149,41.8544,5.6177,94.3823,29.2395,58.1456
Gujarat,age_18_21,24,6.7992,61.4603,45.029,2.5329,21.8098,66.8066,8.5361,91.4639,44.9968,33.1934
Gujarat,age_below10,24,94.3492,0.0,0.0,0.6946,0.452,27.7,71.5273,28.4727,27.248,72.3
Daman & Diu,age_10_13,25,18.552,0.7273,0.8591,1.7699,0.0,3.5398,2.2124,97.7876,3.5398,96.4602
Daman & Diu,age_14_17,25,1.0101,9.7902,5.5644,0.0,1.9802,9.901,1.9802,98.0198,7.9208,90.099
Daman & Diu,age_18_21,25,1.5625,48.9726,28.75,0.0,4.5113,28.5714,3.7594,96.2406,24.0602,71.4286
Daman & Diu,age_below10,25,93.3824,0.0,0.0,0.8299,0.0,24.4813,69.161,30.839,24.4813,75.5187
Dadra & Nagar Haveli,age_10_13,26,19.3277,2.0339,1.6529,0.8097,1.2146,6.8826,3.6437,96.3563,5.668,93.1174
Dadra & Nagar Haveli,age_14_17,26,3.211,21.4022,11.9932,1.8018,2.2523,18.018,1.8018,98.1982,15.7658,81.982
Dadra & Nagar Haveli,age_18_21,26,3.2609,78.8462,52.4138,2.0619,9.2784,56.701,5.1546,94.8454,47.4227,43.299
Dadra & Nagar Haveli,age_below10,26,94.6154,0.0,0.0,0.4202,0.0,32.7731,74.7082,25.2918,32.7731,67.2269
Maharashtra,age_10_13,27,32.1707,3.7046,3.1122,2.0496,1.4431,6.7822,4.2656,95.7344,5.3391,93.2178
Maharashtra,age_14_17,27,4.2269,20.9071,12.1556,2.8979,8.1876,21.2272,4.4909,95.5091,13.0396,78.7728
Maharashtra,age_18_21,27,5.0632,68.1666,45.9429,3.2619,22.1689,52.9607,6.2717,93.7283,30.7918,47.0393
Maharashtra,age_below10,27,95.8137,0.0,0.0,1.2614,0.719,28.9477,72.8935,27.1065,28.2287,71.0523
Andhra Pradesh,age_10_13,28,18.4942,2.036,1.5027,1.4795,3.5667,9.2348,5.7686,94.2314,5.6681,90.7652
Andhra Pradesh,age_14_17,28,2.6014,20.7929,11.6106,2.5326,16.5278,27.4709,7.8082,92.1918,10.9431,72.5291
Andhra Pradesh,age_18_21,28,3.7521,70.3562,50.0598,3.0235,36.1081,59.4239,15.1026,84.8974,23.3159,40.5761
Andhra Pradesh,age_below10,28,91.6194,0.0,0.0,0.8432,0.7051,25.3256,71.9371,28.0629,24.6205,74.6744
Karnataka,age_10_13,29,28.4413,2.6611,1.8972,1.8704,3.7031,12.3712,7.6624,92.3376,8.668,87.6288
Karnataka,age_14_17,29,4.2954,21.3402,11.8402,2.8343,17.9988,35.3001,10.2361,89.7639,17.3013,64.6999
Karnataka,age_18_21,29,5.316,68.5073,45.9544,3.0733,35.2565,67.3231,16.8397,83.1603,32.0666,32.6769
Karnataka,age_below10,29,95.4236,0.0,0.0,1.0016,0.7351,34.4855,73.5292,26.4708,33.7503,65.5145
Goa,age_10_13,30,32.5843,1.9569,1.7493,3.3453,0.9558,8.1243,4.3011,95.6989,7.1685,91.8757
Goa,age_14_17,30,2.904,13.894,8.8116,3.5539,5.0245,18.3824,2.9412,97.0588,13.3578,81.6176
Goa,age_18_21,30,2.0408,47.2843,32.7209,6.9114,11.6631,42.9806,4.7516,95.2484,31.3175,57.0194
Goa,age_below10,30,95.0758,0.0,0.0,2.6236,0.7064,28.8597,72.2835,27.7165,28.1534,71.1403
Kerala,age_10_13,32,20.1825,1.3305,0.933,0.7322,0.2722,2.6035,1.2425,98.7575,2.3313,97.3965
Kerala,age_14_17,32,5.8953,9.9764,5.632,1.4054,2.1566,8.8986,0.9286,99.0714,6.742,91.1014
Kerala,age_18_21,32,3.6882,48.6502,29.5445,1.9934,9.4985,37.381,1.0346,98.9654,27.8824,62.619
Kerala,age_below10,32,95.5745,0.0,0.0,0.4796,0.1863,21.9247,70.8797,29.1203,21.7383,78.0753
Tamil Nadu,age_10_13,33,10.5779,1.9172,1.2892,1.537,1.0595,5.0878,2.5032,97.4968,4.0283,94.9122
Tamil Nadu,age_14_17,33,0.8575,14.6163,8.3545,2.3145,9.7091,22.2211,2.6094,97.3906,12.512,77.7789
Tamil Nadu,age_18_21,33,1.3756,59.336,39.9983,2.3307,27.1975,58.8215,4.5212,95.4788,31.624,41.1785
Tamil Nadu,age_below10,33,90.4279,0.0,0.0,1.1394,0.414,17.8477,71.1703,28.8297,17.4337,82.1523
Puducherry,age_10_13,34,11.9233,1.7819,1.4499,0.705,0.3525,3.2115,2.6632,97.3368,2.859,96.7885
Puducherry,age_14_17,34,0.5651,11.8059,6.9771,0.9387,3.0294,14.3081,1.849,98.151,11.2786,85.6919
Puducherry,age_18_21,34,0.7906,48.8423,33.4373,1.0847,12.4868,49.6296,2.963,97.037,37.1429,50.3704
Puducherry,age_below10,34,93.0145,0.0,0.0,0.5914,0.1623,15.0162,72.6264,27.3736,14.8539,84.9838
