state_name,age_bracket,state_code,Below_primary_share_ST_male,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_male,Child_labour_dropout_ST_male,Dropout_rate_ST_male,Illiteracy_rate_ST_male,Literacy_rate_ST_male,School_attendance_rate_ST_male
Meghalaya,age_10_13,17,58.4495,0.7887,1.3834,4.4025,3.701,16.4461,15.7827,84.2173,83.5539
Meghalaya,age_14_17,17,24.9892,3.5708,9.9089,7.2652,19.2104,28.3453,12.7272,87.2728,71.6547
Meghalaya,age_18_21,17,20.7627,31.1204,43.5294,8.4167,35.5368,43.5825,15.0611,84.9389,56.4175
Meghalaya,age_below10,17,92.9417,0.0,0.0,1.8337,1.2959,38.3293,81.4284,18.5716,61.6707
Assam,age_10_13,18,30.0902,0.891,1.435,4.8576,2.7321,11.297,8.3194,91.6806,88.703
Assam,age_14_17,18,5.5875,3.8847,10.4329,8.5897,13.2054,23.3883,7.9047,92.0953,76.6117
Assam,age_18_21,18,5.697,27.3523,44.7093,9.5449,30.2462,44.0419,9.9867,90.0133,55.9581
Assam,age_below10,18,92.6071,0.0,0.0,1.9661,1.0173,33.4483,74.2234,25.7766,66.5517
West Bengal,age_10_13,19,42.9657,1.271,1.7066,1.9146,3.507,16.6025,10.7566,89.2434,83.3975
West Bengal,age_14_17,19,17.2751,5.2239,16.0885,4.1095,23.2332,39.8164,12.8534,87.1466,60.1836
West Bengal,age_18_21,19,20.4728,36.2362,54.6907,5.4251,48.9306,63.7862,16.6775,83.3225,36.2138
West Bengal,age_below10,19,94.9715,0.0,0.0,0.7402,0.7067,38.486,74.3778,25.6222,61.514
Jharkhand,age_10_13,20,46.9224,1.2222,1.6464,5.9691,4.0371,14.6533,11.9694,88.0306,85.3467
Jharkhand,age_14_17,20,9.4709,5.2649,13.1427,9.0011,21.6242,32.1573,12.8984,87.1016,67.8427
Jharkhand,age_18_21,20,8.3161,39.3917,54.5751,8.8129,46.1819,55.8969,17.5808,82.4192,44.1031
Jharkhand,age_below10,20,95.1988,0.0,0.0,1.8469,1.2189,42.17,77.065,22.935,57.83
Odisha,age_10_13,21,35.9697,0.9579,1.3717,2.5119,5.8833,21.9981,15.0866,84.9134,78.0019
Odisha,age_14_17,21,10.5374,4.6258,11.9975,3.6229,34.5874,53.0907,17.0779,82.9221,46.9093
Odisha,age_18_21,21,11.5996,34.5277,52.2135,3.14,64.8285,79.7289,20.9651,79.0349,20.2711
Odisha,age_below10,21,95.4293,0.0,0.0,0.9949,1.0413,37.3053,76.8093,23.1907,62.6947
Chhattisgarh,age_10_13,22,46.1136,0.9693,1.2293,5.0422,4.0219,12.6071,10.0048,89.9952,87.3929
Chhattisgarh,age_14_17,22,7.9667,3.6353,9.1447,7.7618,25.0687,33.95,11.2254,88.7746,66.05
Chhattisgarh,age_18_21,22,7.527,39.9195,54.9479,6.5934,56.329,64.2505,13.5661,86.4339,35.7495
Chhattisgarh,age_below10,22,97.2706,0.0,0.0,1.359,0.7162,33.4864,75.8187,24.1813,66.5136
Madhya Pradesh,age_10_13,23,45.9549,1.7377,2.1395,3.9359,6.0363,18.148,15.4682,84.5318,81.852
Madhya Pradesh,age_14_17,23,12.8552,8.6668,16.644,5.863,31.9738,43.3158,18.9803,81.0197,56.6842
Madhya Pradesh,age_18_21,23,11.6848,57.7019,69.7175,5.8463,61.5191,69.2499,23.6293,76.3707,30.7501
Madhya Pradesh,age_below10,23,95.7384,0.0,0.0,1.3355,1.1307,39.9991,77.5761,22.4239,60.0009
Gujarat,age_10_13,24,28.867,1.866,2.467,2.4979,5.581,17.0852,9.7857,90.2143,82.9148
Gujarat,age_14_17,24,9.558,8.5647,15.6383,4.5683,28.5638,40.8513,11.4146,88.5854,59.1487
