state_name,age_bracket,state_code,Below_primary_share_SC_male,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_male,Child_labour_dropout_SC_male,Dropout_rate_SC_male,Illiteracy_rate_SC_male,Literacy_rate_SC_male,School_attendance_rate_SC_male
Mizoram,age_10_13,15,48.0769,0.0,1.0101,0.0,3.7037,7.4074,3.7037,96.2963,92.5926
Mizoram,age_14_17,15,3.7037,5.2632,15.0943,6.8966,13.7931,17.2414,6.8966,93.1034,82.7586
Mizoram,age_18_21,15,15.1515,16.6667,28.4722,11.7647,47.0588,50.0,2.9412,97.0588,50.0
Mizoram,age_below10,15,100.0,0.0,0.0,2.1739,2.1739,17.3913,71.7647,28.2353,82.6087
Tripura,age_10_13,16,34.9762,0.8159,1.2124,0.8653,1.2115,5.0267,1.8368,98.1632,94.9733
Tripura,age_14_17,16,8.0031,3.3977,14.5478,2.1954,12.4187,22.252,1.8397,98.1603,77.748
Tripura,age_18_21,16,12.8691,23.7561,46.6962,3.638,35.6828,49.9288,2.3565,97.6435,50.0712
Tripura,age_below10,16,97.4215,0.0,0.0,0.3826,0.2767,27.2724,71.2676,28.7324,72.7276
Meghalaya,age_10_13,17,49.9307,0.675,1.0422,2.8103,2.2248,19.9063,15.5738,84.4262,80.0937
Meghalaya,age_14_17,17,16.6667,3.568,11.1749,5.0505,14.7727,30.0505,15.1515,84.8485,69.9495
Meghalaya,age_18_21,17,12.4294,20.3926,39.1084,7.7103,29.6729,48.5981,17.2897,82.7103,51.4019
Meghalaya,age_below10,17,93.0591,0.0,0.0,0.7269,0.5192,41.1215,78.0102,21.9898,58.8785
Assam,age_10_13,18,29.5684,0.7703,1.3083,2.3977,2.5626,11.9298,6.143,93.857,88.0702
Assam,age_14_17,18,9.2263,2.9582,10.7348,4.4442,19.7702,35.824,6.8062,93.1938,64.176
Assam,age_18_21,18,11.665,20.52,42.4861,5.0198,43.8457,62.5863,8.5576,91.4424,37.4137
Assam,age_below10,18,93.4088,0.0,0.0,1.0955,0.5512,31.675,72.4665,27.5335,68.325
West Bengal,age_10_13,19,32.5565,1.3592,1.812,1.6433,2.5359,11.705,6.348,93.652,88.295
West Bengal,age_14_17,19,12.6029,4.7744,17.1826,3.4775,19.7823,35.5225,7.7622,92.2378,64.4775
West Bengal,age_18_21,19,16.3379,32.623,56.1212,4.7542,45.4361,61.6544,10.0594,89.9406,38.3456
West Bengal,age_below10,19,94.0086,0.0,0.0,0.7253,0.5217,33.3666,72.0313,27.9687,66.6334
Jharkhand,age_10_13,20,45.1192,1.3302,1.8023,3.4645,2.9291,14.6972,11.8079,88.1921,85.3028
Jharkhand,age_14_17,20,8.5022,6.0705,17.3829,5.7062,18.3935,31.908,13.8599,86.1401,68.092
Jharkhand,age_18_21,20,7.4112,49.21,67.4757,6.2909,41.8859,55.2445,18.3398,81.6602,44.7555
Jharkhand,age_below10,20,95.2,0.0,0.0,1.1479,0.8495,42.2112,76.5022,23.4978,57.7888
Odisha,age_10_13,21,27.24,0.8597,1.2708,1.6575,2.508,11.9142,5.929,94.071,88.0858
Odisha,age_14_17,21,6.349,2.8626,9.2157,2.6223,22.3517,43.7193,6.6514,93.3486,56.2807
Odisha,age_18_21,21,7.7392,22.9757,44.1389,2.6271,50.8682,74.4084,8.2215,91.7785,25.5916
Odisha,age_below10,21,95.087,0.0,0.0,0.7589,0.4784,30.5353,74.0212,25.9788,69.4647
Chhattisgarh,age_10_13,22,44.1776,0.9487,1.2291,3.1659,1.8165,7.6514,4.8973,95.1027,92.3486
Chhattisgarh,age_14_17,22,7.106,3.199,9.1241,6.0949,15.4224,25.9443,5.1417,94.8583,74.0557
Chhattisgarh,age_18_21,22,6.801,36.504,53.5349,6.1736,42.7389,55.3199,6.3161,93.6839,44.6801
Chhattisgarh,age_below10,22,97.4969,0.0,0.0,0.8314,0.3501,32.8529,74.4703,25.5297,67.1471
Madhya Pradesh,age_10_13,23,39.6737,1.5287,2.0638,2.2478,2.2225,8.3195,6.2552,93.7448,91.6805
Madhya Pradesh,age_14_17,23,7.478,6.2657,14.2005,4.4454,19.3035,28.9038,7.1525,92.8475,71.0962
Madhya Pradesh,age_18_21,23,6.881,43.9601,60.3554,5.2044,48.7806,58.9184,9.5065,90.4935,41.0816
Madhya Pradesh,age_below10,23,95.8226,0.0,0.0,0.8365,0.4923,33.6422,73.7839,26.2161,66.3578
Gujarat,age_10_13,24,24.4344,1.728,2.3034,1.5082,2.5671,7.8029,3.3157,96.6843,92.1971
