Dataset,Year,Cluster,N_states,States,Mean_CMPR_SC_female,Literacy (SC F),Literacy (SC M),Below primary (SC F),CL attending (SC F),CL dropout (SC M),Illiteracy (SC F),Mean_CMPR_SC_male,Dropout (SC M),Non-worker dropout (SC F),Mean_CMPR_ST_female,Below primary (ST F),CL attending (ST F),Literacy (ST F),Dropout (ST M),Dropout (ST F),CL attending (ST M),CL dropout (ST M),Non-worker dropout (ST F),Mean_CMPR_ST_male,CL dropout (ST F),Mean_CMPR_hindu_female,Literacy (Hindu F),Middle school (Hindu F),Illiteracy (Hindu F),Mean_CMPR_muslim_female,Below primary (Muslim F),Literacy (Muslim F),Illiteracy (Muslim F),Mean_CMPR_christian_female,Below primary (Christian F),Literacy (Christian F),Middle school (Christian F),Literacy (Christian M),Illiteracy (Christian F),Illiteracy (Christian M),Mean_CMPR_total_female,Literacy (Total F),Illiteracy (Total F)
Muslim_female,2001,3,17,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, State - DELHI  07, State - ORISSA  21, State - PONDICHERRY  34, Tamil Nadu",,,,,,,,,,,,,,,,,,,,,,,,,,13.03,8.099,88.013,11.987,,,,,,,,,,
Muslim_female,2011,1,6,"Bihar, Haryana, Meghalaya, Mizoram, Nagaland, Rajasthan",,,,,,,,,,,,,,,,,,,,,,,,,,26.01,17.742,68.592,31.408,,,,,,,,,,
Muslim_female,2011,2,18,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, NCT of Delhi, Odisha, Puducherry, Tamil Nadu, Tripura",,,,,,,,,,,,,,,,,,,,,,,,,,19.12,4.647,94.707,5.293,,,,,,,,,,
Muslim_female,2011,3,11,"Arunachal Pradesh, Assam, Himachal Pradesh, Jammu & Kashmir, Jharkhand, Manipur, Punjab, Sikkim, Uttar Pradesh, Uttarakhand, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,21.17,8.594,81.991,18.009,,,,,,,,,,
Christian_female,2001,1,18,"Andaman & Nicobar Islands, Chandigarh, Chhattisgarh, Daman & Diu, Goa, Gujarat, Haryana, Himachal Pradesh, Karnataka, Kerala, Lakshadweep, Madhya Pradesh, Maharashtra, Mizoram, State - DELHI  07, State - PONDICHERRY  34, State - UTTARANCHAL  05, Tamil Nadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.347,94.061,42.532,95.566,5.939,4.434,,,
Christian_female,2001,2,3,"Arunachal Pradesh, Assam, Meghalaya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,25.166,71.058,26.38,75.967,28.942,24.033,,,
Christian_female,2001,3,14,"Andhra Pradesh, Bihar, Dadra & Nagar Haveli, Jammu & Kashmir, Jharkhand, Manipur, Nagaland, Punjab, Rajasthan, Sikkim, State - ORISSA  21, Tripura, Uttar Pradesh, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93,11.641,77.072,35.248,85.108,22.928,14.892,,,
Christian_female,2011,1,16,"Arunachal Pradesh, Assam, Bihar, Haryana, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Manipur, Meghalaya, Nagaland, Odisha, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49,8.124,87.444,38.759,90.198,12.556,9.802,,,
Christian_female,2011,2,18,"Andaman & Nicobar Islands, Andhra Pradesh, Chandigarh, Chhattisgarh, Dadra & Nagar Haveli, Daman & Diu, Goa, Gujarat, Himachal Pradesh, Karnataka, Kerala, Maharashtra, Mizoram, NCT of Delhi, Puducherry, Tamil Nadu, Tripura, Uttarakhand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,2.988,96.3,43.0,97.184,3.7,2.816,,,
Christian_female,2011,3,1,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,0.0,100.0,0.0,0.0,,,
Total_female,2001,1,18,"Chandigarh, Daman & Diu, Goa, Goa, Goa, Goa, Goa, Goa, Haryana, Himachal Pradesh, Maharashtra, Manipur, Mizoram, Punjab, Sikkim, State - DELHI  07, State - UTTARANCHAL  05, Tripura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01,90.226,9.774
Total_female,2001,2,11,"Andhra Pradesh, Arunachal Pradesh, Assam, Chhattisgarh, Gujarat, Karnataka, Madhya Pradesh, Meghalaya, Nagaland, State - ORISSA  21, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31,75.892,24.108
Total_female,2001,3,6,"Bihar, Dadra & Nagar Haveli, Jammu & Kashmir, Jharkhand, Rajasthan, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29,59.85,40.15
Total_female,2011,1,16,"Andaman & Nicobar Islands, Chandigarh, Daman & Diu, Goa, Himachal Pradesh, Karnataka, Kerala, Lakshadweep, Maharashtra, Mizoram, NCT of Delhi, Puducherry, Sikkim, Tamil Nadu, Tripura, Uttarakhand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77,96.186,3.814
Total_female,2011,2,13,"Andhra Pradesh, Assam, Chhattisgarh, Dadra & Nagar Haveli, Gujarat, Haryana, Madhya Pradesh, Manipur, Meghalaya, Nagaland, Odisha, Punjab, West Bengal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,89.696,10.304
Total_female,2011,3,6,"Arunachal Pradesh, Bihar, Jammu & Kashmir, Jharkhand, Rajasthan, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67,82.913,17.087
