dataset,gender,age_bracket,target,status,reason,n_rows,alpha,r2_train,r2_cv,n_predictors_used,n_selected,used_predictors,selected_predictors,skipped_predictors
SC,female,age_below10,CMPR_SC_female,ok,,32,100.0,1.0,1.0,4.0,0.0,CL attending | CL dropout | Dropout | Attendance,,Non-worker dropout [constant]
SC,female,age_10_13,CMPR_SC_female,ok,,32,0.0206,0.444,0.348,4.0,1.0,CL attending | CL dropout | Dropout | Attendance,CL attending (-0.874),Non-worker dropout [constant]
SC,female,age_14_17,CMPR_SC_female,ok,,32,0.0658,0.646,0.564,4.0,2.0,CL attending | CL dropout | Dropout | Attendance,CL attending (-15.160) | CL dropout (-5.692),Non-worker dropout [constant]
SC,female,age_18_21,CMPR_SC_female,ok,,32,100.0,0.0,-0.066,4.0,0.0,CL attending | CL dropout | Dropout | Attendance,,Non-worker dropout [constant]
SC,female,age_22_25,CMPR_SC_female,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_26_29,CMPR_SC_female,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_30_33,CMPR_SC_female,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_34_plus,CMPR_SC_female,skipped,no_predictors_left_after_filtering,32,,,,,,,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,male,age_below10,CMPR_SC_male,ok,,32,100.0,1.0,1.0,4.0,0.0,CL attending | CL dropout | Dropout | Attendance,,
SC,male,age_10_13,CMPR_SC_male,ok,,32,0.0091,0.121,0.03,4.0,1.0,CL attending | CL dropout | Dropout | Attendance,CL attending (-0.183),
SC,male,age_14_17,CMPR_SC_male,ok,,32,0.1668,0.338,0.234,4.0,1.0,CL attending | CL dropout | Dropout | Attendance,CL attending (-2.053),
SC,male,age_18_21,CMPR_SC_male,ok,,32,0.1668,0.167,-0.013,4.0,3.0,CL attending | CL dropout | Dropout | Attendance,CL attending (-6.339) | CL dropout (-4.069) | Dropout (-0.000),
