state_name,age_bracket,state_code,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male
INDIA,age_10_13,00,3.7586,0.6081,3.5141,0.7068,4.336,0.9013,3.6828,0.6452,4.8694,1.0818,3.5244,0.607,0.8819,0.4389,1.6873,0.676,3.1245,1.1848,2.5728,0.432,2.6949,0.749,6.5671,1.4142
INDIA,age_14_17,00,29.0924,4.5661,29.2268,4.7522,27.7041,5.4545,26.2404,3.8247,30.5792,6.6393,25.1872,3.8427,12.7786,2.7194,21.9889,4.31,23.7051,6.4598,18.6532,2.6061,26.1872,4.7461,49.2396,8.7022
INDIA,age_18_21,00,52.4187,43.4047,49.5815,37.5102,51.9173,43.0124,48.7175,33.9061,49.2264,43.9337,48.7273,34.4553,52.285,28.7955,53.0058,37.2952,48.828,31.2825,42.0462,25.843,51.942,39.1372,98.6262,70.4785
INDIA,age_below10,00,2.7802,1.3453,2.1135,1.3304,2.969,1.3718,2.4063,1.4703,2.697,1.396,2.5722,1.4271,1.6456,1.4449,1.7478,1.2987,2.1559,1.4624,2.0436,1.4903,1.9806,1.3406,4.6227,2.8473
Jammu & Kashmir,age_10_13,01,1.4026,0.3725,1.9546,0.3458,1.7619,0.331,1.4437,0.4309,1.9782,0.4453,1.2271,0.3246,0.5416,0.2826,0.9349,0.3433,0.6196,0.2201,0.9945,0.3148,1.4779,0.369,1.5481,0.3587
Jammu & Kashmir,age_14_17,01,12.9055,2.7905,17.9103,3.2486,17.0554,2.7225,10.9277,2.9043,16.2793,3.2152,10.525,2.0609,5.6141,1.4929,10.9354,2.5848,13.4001,3.0458,7.8267,1.7565,16.7285,2.9816,13.4459,2.3618
Jammu & Kashmir,age_18_21,01,48.6601,28.7247,44.2974,29.5341,50.7109,29.5787,43.0566,25.9971,47.6196,29.5452,37.2333,22.5314,38.1613,19.3827,45.8666,25.1597,44.112,23.4084,30.8405,19.6141,48.7643,28.1792,44.4565,23.8902
Jammu & Kashmir,age_below10,01,1.763,1.3948,1.3339,1.1995,1.3776,1.2114,1.6671,1.4544,1.3446,1.2235,1.5569,1.2921,1.3647,1.3084,1.2432,1.3409,1.3245,1.1395,1.6029,1.3037,1.1387,1.2315,1.3511,1.2849
Himachal Pradesh,age_10_13,02,2.3204,0.2887,3.3689,0.5342,2.2831,0.3115,1.7617,0.2247,5.7679,0.7625,2.0144,0.2397,0.2574,0.1366,0.5753,0.2114,3.0698,0.5819,1.3827,0.1955,1.641,0.3457,2.5582,0.2994
Himachal Pradesh,age_14_17,02,23.2486,3.1781,29.7662,5.1243,21.0389,3.4285,18.1995,2.2568,32.5522,6.4494,18.7196,2.3118,4.5878,0.8655,14.0014,2.1997,19.3388,4.201,12.962,1.6157,23.4297,3.8444,19.4709,2.6076
Himachal Pradesh,age_18_21,02,52.1825,29.5684,51.6791,36.17,55.3079,31.6075,51.5744,21.2049,47.0505,35.5583,51.3404,23.6261,54.7706,16.5187,62.4171,26.5256,47.8688,24.2365,42.2926,18.7227,58.5601,33.4524,51.2549,23.7977
Himachal Pradesh,age_below10,02,1.4632,0.9346,1.3553,0.9368,1.3967,0.8899,1.3178,1.3627,2.1043,0.9071,1.3432,1.0287,0.9135,1.1585,1.0148,1.0264,1.5571,1.0362,1.2091,1.105,1.1421,0.9519,1.4428,1.0524
Punjab,age_10_13,03,0.7604,0.1856,1.0603,0.3454,0.5888,0.1637,0.8221,0.2573,1.1491,0.3031,0.7293,0.1974,0.2945,0.1586,0.5119,0.2133,0.7177,0.3249,0.7323,0.2108,0.6611,0.2437,0.7186,0.2188
Punjab,age_14_17,03,10.4726,1.828,13.7038,3.0506,6.2231,1.4239,7.8291,1.5417,13.4952,2.7862,8.234,1.5737,4.3021,0.9735,9.0775,1.814,9.4774,2.6973,8.126,1.5802,10.9487,2.255,9.3602,1.7528
Punjab,age_18_21,03,56.93,34.6711,53.9229,34.0182,48.8926,30.2879,53.3977,25.4839,57.307,35.5013,45.4807,26.8437,49.0387,21.8958,56.6072,29.7549,53.282,28.6265,42.0118,23.7529,57.7065,33.03,52.4626,27.2696
Punjab,age_below10,03,0.8944,0.8909,0.8846,0.9149,0.9788,0.975,1.1591,1.2287,0.9363,0.8776,1.0865,1.1164,0.9702,1.202,0.9297,1.0829,0.9651,0.9523,1.1293,1.2191,0.8994,0.983,0.978,1.0866
Chandigarh,age_10_13,04,3.1088,1.2685,3.9885,1.161,1.0417,0.1937,2.3018,0.5756,5.9997,1.2868,2.0829,0.5079,0.4293,0.3118,1.4404,0.7102,2.2716,0.5781,2.0797,0.5063,2.498,0.8618,2.2401,0.5189
Chandigarh,age_14_17,04,23.3161,5.1797,31.8888,9.62,11.9792,2.5178,21.3555,4.0292,36.4661,10.1634,15.3762,4.1544,8.8035,2.5933,21.1137,6.0377,18.6469,3.9281,15.2731,4.1621,27.8449,7.2756,18.026,4.1663
Chandigarh,age_18_21,04,31.6062,30.5497,47.1716,45.778,41.1458,29.632,46.9309,28.7414,44.0103,47.5039,29.8655,27.3207,49.9021,23.6796,56.317,39.5866,44.8858,20.7205,29.5712,27.2789,52.7715,43.4869,41.7879,26.7909
Chandigarh,age_below10,04,3.6269,1.1628,1.0738,1.0253,1.0417,1.3557,1.023,1.4198,1.5987,0.937,1.1668,1.1977,0.7252,1.2048,0.6975,1.1108,1.0743,0.8945,1.1606,1.1945,0.7537,1.054,1.1008,1.1653
Uttarakhand,age_10_13,05,3.3073,0.276,3.4994,0.6994,3.9811,0.4334,2.6679,0.3067,6.1944,0.7059,3.338,0.2909,0.6024,0.1888,0.9943,0.2932,3.2531,0.7358,1.8107,0.2257,1.9788,0.4905,3.3587,0.3592
Uttarakhand,age_14_17,05,27.3656,2.9044,33.3819,6.2064,30.9958,4.0682,22.2857,2.488,35.6964,5.9826,27.0705,2.652,9.9363,1.6677,19.4033,2.9285,22.82,5.5543,17.7065,1.9576,28.2674,4.4762,24.9802,3.1568
Uttarakhand,age_18_21,05,53.8149,44.1606,50.228,41.0169,53.3888,39.9996,54.1999,29.5468,46.6052,42.7248,50.9592,31.9002,60.5325,27.0379,62.6346,38.5361,50.3444,30.5861,43.8686,26.375,56.5958,41.3851,50.9027,32.4548
Uttarakhand,age_below10,05,0.8416,0.6512,0.9567,0.6709,1.1552,0.6516,0.9879,0.8721,1.3949,0.709,1.0732,0.7903,0.7086,0.8254,0.7862,0.6798,1.0808,0.7747,0.9331,0.8725,0.8301,0.6618,1.0774,0.774
Haryana,age_10_13,06,3.3706,0.6116,3.8409,1.1361,4.2367,0.9068,3.1542,0.4662,4.6667,1.0793,3.2014,0.6208,1.0478,0.5253,2.0314,0.7799,2.9278,1.1921,2.5463,0.485,2.9488,0.9195,3.1029,0.7284
